key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
aidialogstringinfo_battleing_graymane_42949,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42949,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺃﻳﻬﺎ ﺍﻟﺤﺜﺎﻟﺔ ﺍﻟﺸﻤﺎﻟﻴﺔ!,ﺃﻳﻬﺎ ﺍﻟﺤﺜﺎﻟﺔ ﺍﻟﺸﻤﺎﻟﻴﺔ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42950,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42950,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﻏﺮﺍﻳﻤﺎﻧﺰ!,ﻏﺮﺍﻳﻤﺎﻧﺰ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42951,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42951,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺑﺮﺍﺑﺮﺓ ﺍﻟﺸﻤﺎﻝ!,ﺑﺮﺍﺑﺮﺓ ﺍﻟﺸﻤﺎﻝ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42952,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42952,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺍﺭﻛﺾ ﻣﻦ ﺣﻴﺚ ﺃﺗﻴﺖ!,ﺍﺭﻛﺾ ﻣﻦ ﺣﻴﺚ ﺃﺗﻴﺖ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42953,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42953,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺣﺜﺎﻟﺔ ﺍﻟﺸﻤﺎﻝ!,ﺣﺜﺎﻟﺔ ﺍﻟﺸﻤﺎﻝ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42954,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42954,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺃﻳﻬﺎ ﺍﻟﻤﺘﻮﺣﺸﻮﻥ ﻋﺒﺪﺓ ﺍﻟﻘﺒﻮﺭ!,ﺃﻳﻬﺎ ﺍﻟﻤﺘﻮﺣﺸﻮﻥ ﻋﺒﺪﺓ ﺍﻟﻘﺒﻮﺭ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42955,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42955,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺃﻳﻬﺎ ﺍﻟﻜﻠﺐ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,ﺃﻳﻬﺎ ﺍﻟﻜﻠﺐ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42956,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42956,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﻫﺬﻩ ﻧﻬﺎﻳﺘﻚ ﺃﻳﻬﺎ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,ﻫﺬﻩ ﻧﻬﺎﻳﺘﻚ ﺃﻳﻬﺎ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42957,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42957,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﻣﺖ ﺃﻳﻬﺎ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,ﻣﺖ ﺃﻳﻬﺎ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42958,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42958,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺗﻤﺎﺩﻳﺘﻢ ﺃﻳﻬﺎ ﺍﻟﻜﻼﺏ ﺍﻟﺸﻤﺎﻟﻴﺔ!,ﺗﻤﺎﺩﻳﺘﻢ ﺃﻳﻬﺎ ﺍﻟﻜﻼﺏ ﺍﻟﺸﻤﺎﻟﻴﺔ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42959,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42959,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺃﻳﻬﺎ ﺍﻟﺠﺒﻨﺎﺀ ﺍﻟﻔﺎﺭﻭﻥ!,ﺃﻳﻬﺎ ﺍﻟﺠﺒﻨﺎﺀ ﺍﻟﻔﺎﺭﻭﻥ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42960,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42960,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺳﺄﺫﺑﺢ ﻛﻞ ﺍﻟﻜﻼﺏ ﺍﻟﻤﻬﺰﻭﻣﺔ!,ﺳﺄﺫﺑﺢ ﻛﻞ ﺍﻟﻜﻼﺏ ﺍﻟﻤﻬﺰﻭﻣﺔ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42961,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42961,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺣﺜﺎﻟﺔ ﺍﻟﺸﻤﺎﻝ!,ﺣﺜﺎﻟﺔ ﺍﻟﺸﻤﺎﻝ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42962,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42962,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺃﻳﻬﺎ ﺍﻟﻜﻼﺏ ﺍﻟﺒﺎﺋﺴﺔ!,ﺃﻳﻬﺎ ﺍﻟﻜﻼﺏ ﺍﻟﺒﺎﺋﺴﺔ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42963,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42963,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﻣﻮﺗﻮﺍ ﺃﻳﻬﺎ ﺍﻝ***!,ﻣﻮﺗﻮﺍ ﺃﻳﻬﺎ ﺍﻝ***!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42964,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42964,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺃﻧﺖ ﻓﻘﻂ ﺗﺠﺮ ﺍﺳﻤﻚ ﻓﻲ ﺍﻟﻮﺣﻞ...,ﺃﻧﺖ ﻓﻘﻂ ﺗﺠﺮ ﺍﺳﻤﻚ ﻓﻲ ﺍﻟﻮﺣﻞ...,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42965,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42965,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﻣﻜﺴﻮﺭ ﻭﻣﻬﺰﻭﻡ—ﻣﺖ ﺣﻴﺚ ﺗﻘﻒ!,ﻣﻜﺴﻮﺭ ﻭﻣﻬﺰﻭﻡ—ﻣﺖ ﺣﻴﺚ ﺗﻘﻒ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42966,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42966,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﺣﺜﺎﻟﺔ ﻗﺬﺭﺓ—ﻭﺍﺟﻪ ﻧﻬﺎﻳﺘﻚ!,ﺣﺜﺎﻟﺔ ﻗﺬﺭﺓ—ﻭﺍﺟﻪ ﻧﻬﺎﻳﺘﻚ!,gamedata/localizationstring_eng.paloc
aidialogstringinfo_battleing_graymane_42967,aidialogstringinfo,Aidialogstringinfo,AI Dialogue,AI Ambient Dialogue,AI Dialogue,,Ambient Dialogue,aidialogstringinfo_battleing_graymane,battleing_graymane,aidialogstringinfo_battleing_graymane,battleing_graymane,battleing_graymane,battleing,graymane,42967,battleing_graymane,,ai_npc,AI NPC,AI NPC,AI NPC,,family,,ﻋﻮﺩﻭﺍ ﻟﺠﺤﺮﻛﻢ ﺍﻝ*** ﺃﻳﻬﺎ ﺍﻟﺠﺒﻨﺎﺀ!,ﻋﻮﺩﻭﺍ ﻟﺠﺤﺮﻛﻢ ﺍﻝ*** ﺃﻳﻬﺎ ﺍﻟﺠﺒﻨﺎﺀ!,gamedata/localizationstring_eng.paloc
