key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
ancientpeople_9000_boss_00_00001,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﻦ ﻳﻘﻒ ﻓﻲ ﻃﺮﻳﻘﻲ...,ﻣﻦ ﻳﻘﻒ ﻓﻲ ﻃﺮﻳﻘﻲ...,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00002,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﻴﺪﻓﻌﻮﻥ ﺣﻴﺎﺗﻬﻢ ﺛﻤﻨﺎ!,ﺳﻴﺪﻓﻌﻮﻥ ﺣﻴﺎﺗﻬﻢ ﺛﻤﻨﺎ!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00003,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻢ ﻳﻨﺘﻪ ﺍﻷﻣﺮ ﺑﻌﺪ!,ﻟﻢ ﻳﻨﺘﻪ ﺍﻷﻣﺮ ﺑﻌﺪ!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00004,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻭﻍ...!,ﺃﻭﻍ...!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00005,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻭﻍ...,ﺃﻭﻍ...,gamedata/localizationstring_eng.paloc
ancientpeople_9000_boss_00_00006,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺎ ﺯﺍﻟﺖ... ﻟﺪﻱ ﺃﻣﻮﺭ ﻟﻢ ﺃﺗﻤﻬﺎ...,ﻣﺎ ﺯﺍﻟﺖ... ﻟﺪﻱ ﺃﻣﻮﺭ ﻟﻢ ﺃﺗﻤﻬﺎ...,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00007,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻧﺖ ﺗﺒﺪﺩ ﺣﻴﺎﺗﻚ ﺍﻟﺒﺎﺋﺴﺔ!,ﺃﻧﺖ ﺗﺒﺪﺩ ﺣﻴﺎﺗﻚ ﺍﻟﺒﺎﺋﺴﺔ!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00008,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﺨﻠﻮﻕ ﺑﺎﺋﺲ ﻣﺜﻠﻚ ﻟﻦ ﻳﺘﻤﻜﻦ ﺃﺑﺪﺍ ﻣﻦ ﺇﻳﻘﺎﻓﻲ!,ﻣﺨﻠﻮﻕ ﺑﺎﺋﺲ ﻣﺜﻠﻚ ﻟﻦ ﻳﺘﻤﻜﻦ ﺃﺑﺪﺍ ﻣﻦ ﺇﻳﻘﺎﻓﻲ!,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00009,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻟﻦ ﺗﻔﻬﻢ ﺃﺑﺪﺍ ﻧﻄﺎﻕ ﻋﻤﻠﻲ ﺍﻟﻌﻈﻴﻢ.,ﻟﻦ ﺗﻔﻬﻢ ﺃﺑﺪﺍ ﻧﻄﺎﻕ ﻋﻤﻠﻲ ﺍﻟﻌﻈﻴﻢ.,gamedata/localizationstring_eng.paloc
ancientpeople_9000_globalgametrack_00010,ancientpeople,Ancientpeople,Scene Dialogue,Ancientpeople,Ancientpeople,9000,Ancientpeople 9000,ancientpeople_9000,9000,ancientpeople_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺄﺟﻌﻠﻚ ﺗﺪﻓﻊ ﺛﻤﻨﺎ ﺑﺎﻫﻈﺎ ﻟﺠﺮﺃﺗﻚ ﻋﻠﻰ ﺍﻟﺘﺪﺧﻞ ﻓﻲ ﺷﺆﻭﻧﻲ.,ﺳﺄﺟﻌﻠﻚ ﺗﺪﻓﻊ ﺛﻤﻨﺎ ﺑﺎﻫﻈﺎ ﻟﺠﺮﺃﺗﻚ ﻋﻠﻰ ﺍﻟﺘﺪﺧﻞ ﻓﻲ ﺷﺆﻭﻧﻲ.,gamedata/localizationstring_eng.paloc
