key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
balthazar_bossencounter_ambush_boss_00_00033,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺴﺘﺤﻴﻞ...,ﻣﺴﺘﺤﻴﻞ...,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00034,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻦ ﺗﺴﺘﻄﻴﻊ ﺍﻹﻓﻼﺕ ﻣﻦ ﺻﻴﺎﺩ ﻣﺤﻠﻖ.,ﻟﻦ ﺗﺴﺘﻄﻴﻊ ﺍﻹﻓﻼﺕ ﻣﻦ ﺻﻴﺎﺩ ﻣﺤﻠﻖ.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00035,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺭﻣﻴﻚ ﻃﻌﺎﻣﺎ ﻟﻠﻮﺍﻳﻔﺮﻥ.,ﺳﺄﺭﻣﻴﻚ ﻃﻌﺎﻣﺎ ﻟﻠﻮﺍﻳﻔﺮﻥ.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00036,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺮﻳﺪ ﺛﻘﺒﺎ ﻓﻲ ﺑﻄﻨﻚ؟,ﺗﺮﻳﺪ ﺛﻘﺒﺎ ﻓﻲ ﺑﻄﻨﻚ؟,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00037,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺠﺮﺩ ﺃﺣﻤﻖ ﺗﻠﻮ ﺍﻵﺧﺮ.,ﻣﺠﺮﺩ ﺃﺣﻤﻖ ﺗﻠﻮ ﺍﻵﺧﺮ.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00038,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,38,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻧﺤﻦ ﺳﺎﺩﺓ ﺍﻟﺴﻤﺎﺀ!,ﻧﺤﻦ ﺳﺎﺩﺓ ﺍﻟﺴﻤﺎﺀ!,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00039,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,39,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﻞ ﻟﻲ... ﻣﺎﺫﺍ ﺗﺮﻳﺪ؟,ﻗﻞ ﻟﻲ... ﻣﺎﺫﺍ ﺗﺮﻳﺪ؟,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_ambush_boss_00_00040,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_ambush,bossencounter_ambush,balthazar_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,40,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﺫﻥ ﺟﺌﺖ ﻫﻨﺎ ﻟﺘﻤﻮﺕ.,ﺇﺫﻥ ﺟﺌﺖ ﻫﻨﺎ ﻟﺘﻤﻮﺕ.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00021,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺩﺧﻴﻞ ﺁﺧﺮ.,ﺩﺧﻴﻞ ﺁﺧﺮ.,gamedata/localizationstring_eng.paloc
balthazar_bossencounter_stand_boss_00_00022,balthazar,Balthazar,Scene Dialogue,Balthazar,Balthazar,,Balthazar,balthazar_bossencounter_stand,bossencounter_stand,balthazar_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺴﺘﺤﻴﻞ...,ﻣﺴﺘﺤﻴﻞ...,gamedata/localizationstring_eng.paloc
