key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
basecamp_greywolf_beforescout_group_0010_npc_00_00053,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_00,greywolf_beforescout_group_0010_npc_00,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,53,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00033,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,33,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻏﺮﺍﻳﻤﺎﻧﺰ ﻳﻌﻴﺶ ﺑﺄﺟﺮ ﻳﻮﻣﻲ... ﻣﻦ ﻛﺎﻥ ﻟﻴﺘﺨﻴﻞ.,ﻏﺮﺍﻳﻤﺎﻧﺰ ﻳﻌﻴﺶ ﺑﺄﺟﺮ ﻳﻮﻣﻲ... ﻣﻦ ﻛﺎﻥ ﻟﻴﺘﺨﻴﻞ.,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00034,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,34,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻛﻠﻴﻒ!,ﻛﻠﻴﻒ!,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00035,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,35,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻋﻠﻤﺖ ﺃﻧﻬﻢ ﻟﻦ ﻳﺴﺘﻄﻴﻌﻮﺍ ﻗﺘﻠﻚ!,ﻋﻠﻤﺖ ﺃﻧﻬﻢ ﻟﻦ ﻳﺴﺘﻄﻴﻌﻮﺍ ﻗﺘﻠﻚ!,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00036,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,36,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻇﻠﻠﻨﺎ ﻧﺘﺘﺒﻊ ﺃﺧﺒﺎﺭﻙ ﻣﻨﺬ ﺫﻟﻚ ﺍﻟﻴﻮﻡ.,ﻇﻠﻠﻨﺎ ﻧﺘﺘﺒﻊ ﺃﺧﺒﺎﺭﻙ ﻣﻨﺬ ﺫﻟﻚ ﺍﻟﻴﻮﻡ.,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00037,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,37,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺑﺼﺮﺍﺣﺔ... ﻛﺪﺕ ﺃﺳﺘﺴﻠﻢ ﺃﻛﺜﺮ ﻣﻦ ﻣﺮﺓ.,ﺑﺼﺮﺍﺣﺔ... ﻛﺪﺕ ﺃﺳﺘﺴﻠﻢ ﺃﻛﺜﺮ ﻣﻦ ﻣﺮﺓ.,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00038,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,38,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﺟﻞ، ﺍﻵﻥ ﺑﺎﺕ ﻫﺬﺍ ﺇﺣﻴﺎﺀ ﺣﻘﻴﻘﻴﺎ ﻟﻠﻐﺮﺍﻳﻤﺎﻧﺰ.,ﺃﺟﻞ، ﺍﻵﻥ ﺑﺎﺕ ﻫﺬﺍ ﺇﺣﻴﺎﺀ ﺣﻘﻴﻘﻴﺎ ﻟﻠﻐﺮﺍﻳﻤﺎﻧﺰ.,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00039,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,39,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺳﺄﺧﺒﺮﻙ ﺑﺸﻲﺀ، ﺳﻨﺘﻮﺟﻪ ﺇﻟﻰ ﻫﻨﺎﻙ.,ﺳﺄﺧﺒﺮﻙ ﺑﺸﻲﺀ، ﺳﻨﺘﻮﺟﻪ ﺇﻟﻰ ﻫﻨﺎﻙ.,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00043,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,43,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺣﺘﻰ ﺑﻌﺪ ﺃﻥ ﺃﻗﺴﻢ ﺃﻭﻏﺎﺩ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ ﻣﺮﺍﺭﺍ ﺃﻧﻚ ﻣﻴﺖ!,ﺣﺘﻰ ﺑﻌﺪ ﺃﻥ ﺃﻗﺴﻢ ﺃﻭﻏﺎﺩ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ ﻣﺮﺍﺭﺍ ﺃﻧﻚ ﻣﻴﺖ!,gamedata/localizationstring_eng.paloc
basecamp_greywolf_beforescout_group_0010_npc_01_00044,basecamp,Basecamp,Scene Dialogue,Basecamp,Basecamp,0010,Basecamp 0010,basecamp_greywolf_beforescout_group_0010,greywolf_beforescout_group_0010,basecamp_greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010_npc_01,greywolf_beforescout_group_0010,greywolf,beforescout_group_0010,44,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻟﻜﻨﻨﻲ ﻟﻢ ﺃﺳﻤﺢ ﻟﻪ، ﻫﻴﻪ!,ﻟﻜﻨﻨﻲ ﻟﻢ ﺃﺳﻤﺢ ﻟﻪ، ﻫﻴﻪ!,gamedata/localizationstring_eng.paloc
