key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
beforewar_00_npc_00_00007,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ ﻭﺻﻠﺖ!,ﺃﺧﻴﺮﺍ ﻭﺻﻠﺖ!,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00008,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻴﻮﺭﺩﻳﻦ ﻣﺘﺤﺼﻦ ﻓﻲ ﺍﻟﻘﻠﻌﺔ ﻋﻠﻰ ﻗﻤﺔ ﺍﻟﺠﺒﻞ.,ﻣﻴﻮﺭﺩﻳﻦ ﻣﺘﺤﺼﻦ ﻓﻲ ﺍﻟﻘﻠﻌﺔ ﻋﻠﻰ ﻗﻤﺔ ﺍﻟﺠﺒﻞ.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00009,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ!,ﺃﺧﻴﺮﺍ!,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00010,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ ﺣﺎﻥ ﺍﻟﻴﻮﻡ.,ﺃﺧﻴﺮﺍ ﺣﺎﻥ ﺍﻟﻴﻮﻡ.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00011,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻲ ﻧﻄﻠﻖ ﻏﻀﺒﻨﺎ ﺍﻟﺬﻱ ﻃﺎﻝ ﺍﻧﺘﻈﺎﺭﻩ.,ﻟﻜﻲ ﻧﻄﻠﻖ ﻏﻀﺒﻨﺎ ﺍﻟﺬﻱ ﻃﺎﻝ ﺍﻧﺘﻈﺎﺭﻩ.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00012,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﺭﺃﻳﻜﻢ ﺑﻀﺮﺑﻬﻢ ﺣﻴﻦ ﻳﺤﻞ ﺍﻟﻠﻴﻞ؟,ﻣﺎ ﺭﺃﻳﻜﻢ ﺑﻀﺮﺑﻬﻢ ﺣﻴﻦ ﻳﺤﻞ ﺍﻟﻠﻴﻞ؟,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00013,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻤﺸﺎﻋﻞ ﻭﺻﻴﺤﺎﺕ ﺍﻟﺤﺮﺏ ﺳﺘﻌﻮﺽ ﻗﻠﺔ ﺃﻋﺪﺍﺩﻧﺎ.,ﺍﻟﻤﺸﺎﻋﻞ ﻭﺻﻴﺤﺎﺕ ﺍﻟﺤﺮﺏ ﺳﺘﻌﻮﺽ ﻗﻠﺔ ﺃﻋﺪﺍﺩﻧﺎ.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00014,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﻴﻦ ﺗﻨﻜﺴﺮ ﺻﻔﻮﻓﻬﻢ، ﺳﺘﻌﻢ ﺍﻟﻔﻮﺿﻰ.,ﺣﻴﻦ ﺗﻨﻜﺴﺮ ﺻﻔﻮﻓﻬﻢ، ﺳﺘﻌﻢ ﺍﻟﻔﻮﺿﻰ.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00015,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﻨﺪﻫﺎ ﺗﻨﻄﻠﻘﻮﻥ ﺃﻧﺘﻢ ﻳﺎ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ ﻧﺤﻮ ﻣﻴﻮﺭﺩﻳﻦ.,ﻋﻨﺪﻫﺎ ﺗﻨﻄﻠﻘﻮﻥ ﺃﻧﺘﻢ ﻳﺎ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ ﻧﺤﻮ ﻣﻴﻮﺭﺩﻳﻦ.,gamedata/localizationstring_eng.paloc
beforewar_00_npc_00_00016,beforewar,Beforewar,Scene Dialogue,Beforewar,Beforewar,00,Beforewar 00,beforewar_00,00,beforewar_00_npc_00,00_npc_00,00,00,,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺗﺮﻛﻮﺍ ﺍﻟﺒﺎﻗﻲ ﻟﻨﺎ.,ﺍﺗﺮﻛﻮﺍ ﺍﻟﺒﺎﻗﻲ ﻟﻨﺎ.,gamedata/localizationstring_eng.paloc
