key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
black_wall_0600_13_npc_00000,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,0,npc,,npc,NPC,NPC,NPC,,role,,ﻳﺎ ﺇﻟﻬﻲ.. ﺍﻧﻈﺮ ﺇﻟﻰ ﺫﻟﻚ ﺍﻟﺠﺒﻞ ﻫﻨﺎﻙ!,ﻳﺎ ﺇﻟﻬﻲ.. ﺍﻧﻈﺮ ﺇﻟﻰ ﺫﻟﻚ ﺍﻟﺠﺒﻞ ﻫﻨﺎﻙ!,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00001,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,1,npc,,npc,NPC,NPC,NPC,,role,,ﻟﺴﺖ ﺃﺗﺨﻴﻞ ﺃﺷﻴﺎﺀ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﻟﺴﺖ ﺃﺗﺨﻴﻞ ﺃﺷﻴﺎﺀ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00002,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,2,npc,,npc,NPC,NPC,NPC,,role,,ﻟﻢ ﺃﺭ ﺑﺮﻗﺎ ﻣﺮﻋﺒﺎ ﻛﻬﺬﺍ ﻓﻲ ﺣﻴﺎﺗﻲ ﻛﻠﻬﺎ.,ﻟﻢ ﺃﺭ ﺑﺮﻗﺎ ﻣﺮﻋﺒﺎ ﻛﻬﺬﺍ ﻓﻲ ﺣﻴﺎﺗﻲ ﻛﻠﻬﺎ.,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00003,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,3,npc,,npc,NPC,NPC,NPC,,role,,ﻣﻬﻤﺎ ﻛﺎﻧﺖ ﺍﻷﻋﺸﺎﺏ ﻧﺎﺩﺭﺓ، ﻻ ﺗﺴﺘﺤﻖ ﺍﻟﻤﺨﺎﻃﺮﺓ ﺑﺤﻴﺎﺗﻚ.,ﻣﻬﻤﺎ ﻛﺎﻧﺖ ﺍﻷﻋﺸﺎﺏ ﻧﺎﺩﺭﺓ، ﻻ ﺗﺴﺘﺤﻖ ﺍﻟﻤﺨﺎﻃﺮﺓ ﺑﺤﻴﺎﺗﻚ.,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00004,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,4,npc,,npc,NPC,NPC,NPC,,role,,ﻻ ﻳﻨﺒﻐﻲ ﺍﻻﺳﺘﻬﺎﻧﺔ ﺑﻐﻀﺐ ﺍﻷﺳﻼﻑ.,ﻻ ﻳﻨﺒﻐﻲ ﺍﻻﺳﺘﻬﺎﻧﺔ ﺑﻐﻀﺐ ﺍﻷﺳﻼﻑ.,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00005,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,5,npc,,npc,NPC,NPC,NPC,,role,,ﺃﻟﻢ ﺗﺴﻤﻊ ﺍﻟﺤﻜﺎﻳﺔ ﻋﻦ ﺫﻟﻚ ﺍﻟﺠﺒﻞ؟,ﺃﻟﻢ ﺗﺴﻤﻊ ﺍﻟﺤﻜﺎﻳﺔ ﻋﻦ ﺫﻟﻚ ﺍﻟﺠﺒﻞ؟,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00006,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,6,npc,,npc,NPC,NPC,NPC,,role,,ﻳﺠﺐ ﺃﻥ ﻧﻐﺎﺩﺭ ﻗﺒﻞ ﺃﻥ ﻧﺘﺄﺫﻯ.,ﻳﺠﺐ ﺃﻥ ﻧﻐﺎﺩﺭ ﻗﺒﻞ ﺃﻥ ﻧﺘﺄﺫﻯ.,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00007,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,7,npc,,npc,NPC,NPC,NPC,,role,,ﻻ ﺗﻘﻞ ﻟﻲ ﺃﻧﻚ ﺧﺎﺋﻒ؟,ﻻ ﺗﻘﻞ ﻟﻲ ﺃﻧﻚ ﺧﺎﺋﻒ؟,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00008,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,8,npc,,npc,NPC,NPC,NPC,,role,,ﻫﺬﻩ ﻓﺮﺻﺘﻨﺎ ﺍﻟﻤﺜﺎﻟﻴﺔ ﻟﻠﺤﺼﻮﻝ ﻋﻠﻰ ﺃﻧﺪﺭ ﺍﻷﻋﺸﺎﺏ!,ﻫﺬﻩ ﻓﺮﺻﺘﻨﺎ ﺍﻟﻤﺜﺎﻟﻴﺔ ﻟﻠﺤﺼﻮﻝ ﻋﻠﻰ ﺃﻧﺪﺭ ﺍﻷﻋﺸﺎﺏ!,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00009,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,9,npc,,npc,NPC,NPC,NPC,,role,,ﺣﺴﻨﺎ ﺇﺫﻥ، ﻻ ﺑﺄﺱ!,ﺣﺴﻨﺎ ﺇﺫﻥ، ﻻ ﺑﺄﺱ!,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00010,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,10,npc,,npc,NPC,NPC,NPC,,role,,ﻳﺎ ﻟﻸﺳﻒ...,ﻳﺎ ﻟﻸﺳﻒ...,gamedata/localizationstring_eng.paloc
black_wall_0600_13_npc_00011,black,Black,Scene Dialogue,Black,Black,0600,Black 0600,black_wall_0600_13,wall_0600_13,black_wall_0600_13_npc,wall_0600_13_npc,wall_0600_13,wall,0600_13,11,npc,,npc,NPC,NPC,NPC,,role,,ﺍﻷﻋﺸﺎﺏ ﺍﻟﺘﻲ ﺿﺮﺑﻬﺎ ﺍﻟﺒﺮﻕ ﻗﺪ ﺗﺪﺭ ﻋﻠﻲ ﻣﺒﻠﻐﺎ ﻻ ﺑﺄﺱ ﺑﻪ...,ﺍﻷﻋﺸﺎﺏ ﺍﻟﺘﻲ ﺿﺮﺑﻬﺎ ﺍﻟﺒﺮﻕ ﻗﺪ ﺗﺪﺭ ﻋﻠﻲ ﻣﺒﻠﻐﺎ ﻻ ﺑﺄﺱ ﺑﻪ...,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00006,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺒﺮﻕ ﻳﺴﺘﻄﻴﻊ ﻃﺮﺩ ﺍﻟﻈﻼﻡ,ﺍﻟﺒﺮﻕ ﻳﺴﺘﻄﻴﻊ ﻃﺮﺩ ﺍﻟﻈﻼﻡ,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00007,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺬﻱ ﻳﺨﻴﻢ ﻓﻮﻕ ﺟﺒﻞ ﺍﻟﺬﺋﺐ ﺍﻟﻔﻀﻲ...,ﺍﻟﺬﻱ ﻳﺨﻴﻢ ﻓﻮﻕ ﺟﺒﻞ ﺍﻟﺬﺋﺐ ﺍﻟﻔﻀﻲ...,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00008,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻤﻢ... ﻟﻜﻦ.,ﻫﻤﻢ... ﻟﻜﻦ.,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00009,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺎ ﺩﺍﻧﻐﺴﺎﻥ ﺍﻟﻌﻈﻴﻢ...,ﻳﺎ ﺩﺍﻧﻐﺴﺎﻥ ﺍﻟﻌﻈﻴﻢ...,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00010,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﺍﻟﺪﺭﻭﺏ ﺗﺆﺩﻱ ﺇﻟﻰ ﻭﺟﻬﺔ ﻭﺍﺣﺪﺓ...,ﻛﻞ ﺍﻟﺪﺭﻭﺏ ﺗﺆﺩﻱ ﺇﻟﻰ ﻭﺟﻬﺔ ﻭﺍﺣﺪﺓ...,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00011,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﺪﺕ ﺑﺎﻟﻔﻌﻞ.,ﻋﺪﺕ ﺑﺎﻟﻔﻌﻞ.,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00012,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻴﻒ ﻛﺎﻥ ﺍﻟﻮﺍﻗﻊ ﻣﻘﺎﺭﻧﺔ ﺑﺘﻮﻗﻌﺎﺗﻚ؟,ﻛﻴﻒ ﻛﺎﻥ ﺍﻟﻮﺍﻗﻊ ﻣﻘﺎﺭﻧﺔ ﺑﺘﻮﻗﻌﺎﺗﻚ؟,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00013,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺴﻨﺎ، ﻟﻢ ﻳﻜﻦ ﺍﻷﻣﺮ ﺳﻬﻼ، ﻟﻜﻦ...,ﺣﺴﻨﺎ، ﻟﻢ ﻳﻜﻦ ﺍﻷﻣﺮ ﺳﻬﻼ، ﻟﻜﻦ...,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00014,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺎﻟﺘﺄﻛﻴﺪ ﻟﻴﺲ ﻣﺴﺘﺤﻴﻼ... ﻟﺒﺎﻳﻜﺎﻧﻲ.,ﺑﺎﻟﺘﺄﻛﻴﺪ ﻟﻴﺲ ﻣﺴﺘﺤﻴﻼ... ﻟﺒﺎﻳﻜﺎﻧﻲ.,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00015,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺭﻧﻲ ﻣﺎ ﻭﺟﺪﺗﻪ، ﻭﺳﺄﺳﻤﺢ ﻟﻚ ﺑﺎﺳﺘﺨﺪﺍﻣﻪ.,ﺃﺭﻧﻲ ﻣﺎ ﻭﺟﺪﺗﻪ، ﻭﺳﺄﺳﻤﺢ ﻟﻚ ﺑﺎﺳﺘﺨﺪﺍﻣﻪ.,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00016,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"ﻟﻜﻦ ﻗﺪﺭﺗﻚ ﻋﻠﻰ ﺍﺳﺘﺨﺪﺍﻡ ""ﺍﻟﻘﻮﺓ"" ﺗﺤﻜﻲ ﻗﺼﺔ ﻣﺨﺘﻠﻔﺔ...","ﻟﻜﻦ ﻗﺪﺭﺗﻚ ﻋﻠﻰ ﺍﺳﺘﺨﺪﺍﻡ ""ﺍﻟﻘﻮﺓ"" ﺗﺤﻜﻲ ﻗﺼﺔ ﻣﺨﺘﻠﻔﺔ...",gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00017,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Myordin:Myurdin,ﺇﻥ ﻛﻨﺖ ﺗﺘﺤﺪﺙ ﻋﻦ ﻗﺘﺎﻝ ﻣﻊ {Staticinfo:Knowledge:Knowledge_Myordin#Myurdin}...,ﺇﻥ ﻛﻨﺖ ﺗﺘﺤﺪﺙ ﻋﻦ ﻗﺘﺎﻝ ﻣﻊ {Staticinfo:Knowledge:Knowledge_Myordin#Myurdin}...,gamedata/localizationstring_eng.paloc
black_wall_0900_npc_00_00018,black,Black,Scene Dialogue,Black,Black,0900,Black 0900,black_wall_0900,wall_0900,black_wall_0900_npc_00,wall_0900_npc_00,wall_0900,wall,0900,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻈﻼﻡ ﻓﻮﻕ ﺍﻟﻘﻤﺔ ﺳﻴﺮﻓﻊ...,ﺍﻟﻈﻼﻡ ﻓﻮﻕ ﺍﻟﻘﻤﺔ ﺳﻴﺮﻓﻊ...,gamedata/localizationstring_eng.paloc
