key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
blissredknight_9000_boss_00_00002,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻇﻨﻨﺖ ﺃﻧﻨﻲ ﺳﻤﻌﺖ ﻓﺄﺭﺍ ﻳﺘﺴﻠﻞ.,ﻇﻨﻨﺖ ﺃﻧﻨﻲ ﺳﻤﻌﺖ ﻓﺄﺭﺍ ﻳﺘﺴﻠﻞ.,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00003,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﺫﻥ، ﺟﺌﺖ ﺇﻟﻰ ﻫﻨﺎ ﻟﺘﻠﻘﻰ ﺣﺘﻔﻚ؟,ﺇﺫﻥ، ﺟﺌﺖ ﺇﻟﻰ ﻫﻨﺎ ﻟﺘﻠﻘﻰ ﺣﺘﻔﻚ؟,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00005,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺑﻜﻞ ﺳﺮﻭﺭ!,ﺑﻜﻞ ﺳﺮﻭﺭ!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00007,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻢ ﻳﻨﺘﻪ ﺍﻷﻣﺮ ﺑﻌﺪ!,ﻟﻢ ﻳﻨﺘﻪ ﺍﻷﻣﺮ ﺑﻌﺪ!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00008,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺑﺎﺳﺘﻴﻴﺮ!,ﺑﺎﺳﺘﻴﻴﺮ!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00009,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00017,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻵﻥ ﺍﺷﻬﺪ ﻗﻮﺗﻪ!,ﺍﻵﻥ ﺍﺷﻬﺪ ﻗﻮﺗﻪ!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00018,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻭﻻ ﺃﺣﺪ ﺃﻗﻮﻯ ﻣﻦ ﺍﻟﻘﺎﺋﺪ ﺍﻷﻋﻠﻰ ﺑﺎﺳﺘﻴﻴﺮ!,ﻭﻻ ﺃﺣﺪ ﺃﻗﻮﻯ ﻣﻦ ﺍﻟﻘﺎﺋﺪ ﺍﻷﻋﻠﻰ ﺑﺎﺳﺘﻴﻴﺮ!,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00019,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺑﺄﻣﺮﻩ، ﻣﻨﺤﺖ ﺑﺮﻛﺔ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺴﻮﺩﺍﺀ.,ﺑﺄﻣﺮﻩ، ﻣﻨﺤﺖ ﺑﺮﻛﺔ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺴﻮﺩﺍﺀ.,gamedata/localizationstring_eng.paloc
blissredknight_9000_boss_00_00020,blissredknight,Blissredknight,Scene Dialogue,Blissredknight,Blissredknight,9000,Blissredknight 9000,blissredknight_9000,9000,blissredknight_9000_boss_00,9000_boss_00,9000,9000,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﻮﺓ ﻣﻨﺤﺖ ﻟﻪ ﻟﺘﺤﻘﻴﻖ ﺇﺭﺍﺩﺗﻪ ﻭﺣﺪﻫﺎ!,ﻗﻮﺓ ﻣﻨﺤﺖ ﻟﻪ ﻟﺘﺤﻘﻴﻖ ﺇﺭﺍﺩﺗﻪ ﻭﺣﺪﻫﺎ!,gamedata/localizationstring_eng.paloc
