key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
blissredsentinel_9000_boss_00_00002,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻫﻼ...,ﺃﻫﻼ...,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00003,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﻟﻰ ﺿﻴﻮﻑ ﺍﻟﺸﺮﻑ ﻓﻲ ﺻﻴﺪ ﺍﻟﻴﻮﻡ.,ﺇﻟﻰ ﺿﻴﻮﻑ ﺍﻟﺸﺮﻑ ﻓﻲ ﺻﻴﺪ ﺍﻟﻴﻮﻡ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00004,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﺦ...,ﻛﺦ...,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00005,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺭﻯ... ﺿﻴﻒ ﻣﻤﻴﺰ ﺟﺪﺍ ﻗﺪ ﻭﺻﻞ.,ﺃﺭﻯ... ﺿﻴﻒ ﻣﻤﻴﺰ ﺟﺪﺍ ﻗﺪ ﻭﺻﻞ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00006,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺭﻭﺡ ﻧﺒﻴﻠﺔ، ﻳﻘﻮﺩﻫﺎ ﺇﺣﺴﺎﺳﻬﺎ ﺑﺎﻟﺮﺳﺎﻟﺔ.,ﺭﻭﺡ ﻧﺒﻴﻠﺔ، ﻳﻘﻮﺩﻫﺎ ﺇﺣﺴﺎﺳﻬﺎ ﺑﺎﻟﺮﺳﺎﻟﺔ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00007,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻭﻣﻊ ﺫﻟﻚ، ﻧﻘﻒ ﻫﻨﺎ ﻋﻠﻰ ﻗﺪﻡ ﺍﻟﻤﺴﺎﻭﺍﺓ.,ﻭﻣﻊ ﺫﻟﻚ، ﻧﻘﻒ ﻫﻨﺎ ﻋﻠﻰ ﻗﺪﻡ ﺍﻟﻤﺴﺎﻭﺍﺓ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00008,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺗﺸﺒﺚ ﺑﺎﻟﺒﻘﺎﺀ.,ﺃﺗﺸﺒﺚ ﺑﺎﻟﺒﻘﺎﺀ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00009,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻭﺍﻟﻤﻮﺕ ﻛﺎﻟﻮﺣﺶ.,ﻭﺍﻟﻤﻮﺕ ﻛﺎﻟﻮﺣﺶ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00010,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺳﺤﺐ ﻗﻮﺳﻲ ﻛﻤﺎ ﻳﻘﺘﻀﻲ ﺍﻟﻌﺪﻝ.,ﺃﺳﺤﺐ ﻗﻮﺳﻲ ﻛﻤﺎ ﻳﻘﺘﻀﻲ ﺍﻟﻌﺪﻝ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00011,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻧﺖ ﺗﻌﺮﻑ ﺟﻴﺪﺍ ﻟﻤﺎﺫﺍ ﻳﺠﺐ ﺃﻥ ﺗﻤﻮﺕ.,ﺃﻧﺖ ﺗﻌﺮﻑ ﺟﻴﺪﺍ ﻟﻤﺎﺫﺍ ﻳﺠﺐ ﺃﻥ ﺗﻤﻮﺕ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00012,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ ﺗﺨﺶ، ﻓﻠﻦ ﻳﺪﻭﻡ ﻋﺬﺍﺑﻚ ﺇﻻ ﻟﺤﻈﺔ.,ﻻ ﺗﺨﺶ، ﻓﻠﻦ ﻳﺪﻭﻡ ﻋﺬﺍﺑﻚ ﺇﻻ ﻟﺤﻈﺔ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00013,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,Knowledge:Knowledge_Nairah:Naira,ﻟﻢ ﺃﻋﺪ ﺗﻠﻤﻴﺬ {Staticinfo:Knowledge:Knowledge_Nairah#Naira}—ﻣﻬﺎﺭﺍﺗﻲ ﺗﺠﺎﻭﺯﺕ ﻣﻬﺎﺭﺍﺗﻬﺎ ﻣﻨﺬ ﻭﻗﺖ ﻃﻮﻳﻞ.,ﻟﻢ ﺃﻋﺪ ﺗﻠﻤﻴﺬ {Staticinfo:Knowledge:Knowledge_Nairah#Naira}—ﻣﻬﺎﺭﺍﺗﻲ ﺗﺠﺎﻭﺯﺕ ﻣﻬﺎﺭﺍﺗﻬﺎ ﻣﻨﺬ ﻭﻗﺖ ﻃﻮﻳﻞ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00014,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻭﺍﻵﻥ، ﻓﻠﻨﻀﻊ ﻧﻬﺎﻳﺔ ﻟﻬﺬﺍ ﺍﻟﺼﻴﺪ.,ﻭﺍﻵﻥ، ﻓﻠﻨﻀﻊ ﻧﻬﺎﻳﺔ ﻟﻬﺬﺍ ﺍﻟﺼﻴﺪ.,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_boss_00_00020,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_boss_00,9000_boss_00,9000,9000,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_narration_00000,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_narration,9000_narration,9000,9000,,0,narration,,narration,Narration,Narration,Narration,,role,,ﺃﻳﻬﺎ ﺍﻟﺠﺒﺎﻥ... ﻟﻢ ﻻ ﺗﺮﻛﺾ ﺃﺑﻌﺪ ﻣﻦ ﺫﻟﻚ؟,ﺃﻳﻬﺎ ﺍﻟﺠﺒﺎﻥ... ﻟﻢ ﻻ ﺗﺮﻛﺾ ﺃﺑﻌﺪ ﻣﻦ ﺫﻟﻚ؟,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_npc_00_00015,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_npc_00,9000_npc_00,9000,9000,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﻍ...!,ﺃﻭﻍ...!,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_npc_00_00016,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_npc_00,9000_npc_00,9000,9000,,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻳﻬﺎ ﺍﻟﺸﻴﻄﺎﻥ...!,ﺃﻳﻬﺎ ﺍﻟﺸﻴﻄﺎﻥ...!,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_npc_00_00017,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_npc_00,9000_npc_00,9000,9000,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺂﺧﺬﻙ...,ﺳﺂﺧﺬﻙ...,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_npc_00_00018,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_npc_00,9000_npc_00,9000,9000,,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﻨﻠﺘﻘﻲ ﻣﺠﺪﺩﺍ ﻋﻠﻰ ﺍﻟﺠﺎﻧﺐ ﺍﻵﺧﺮ...!,ﺳﻨﻠﺘﻘﻲ ﻣﺠﺪﺩﺍ ﻋﻠﻰ ﺍﻟﺠﺎﻧﺐ ﺍﻵﺧﺮ...!,gamedata/localizationstring_eng.paloc
blissredsentinel_9000_npc_00_00019,blissredsentinel,Blissredsentinel,Scene Dialogue,Blissredsentinel,Blissredsentinel,9000,Blissredsentinel 9000,blissredsentinel_9000,9000,blissredsentinel_9000_npc_00,9000_npc_00,9000,9000,,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
