key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
blood_golem_9000_new_boss_00_00003,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺖ...,ﻣﺖ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00004,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﺄﺱ...,ﻳﺄﺱ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00005,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﻟﺘﻬﻢ ﺍﻟﺠﻤﻴﻊ...,ﺳﺄﻟﺘﻬﻢ ﺍﻟﺠﻤﻴﻊ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00006,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻏﺴﻠﻪ ﺑﺎﻟﺪﻡ...,ﺍﻏﺴﻠﻪ ﺑﺎﻟﺪﻡ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00007,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﻟﺘﻬﻢ ﻛﻞ ﻣﺎ ﻓﻴﻚ...,ﺳﺄﻟﺘﻬﻢ ﻛﻞ ﻣﺎ ﻓﻴﻚ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00008,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻌﺎﻝ ﺇﻟﻲ...,ﺗﻌﺎﻝ ﺇﻟﻲ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00009,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﻴﻜﻮﻥ ﻟﻜﻢ ﺟﻤﻴﻌﺎ ﺍﻟﻤﺼﻴﺮ ﻧﻔﺴﻪ...,ﺳﻴﻜﻮﻥ ﻟﻜﻢ ﺟﻤﻴﻌﺎ ﺍﻟﻤﺼﻴﺮ ﻧﻔﺴﻪ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00010,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﻴﻤﻮﺕ ﺍﻟﺠﻤﻴﻊ ﺍﻟﻤﻮﺗﺔ ﻧﻔﺴﻬﺎ...,ﺳﻴﻤﻮﺕ ﺍﻟﺠﻤﻴﻊ ﺍﻟﻤﻮﺗﺔ ﻧﻔﺴﻬﺎ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00011,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻓﻲ ﻋﺎﻟﻢ ﺃﺣﻤﺮ ﻛﺎﻟﺪﻡ...,ﻓﻲ ﻋﺎﻟﻢ ﺃﺣﻤﺮ ﻛﺎﻟﺪﻡ...,gamedata/localizationstring_eng.paloc
blood_golem_9000_new_boss_00_00012,blood,Blood,Scene Dialogue,Blood,Blood,9000,Blood 9000,blood_golem_9000_new,golem_9000_new,blood_golem_9000_new_boss_00,golem_9000_new_boss_00,golem_9000_new,golem,9000_new,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﻴﺮﻯ ﺍﻟﺠﻤﻴﻊ ﺍﻟﻤﺸﻬﺪ ﻧﻔﺴﻪ.,ﺳﻴﺮﻯ ﺍﻟﺠﻤﻴﻊ ﺍﻟﻤﺸﻬﺪ ﻧﻔﺴﻪ.,gamedata/localizationstring_eng.paloc
