key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
bloodcoronation_0150_globalgametrack_00074,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_globalgametrack,0150_globalgametrack,0150,0150,,74,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺣﺎﻥ ﻭﻗﺖ ﺇﻧﻬﺎﺀ ﺻﻴﺪ ﺍﻟﺪﺏ.,ﺣﺎﻥ ﻭﻗﺖ ﺇﻧﻬﺎﺀ ﺻﻴﺪ ﺍﻟﺪﺏ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00047,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,47,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺃﻧﺖ ﺑﺨﻴﺮ؟,ﻫﻞ ﺃﻧﺖ ﺑﺨﻴﺮ؟,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00048,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,48,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻌﺎﻝ. ﺍﻣﺶ ﻣﻌﻲ.,ﺗﻌﺎﻝ. ﺍﻣﺶ ﻣﻌﻲ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00049,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,49,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺒﺪﻭ ﺃﻥ ﻣﻴﻮﺭﺩﻳﻦ ﻓﺮ ﺇﻟﻰ ﺩﻳﻤﻨﻴﺲ.,ﻳﺒﺪﻭ ﺃﻥ ﻣﻴﻮﺭﺩﻳﻦ ﻓﺮ ﺇﻟﻰ ﺩﻳﻤﻨﻴﺲ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00050,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,50,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻭﺟﺪﻧﺎ ﻋﻼﻣﺎﺕ ﺃﻥ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ ﻳﺘﺤﺮﻛﻮﻥ ﻓﻲ ﺫﻟﻚ ﺍﻻﺗﺠﺎﻩ ﺃﻳﻀﺎ.,ﻭﺟﺪﻧﺎ ﻋﻼﻣﺎﺕ ﺃﻥ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ ﻳﺘﺤﺮﻛﻮﻥ ﻓﻲ ﺫﻟﻚ ﺍﻻﺗﺠﺎﻩ ﺃﻳﻀﺎ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00051,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,51,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺎﻳﺮﺍ ﻭﺃﻧﺪﺭﻭ ﻳﺒﺤﺜﺎﻥ ﻓﻲ ﺍﻷﻣﺮ، ﻟﺬﺍ ﺳﻨﻌﺮﻑ ﺍﻟﻤﺰﻳﺪ ﻗﺮﻳﺒﺎ.,ﻧﺎﻳﺮﺍ ﻭﺃﻧﺪﺭﻭ ﻳﺒﺤﺜﺎﻥ ﻓﻲ ﺍﻷﻣﺮ، ﻟﺬﺍ ﺳﻨﻌﺮﻑ ﺍﻟﻤﺰﻳﺪ ﻗﺮﻳﺒﺎ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00052,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,52,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﺪﻱ ﺷﻲﺀ ﺃﻋﻄﻴﻪ ﻟﻚ.,ﻟﺪﻱ ﺷﻲﺀ ﺃﻋﻄﻴﻪ ﻟﻚ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00054,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,54,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺳﺘﻐﺮﻕ ﺍﻷﻣﺮ ﻭﻗﺘﺎ ﻃﻮﻳﻼ ﻻﺳﺘﻌﺎﺩﺓ ﺃﺭﺿﻨﺎ.,ﺍﺳﺘﻐﺮﻕ ﺍﻷﻣﺮ ﻭﻗﺘﺎ ﻃﻮﻳﻼ ﻻﺳﺘﻌﺎﺩﺓ ﺃﺭﺿﻨﺎ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00055,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,55,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺖ ﺟﻴﺎﻥ ﻛﺎﻥ ﺣﻴﺎ ﻟﻴﺮﻯ ﻫﺬﺍ.,ﻟﻴﺖ ﺟﻴﺎﻥ ﻛﺎﻥ ﺣﻴﺎ ﻟﻴﺮﻯ ﻫﺬﺍ.,gamedata/localizationstring_eng.paloc
bloodcoronation_0150_npc_00_00056,bloodcoronation,Bloodcoronation,Scene Dialogue,Bloodcoronation,Bloodcoronation,0150,Bloodcoronation 0150,bloodcoronation_0150,0150,bloodcoronation_0150_npc_00,0150_npc_00,0150,0150,,56,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﻋﻠﻢ ﺇﻥ ﻛﺎﻥ ﺩﻭﺍﻳﻦ ﻗﺪ ﺃﺧﺒﺮﻙ ﺑﻬﺬﺍ،,ﻻ ﺃﻋﻠﻢ ﺇﻥ ﻛﺎﻥ ﺩﻭﺍﻳﻦ ﻗﺪ ﺃﺧﺒﺮﻙ ﺑﻬﺬﺍ،,gamedata/localizationstring_eng.paloc
