key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
caliburn_boss_0001_00_npc_00_00001,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00002,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00003,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻠﻴﻒ!,ﻛﻠﻴﻒ!,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00004,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00005,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00006,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0001_00_npc_00_00007,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0001,Caliburn 0001,caliburn_boss_0001_00,boss_0001_00,caliburn_boss_0001_00_npc_00,boss_0001_00_npc_00,boss_0001_00,boss,0001_00,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00007,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻗﻒ ﺃﻣﺎﻣﻜﻢ ﺑﺼﻔﺘﻲ ﺳﺘﻴﻔﺎﻥ ﻻﻧﻔﻮﺭﺩ ﻣﻦ ﻛﺎﻟﻔﻴﺪ.,ﺃﻗﻒ ﺃﻣﺎﻣﻜﻢ ﺑﺼﻔﺘﻲ ﺳﺘﻴﻔﺎﻥ ﻻﻧﻔﻮﺭﺩ ﻣﻦ ﻛﺎﻟﻔﻴﺪ.,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00008,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ ﺩﻋﻨﻲ ﺃﺳﺄﻝ، ﻣﻦ ﺃﻧﺖ؟,ﻟﻜﻦ ﺩﻋﻨﻲ ﺃﺳﺄﻝ، ﻣﻦ ﺃﻧﺖ؟,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00009,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺃﻧﺘﻢ ﺍﻟﺒﻴﻮﺕ ﺍﻟﺘﻲ ﺍﻧﺤﺪﺭﺗﻢ ﻣﻨﻬﺎ، ﻭﺍﻟﺮﺍﻳﺎﺕ ﺍﻟﺘﻲ ﺗﺤﻤﻠﻮﻧﻬﺎ،,ﻫﻞ ﺃﻧﺘﻢ ﺍﻟﺒﻴﻮﺕ ﺍﻟﺘﻲ ﺍﻧﺤﺪﺭﺗﻢ ﻣﻨﻬﺎ، ﻭﺍﻟﺮﺍﻳﺎﺕ ﺍﻟﺘﻲ ﺗﺤﻤﻠﻮﻧﻬﺎ،,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00010,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻡ ﺍﻷﻟﻘﺎﺏ ﺍﻟﻜﺜﻴﺮﺓ ﺍﻟﺘﻲ ﺗﺤﻤﻠﻬﺎ؟,ﺃﻡ ﺍﻷﻟﻘﺎﺏ ﺍﻟﻜﺜﻴﺮﺓ ﺍﻟﺘﻲ ﺗﺤﻤﻠﻬﺎ؟,gamedata/localizationstring_eng.paloc
caliburn_boss_0300_npc_00_00011,caliburn,Caliburn,Scene Dialogue,Caliburn,Caliburn,0300,Caliburn 0300,caliburn_boss_0300,boss_0300,caliburn_boss_0300_npc_00,boss_0300_npc_00,boss_0300,boss,0300,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻴﻮﻡ، ﻧﻘﻒ ﻣﺘﺤﺪﻳﻦ،,ﺍﻟﻴﻮﻡ، ﻧﻘﻒ ﻣﺘﺤﺪﻳﻦ،,gamedata/localizationstring_eng.paloc
