key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
calphadecastle_darkking_0100_npc_00_00001,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻠﻌﻨﺔ...,ﺍﻟﻠﻌﻨﺔ...,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00002,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00003,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻏﺮﺍﻳﻤﺎﻧﺰ.,ﻏﺮﺍﻳﻤﺎﻧﺰ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00004,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺳﻤﻊ، ﻣﻦ ﺍﻟﺨﻄﺮ ﺃﻥ ﺗﺘﺎﺑﻊ ﺍﻟﺼﻌﻮﺩ ﺃﻛﺜﺮ ﻣﻦ ﻫﺬﺍ.,ﺍﺳﻤﻊ، ﻣﻦ ﺍﻟﺨﻄﺮ ﺃﻥ ﺗﺘﺎﺑﻊ ﺍﻟﺼﻌﻮﺩ ﺃﻛﺜﺮ ﻣﻦ ﻫﺬﺍ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00005,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺗﺮﻙ ﻫﺬﺍ ﻟﻨﺎ ﻭﺍﺳﺮﻉ ﺇﻟﻰ ﺍﻷﺳﻔﻞ.,ﺍﺗﺮﻙ ﻫﺬﺍ ﻟﻨﺎ ﻭﺍﺳﺮﻉ ﺇﻟﻰ ﺍﻷﺳﻔﻞ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_00_00006,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_00,darkking_0100_npc_00,darkking_0100,darkking,0100,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﻘﻮﻟﻮﻥ ﺇﻥ ﻣﻦ ﻳﺼﻌﺪ ﺑﻌﻴﺪﺍ ﺃﻛﺜﺮ ﻣﻦ ﺍﻟﻼﺯﻡ ﻳﻨﺘﻬﻲ ﺑﻪ ﺍﻷﻣﺮ ﻣﻠﻌﻮﻧﺎ.,ﻳﻘﻮﻟﻮﻥ ﺇﻥ ﻣﻦ ﻳﺼﻌﺪ ﺑﻌﻴﺪﺍ ﺃﻛﺜﺮ ﻣﻦ ﺍﻟﻼﺯﻡ ﻳﻨﺘﻬﻲ ﺑﻪ ﺍﻷﻣﺮ ﻣﻠﻌﻮﻧﺎ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_01_00007,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_01,darkking_0100_npc_01,darkking_0100,darkking,0100,7,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻻ، ﻻ ﻳﺠﺐ ﺃﻥ ﺗﻔﻌﻞ! ﻟﻘﺪ ﺍﺳﺘﻮﻟﺖ ﺃﻃﻴﺎﻑ ﻏﺮﻳﺒﺔ ﻋﻠﻰ ﺍﻟﺠﺒﻞ.,ﻻ، ﻻ ﻳﺠﺐ ﺃﻥ ﺗﻔﻌﻞ! ﻟﻘﺪ ﺍﺳﺘﻮﻟﺖ ﺃﻃﻴﺎﻑ ﻏﺮﻳﺒﺔ ﻋﻠﻰ ﺍﻟﺠﺒﻞ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_01_00008,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_01,darkking_0100_npc_01,darkking_0100,darkking,0100,8,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﻋﺪﺍﺩﻫﻢ ﺗﺰﺩﺍﺩ ﻳﻮﻣﺎ ﺑﻌﺪ ﻳﻮﻡ.,ﺃﻋﺪﺍﺩﻫﻢ ﺗﺰﺩﺍﺩ ﻳﻮﻣﺎ ﺑﻌﺪ ﻳﻮﻡ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_npc_01_00009,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_npc_01,darkking_0100_npc_01,darkking_0100,darkking,0100,9,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺇﻧﻬﻢ ﻏﺎﺿﺒﻮﻥ... ﻭﻋﻨﻴﻔﻮﻥ!,ﺇﻧﻬﻢ ﻏﺎﺿﺒﻮﻥ... ﻭﻋﻨﻴﻔﻮﻥ!,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0100_player_00000,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0100,Calphadecastle 0100,calphadecastle_darkking_0100,darkking_0100,calphadecastle_darkking_0100_player,darkking_0100_player,darkking_0100,darkking,0100,0,player,,player,Player,Player,Player,,role,,ﺟﺮﺣﻚ ﻳﺒﺪﻭ ﺧﻄﻴﺮﺍ.,ﺟﺮﺣﻚ ﻳﺒﺪﻭ ﺧﻄﻴﺮﺍ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0300_npc_00_00003,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0300,Calphadecastle 0300,calphadecastle_darkking_0300,darkking_0300,calphadecastle_darkking_0300_npc_00,darkking_0300_npc_00,darkking_0300,darkking,0300,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻌﻨﺔ ﻫﺬﺍ ﺍﻟﺠﺒﻞ... ﻳﻌﻴﺪ ﻛﻞ ﺍﻟﺤﻜﺎﻳﺎﺕ ﺍﻟﻘﺪﻳﻤﺔ.,ﻟﻌﻨﺔ ﻫﺬﺍ ﺍﻟﺠﺒﻞ... ﻳﻌﻴﺪ ﻛﻞ ﺍﻟﺤﻜﺎﻳﺎﺕ ﺍﻟﻘﺪﻳﻤﺔ.,gamedata/localizationstring_eng.paloc
calphadecastle_darkking_0300_npc_00_00004,calphadecastle,Calphadecastle,Scene Dialogue,Calphadecastle,Calphadecastle,0300,Calphadecastle 0300,calphadecastle_darkking_0300,darkking_0300,calphadecastle_darkking_0300_npc_00,darkking_0300_npc_00,darkking_0300,darkking,0300,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﻘﻮﻟﻮﻥ ﺇﻥ ﺍﻷﺷﺒﺎﺡ ﺗﺠﻠﺐ ﺍﻟﺒﺮﺩ.,ﻳﻘﻮﻟﻮﻥ ﺇﻥ ﺍﻷﺷﺒﺎﺡ ﺗﺠﻠﺐ ﺍﻟﺒﺮﺩ.,gamedata/localizationstring_eng.paloc
