key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
carriagefence_seizure_0100_globalgametrack_00134,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_globalgametrack,seizure_0100_globalgametrack,seizure_0100,seizure,0100,134,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺁﺧﺮ ﻣﺮﺓ ﺫﻫﺒﺖ ﻷﺟﻠﺐ ﻋﺮﺑﺔ ﺑﻨﻔﺴﻲ، ﻛﺪﺕ ﺃﻗﺘﻞ.,ﺁﺧﺮ ﻣﺮﺓ ﺫﻫﺒﺖ ﻷﺟﻠﺐ ﻋﺮﺑﺔ ﺑﻨﻔﺴﻲ، ﻛﺪﺕ ﺃﻗﺘﻞ.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_globalgametrack_00135,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_globalgametrack,seizure_0100_globalgametrack,seizure_0100,seizure,0100,135,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﻌﻤﻞ ﻓﻲ ﺍﻟﺤﻘﻞ ﻻ ﻳﻜﻔﻲ ﻹﻃﻌﺎﻡ ﺍﻟﺠﻤﻴﻊ،,ﺍﻟﻌﻤﻞ ﻓﻲ ﺍﻟﺤﻘﻞ ﻻ ﻳﻜﻔﻲ ﻹﻃﻌﺎﻡ ﺍﻟﺠﻤﻴﻊ،,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_globalgametrack_00136,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_globalgametrack,seizure_0100_globalgametrack,seizure_0100,seizure,0100,136,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻟﻜﻨﻨﻲ ﻋﻠﻰ ﺍﻷﻗﻞ ﺃﻋﺮﻑ ﺷﻴﺌﺎ ﻣﻦ ﺍﻟﻨﺠﺎﺭﺓ، ﻭﻫﺬﺍ ﻳﺴﺎﻋﺪﻧﻲ ﻋﻠﻰ ﺗﻮﻓﻴﺮ ﺍﻟﻄﻌﺎﻡ ﻋﻠﻰ ﺍﻟﻤﺎﺋﺪﺓ.,ﻟﻜﻨﻨﻲ ﻋﻠﻰ ﺍﻷﻗﻞ ﺃﻋﺮﻑ ﺷﻴﺌﺎ ﻣﻦ ﺍﻟﻨﺠﺎﺭﺓ، ﻭﻫﺬﺍ ﻳﺴﺎﻋﺪﻧﻲ ﻋﻠﻰ ﺗﻮﻓﻴﺮ ﺍﻟﻄﻌﺎﻡ ﻋﻠﻰ ﺍﻟﻤﺎﺋﺪﺓ.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00119,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,119,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻏﺮﺍﻳﻤﺎﻧﺰ، ﺟﺌﺖ ﻓﻲ ﺍﻟﻮﻗﺖ ﺍﻟﻤﺜﺎﻟﻲ...!,ﻏﺮﺍﻳﻤﺎﻧﺰ، ﺟﺌﺖ ﻓﻲ ﺍﻟﻮﻗﺖ ﺍﻟﻤﺜﺎﻟﻲ...!,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00120,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,120,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻨﺎﻙ ﻋﺪﺩ ﻣﻦ ﺍﻟﻌﺮﺑﺎﺕ ﺍﻟﻤﻬﺠﻮﺭﺓ ﻫﻨﺎ،,ﻫﻨﺎﻙ ﻋﺪﺩ ﻣﻦ ﺍﻟﻌﺮﺑﺎﺕ ﺍﻟﻤﻬﺠﻮﺭﺓ ﻫﻨﺎ،,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00121,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,121,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻭﺃﺭﻳﺪ ﺇﻧﻘﺎﺫ ﻣﺎ ﻧﺴﺘﻄﻴﻊ ﻗﺒﻞ ﺃﻥ ﻳﻨﻘﺾ ﻗﻄﺎﻉ ﺍﻟﻄﺮﻕ ﺍﻟﻠﻌﻴﻨﻮﻥ ﻭﻳﺴﺘﻮﻟﻮﺍ ﻋﻠﻴﻬﺎ!,ﻭﺃﺭﻳﺪ ﺇﻧﻘﺎﺫ ﻣﺎ ﻧﺴﺘﻄﻴﻊ ﻗﺒﻞ ﺃﻥ ﻳﻨﻘﺾ ﻗﻄﺎﻉ ﺍﻟﻄﺮﻕ ﺍﻟﻠﻌﻴﻨﻮﻥ ﻭﻳﺴﺘﻮﻟﻮﺍ ﻋﻠﻴﻬﺎ!,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00122,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,122,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻨﺖ ﻷﺫﻫﺐ ﺑﻨﻔﺴﻲ، ﻟﻜﻦ ﺍﻟﻠﺼﻮﺹ ﻳﻌﺠﻮﻥ ﺑﺎﻟﻤﻜﺎﻥ ﻭﻳﻈﻨﻮﻥ ﺃﻧﻬﻢ ﺃﺻﺤﺎﺑﻪ.,ﻛﻨﺖ ﻷﺫﻫﺐ ﺑﻨﻔﺴﻲ، ﻟﻜﻦ ﺍﻟﻠﺼﻮﺹ ﻳﻌﺠﻮﻥ ﺑﺎﻟﻤﻜﺎﻥ ﻭﻳﻈﻨﻮﻥ ﺃﻧﻬﻢ ﺃﺻﺤﺎﺑﻪ.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00123,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,123,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺷﻜﺮﺍ ﻟﻚ! ﺃﻋﺪﻙ ﺃﻥ ﺍﻟﻤﻜﺎﻓﺄﺓ ﺳﺘﺴﺘﺤﻖ ﻋﻨﺎﺀﻙ.,ﺷﻜﺮﺍ ﻟﻚ! ﺃﻋﺪﻙ ﺃﻥ ﺍﻟﻤﻜﺎﻓﺄﺓ ﺳﺘﺴﺘﺤﻖ ﻋﻨﺎﺀﻙ.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_00_00124,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_00,seizure_0100_npc_00,seizure_0100,seizure,0100,124,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺑﻨﻲ ﻫﻨﺎ ﺳﻴﺮﺷﺪﻙ ﺇﻟﻰ ﺍﻟﻌﺮﺑﺎﺕ.,ﺍﺑﻨﻲ ﻫﻨﺎ ﺳﻴﺮﺷﺪﻙ ﺇﻟﻰ ﺍﻟﻌﺮﺑﺎﺕ.,gamedata/localizationstring_eng.paloc
carriagefence_seizure_0100_npc_01_00040,carriagefence,Carriagefence,Scene Dialogue,Carriagefence,Carriagefence,0100,Carriagefence 0100,carriagefence_seizure_0100,seizure_0100,carriagefence_seizure_0100_npc_01,seizure_0100_npc_01,seizure_0100,seizure,0100,40,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻣﻦ ﻫﻨﺎ.,ﻣﻦ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
