key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
cd_minigame_race_0000_npc_00_00012,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﺩﺍﺑﺔ ﺟﻤﻴﻠﺔ ﺗﻤﺘﻄﻴﻬﺎ.,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﺩﺍﺑﺔ ﺟﻤﻴﻠﺔ ﺗﻤﺘﻄﻴﻬﺎ.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00013,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺗﻮﺩ ﺍﺧﺘﺒﺎﺭﻫﺎ ﺿﺪ ﺳﻴﻔﻲ؟,ﻫﻞ ﺗﻮﺩ ﺍﺧﺘﺒﺎﺭﻫﺎ ﺿﺪ ﺳﻴﻔﻲ؟,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00014,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻴﺎ، ﻟﻨﺘﺴﺎﺑﻖ ﺇﻟﻰ ﺩﺍﺭ ﺍﻟﺸﻔﺎﺀ.,ﻫﻴﺎ، ﻟﻨﺘﺴﺎﺑﻖ ﺇﻟﻰ ﺩﺍﺭ ﺍﻟﺸﻔﺎﺀ.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00015,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﺍﻟﺠﻮﺍﺩ ﺍﻟﻠﻌﻴﻦ ﺑﻄﻲﺀ ﺟﺪﺍ.,ﻫﺬﺍ ﺍﻟﺠﻮﺍﺩ ﺍﻟﻠﻌﻴﻦ ﺑﻄﻲﺀ ﺟﺪﺍ.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00016,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺘﺴﺘﻔﻴﺪ ﻣﻦ ﺑﻌﺾ ﺍﻟﺘﺪﺭﻳﺐ.,ﺳﺘﺴﺘﻔﻴﺪ ﻣﻦ ﺑﻌﺾ ﺍﻟﺘﺪﺭﻳﺐ.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00017,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺗﻄﻠﻊ ﻟﺴﺒﺎﻗﺎﺕ ﻣﺴﺘﻘﺒﻠﻴﺔ.,ﺃﺗﻄﻠﻊ ﻟﺴﺒﺎﻗﺎﺕ ﻣﺴﺘﻘﺒﻠﻴﺔ.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00018,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺴﻠﺒﻨﻲ ﻣﺘﻌﺘﻲ. ﺣﺎﻭﻝ ﺃﻥ ﺗﺠﺎﺭﻱ ﺍﻟﺴﺮﻋﺔ!,ﺗﺴﻠﺒﻨﻲ ﻣﺘﻌﺘﻲ. ﺣﺎﻭﻝ ﺃﻥ ﺗﺠﺎﺭﻱ ﺍﻟﺴﺮﻋﺔ!,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00019,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ ﺃﺑﻄﺄ ﻓﻲ ﺍﻟﺮﻛﻮﺏ ﻣﻤﺎ ﺗﻮﻗﻌﺖ.,ﺃﻧﺖ ﺃﺑﻄﺄ ﻓﻲ ﺍﻟﺮﻛﻮﺏ ﻣﻤﺎ ﺗﻮﻗﻌﺖ.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00020,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﻬﺬﻩ ﺍﻟﻮﺗﻴﺮﺓ، ﻳﻤﻜﻨﻨﻲ ﺍﻻﺳﺘﻤﺘﺎﻉ ﺑﻐﻔﻮﺓ ﻋﻠﻰ ﺍﻟﺴﺮﺝ.,ﺑﻬﺬﻩ ﺍﻟﻮﺗﻴﺮﺓ، ﻳﻤﻜﻨﻨﻲ ﺍﻻﺳﺘﻤﺘﺎﻉ ﺑﻐﻔﻮﺓ ﻋﻠﻰ ﺍﻟﺴﺮﺝ.,gamedata/localizationstring_eng.paloc
cd_minigame_race_0000_npc_00_00021,cd,Cd,Scene Dialogue,Cd,Cd,0000,Cd 0000,cd_minigame_race_0000,minigame_race_0000,cd_minigame_race_0000_npc_00,minigame_race_0000_npc_00,minigame_race_0000,minigame,race_0000,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﺍﻟﺤﻜﻤﺔ ﺃﻻ ﺗﺮﻛﻦ ﻟﻠﻐﺮﻭﺭ.,ﻣﻦ ﺍﻟﺤﻜﻤﺔ ﺃﻻ ﺗﺮﻛﻦ ﻟﻠﻐﺮﻭﺭ.,gamedata/localizationstring_eng.paloc
