key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
crimsonwingedduke_9000_boss_00_00007,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﻒ!,ﻗﻒ!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00009,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻟﻤﺘﺎﻋﺐ ﺍﻟﺘﻲ ﻣﺮﺭﺕ ﺑﻬﺎ ﻷﺟﻞ ﻫﺬﻩ ﺍﻟﺴﺎﺣﺮﺓ!,ﺍﻟﻤﺘﺎﻋﺐ ﺍﻟﺘﻲ ﻣﺮﺭﺕ ﺑﻬﺎ ﻷﺟﻞ ﻫﺬﻩ ﺍﻟﺴﺎﺣﺮﺓ!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00010,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﺗﺨﺮﻳﺐ ﻋﻤﻠﻲ؟,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﺗﺨﺮﻳﺐ ﻋﻤﻠﻲ؟,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00011,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00012,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺜﻴﺮ ﻟﻺﻋﺠﺎﺏ... ﻟﻜﻦ ﻧﻬﺎﻳﺘﻚ ﺣﺘﻤﻴﺔ.,ﻣﺜﻴﺮ ﻟﻺﻋﺠﺎﺏ... ﻟﻜﻦ ﻧﻬﺎﻳﺘﻚ ﺣﺘﻤﻴﺔ.,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00013,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻨﺮ ﺇﻥ ﻛﻨﺖ ﺗﺴﺘﻄﻴﻊ ﺗﻔﺎﺩﻱ ﺭﻣﺤﻲ!,ﻟﻨﺮ ﺇﻥ ﻛﻨﺖ ﺗﺴﺘﻄﻴﻊ ﺗﻔﺎﺩﻱ ﺭﻣﺤﻲ!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00014,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00015,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻦ ﺗﻔﻠﺖ ﻣﻨﻲ!,ﻟﻦ ﺗﻔﻠﺖ ﻣﻨﻲ!,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00016,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crimsonwingedduke_9000_boss_00_00017,crimsonwingedduke,Crimsonwingedduke,Scene Dialogue,Crimsonwingedduke,Crimsonwingedduke,9000,Crimsonwingedduke 9000,crimsonwingedduke_9000,9000,crimsonwingedduke_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻦ ﻳﻤﺲ ﺃﺣﺪ ﻏﻨﺎﺋﻤﻲ!,ﻟﻦ ﻳﻤﺲ ﺃﺣﺪ ﻏﻨﺎﺋﻤﻲ!,gamedata/localizationstring_eng.paloc
