key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
crogg_bossencounter_stand_boss_00_00007,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻓﺎﻥ ﺟﺎﺀ ﻟﻴﻘﺪﻡ ﻧﻔﺴﻪ ﻗﺮﺑﺎﻧﺎ ﻟﻤﺤﻴﻄﻲ!,ﻓﺎﻥ ﺟﺎﺀ ﻟﻴﻘﺪﻡ ﻧﻔﺴﻪ ﻗﺮﺑﺎﻧﺎ ﻟﻤﺤﻴﻄﻲ!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00008,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻧﺖ ﺃﻳﻀﺎ ﺳﺘﻠﺤﻖ ﺑﺎﻷﻋﻤﺎﻕ!,ﺃﻧﺖ ﺃﻳﻀﺎ ﺳﺘﻠﺤﻖ ﺑﺎﻷﻋﻤﺎﻕ!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00014,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺧﻴﺮﺍ، ﺗﺨﻀﻊ ﺃﻣﺎﻡ ﻋﻈﻤﺔ ﺍﻟﺒﺤﺮ!,ﺃﺧﻴﺮﺍ، ﺗﺨﻀﻊ ﺃﻣﺎﻡ ﻋﻈﻤﺔ ﺍﻟﺒﺤﺮ!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00015,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﻴﺎ، ﻏﺺ ﻓﻲ ﺃﻋﻤﺎﻕ ﺍﻟﻤﺤﻴﻂ!,ﻫﻴﺎ، ﻏﺺ ﻓﻲ ﺃﻋﻤﺎﻕ ﺍﻟﻤﺤﻴﻂ!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00016,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻋﻘﻠﻚ ﺃﺿﻌﻒ ﻣﻦ ﺃﻥ ﻳﺪﺭﻙ ﻋﻈﻤﺔ ﺍﻟﻤﺤﻴﻂ؟,ﺃﻋﻘﻠﻚ ﺃﺿﻌﻒ ﻣﻦ ﺃﻥ ﻳﺪﺭﻙ ﻋﻈﻤﺔ ﺍﻟﻤﺤﻴﻂ؟,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00017,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺭﺍﺋﻊ! ﺍﻟﺒﺤﺮ ﻳﻄﻠﺐ ﻣﺰﻳﺪﺍ ﻣﻦ ﺍﻟﻘﺮﺍﺑﻴﻦ، ﻭﻫﺎ ﺃﻧﺖ.,ﺭﺍﺋﻊ! ﺍﻟﺒﺤﺮ ﻳﻄﻠﺐ ﻣﺰﻳﺪﺍ ﻣﻦ ﺍﻟﻘﺮﺍﺑﻴﻦ، ﻭﻫﺎ ﺃﻧﺖ.,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00018,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻞ ﻣﻦ ﻳﺮﻓﺾ ﺧﺪﻣﺔ ﺇﻟﻪ ﺍﻟﺒﺤﺮ ﻳﺠﺐ ﺃﻥ ﻳﻬﻠﻚ.,ﻛﻞ ﻣﻦ ﻳﺮﻓﺾ ﺧﺪﻣﺔ ﺇﻟﻪ ﺍﻟﺒﺤﺮ ﻳﺠﺐ ﺃﻥ ﻳﻬﻠﻚ.,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_boss_00_00019,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﺭﻓﺾ ﻧﺪﺍﺀ ﺍﻷﻣﻮﺍﺝ، ﻭﺍﻟﻤﺤﻴﻂ ﺳﻴﺄﺧﺬﻙ.,ﺍﺭﻓﺾ ﻧﺪﺍﺀ ﺍﻷﻣﻮﺍﺝ، ﻭﺍﻟﻤﺤﻴﻂ ﺳﻴﺄﺧﺬﻙ.,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_globalgametrack_00020,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,20,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﻤﻮﺕ ﻟﻜﻞ ﻣﻦ ﻳﺮﻓﺾ ﺧﺪﻣﺔ ﺇﻟﻪ ﺍﻟﺒﺤﺮ!,ﺍﻟﻤﻮﺕ ﻟﻜﻞ ﻣﻦ ﻳﺮﻓﺾ ﺧﺪﻣﺔ ﺇﻟﻪ ﺍﻟﺒﺤﺮ!,gamedata/localizationstring_eng.paloc
crogg_bossencounter_stand_globalgametrack_00021,crogg,Crogg,Scene Dialogue,Crogg,Crogg,,Crogg,crogg_bossencounter_stand,bossencounter_stand,crogg_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,21,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻳﻬﺎ ﺍﻟﻤﺨﻠﻮﻕ ﺍﻟﻀﻌﻴﻒ... ﻟﺘﺒﺘﻠﻌﻚ ﺍﻷﻣﻮﺍﺝ ﺍﻟﻌﻈﻴﻤﺔ!,ﺃﻳﻬﺎ ﺍﻟﻤﺨﻠﻮﻕ ﺍﻟﻀﻌﻴﻒ... ﻟﺘﺒﺘﻠﻌﻚ ﺍﻷﻣﻮﺍﺝ ﺍﻟﻌﻈﻴﻤﺔ!,gamedata/localizationstring_eng.paloc
