key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
crowman_boss_0200_boss_00_00006,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺁﻩ، ﺃﻟﻴﺲ ﻫﺬﺍ ﺃﺣﺪ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ ﺍﻟﻤﺒﺠﻠﻴﻦ.,ﺁﻩ، ﺃﻟﻴﺲ ﻫﺬﺍ ﺃﺣﺪ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ ﺍﻟﻤﺒﺠﻠﻴﻦ.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00007,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺄﺧﺮﺕ ﻛﺜﻴﺮﺍ.,ﺗﺄﺧﺮﺕ ﻛﺜﻴﺮﺍ.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00008,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ؟ ﺁﻩ... ﺗﻘﺼﺪ ﺍﻟﻘﺮﺑﺎﻥ.,ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ؟ ﺁﻩ... ﺗﻘﺼﺪ ﺍﻟﻘﺮﺑﺎﻥ.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00009,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻓﻲ ﻃﺮﻳﻘﻬﺎ ﺇﻟﻰ ﺍﻟﻤﺬﺑﺢ ﻭﻧﺤﻦ ﻧﺘﺤﺪﺙ.,ﻓﻲ ﻃﺮﻳﻘﻬﺎ ﺇﻟﻰ ﺍﻟﻤﺬﺑﺢ ﻭﻧﺤﻦ ﻧﺘﺤﺪﺙ.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00010,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻃﺎﻟﻤﺎ ﺗﺴﺎﺀﻟﺖ ﻟﻢ ﺍﻫﺘﻤﺖ ﺃﻣﻲ ﺑﺄﻣﺜﺎﻟﻚ.,ﻃﺎﻟﻤﺎ ﺗﺴﺎﺀﻟﺖ ﻟﻢ ﺍﻫﺘﻤﺖ ﺃﻣﻲ ﺑﺄﻣﺜﺎﻟﻚ.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00011,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻨﻜﺘﺸﻒ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﻟﻨﻜﺘﺸﻒ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00012,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00013,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻫﺬﺍ ﺃﻓﻀﻞ ﻣﺎ ﻟﺪﻳﻚ؟,ﺃﻫﺬﺍ ﺃﻓﻀﻞ ﻣﺎ ﻟﺪﻳﻚ؟,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00014,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﺒﺪﻭ ﺃﻧﻚ ﻻ ﺗﻤﻠﻚ ﺇﺭﺍﺩﺓ ﻟﻠﻘﺘﺎﻝ! ﻳﺎ ﻟﻬﺎ ﻣﻦ ﺧﻴﺒﺔ ﺃﻣﻞ ﺗﺎﻣﺔ!,ﻳﺒﺪﻭ ﺃﻧﻚ ﻻ ﺗﻤﻠﻚ ﺇﺭﺍﺩﺓ ﻟﻠﻘﺘﺎﻝ! ﻳﺎ ﻟﻬﺎ ﻣﻦ ﺧﻴﺒﺔ ﺃﻣﻞ ﺗﺎﻣﺔ!,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00015,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﻥ ﻛﺎﻧﺖ ﻫﺬﻩ ﺣﻘﻴﻘﺔ ﻗﻮﺓ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ، ﻓﻼ ﺣﺎﺟﺔ ﻟﻲ ﻫﻨﺎ ﺑﻌﺪ ﺍﻵﻥ.,ﺇﻥ ﻛﺎﻧﺖ ﻫﺬﻩ ﺣﻘﻴﻘﺔ ﻗﻮﺓ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ، ﻓﻼ ﺣﺎﺟﺔ ﻟﻲ ﻫﻨﺎ ﺑﻌﺪ ﺍﻵﻥ.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00016,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻢ ﺗﻌﻨﻰ ﺍﻷﻡ ﺑﻬﺬﺍ ﺍﻟﻘﺬﺭ...,ﻟﻢ ﺗﻌﻨﻰ ﺍﻷﻡ ﺑﻬﺬﺍ ﺍﻟﻘﺬﺭ...,gamedata/localizationstring_eng.paloc
crowman_boss_0200_boss_00_00017,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_boss_00,boss_0200_boss_00,boss_0200,boss,0200,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻗﺘﻠﻪ.,ﺍﻗﺘﻠﻪ.,gamedata/localizationstring_eng.paloc
crowman_boss_0200_player_00000,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_player,boss_0200_player,boss_0200,boss,0200,0,player,,player,Player,Player,Player,,role,,ﺃﻳﻦ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ؟,ﺃﻳﻦ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ؟,gamedata/localizationstring_eng.paloc
crowman_boss_0200_player_00001,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_player,boss_0200_player,boss_0200,boss,0200,1,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0200_player_00003,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_player,boss_0200_player,boss_0200,boss,0200,3,player,,player,Player,Player,Player,,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
crowman_boss_0200_player_00005,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0200,Crowman 0200,crowman_boss_0200,boss_0200,crowman_boss_0200_player,boss_0200_player,boss_0200,boss,0200,5,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0250_narration_00023,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0250,Crowman 0250,crowman_boss_0250,boss_0250,crowman_boss_0250_narration,boss_0250_narration,boss_0250,boss,0250,23,narration,,narration,Narration,Narration,Narration,,role,,ﻏﺮﺍﻳﻤﺎﻧﺰ.,ﻏﺮﺍﻳﻤﺎﻧﺰ.,gamedata/localizationstring_eng.paloc
crowman_boss_0250_narration_00024,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0250,Crowman 0250,crowman_boss_0250,boss_0250,crowman_boss_0250_narration,boss_0250_narration,boss_0250,boss,0250,24,narration,,narration,Narration,Narration,Narration,,role,,ﺃﺣﺲ ﺃﻥ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ ﻟﻢ ﻳﻌﺪ ﻓﻲ ﻫﺮﻧﺎﻧﺪ. ﺇﻧﻬﻢ ﻳﺘﻮﺟﻬﻮﻥ ﺇﻟﻰ ﺩﻳﻤﻨﻴﺲ.,ﺃﺣﺲ ﺃﻥ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ ﻟﻢ ﻳﻌﺪ ﻓﻲ ﻫﺮﻧﺎﻧﺪ. ﺇﻧﻬﻢ ﻳﺘﻮﺟﻬﻮﻥ ﺇﻟﻰ ﺩﻳﻤﻨﻴﺲ.,gamedata/localizationstring_eng.paloc
crowman_boss_0250_narration_00025,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0250,Crowman 0250,crowman_boss_0250,boss_0250,crowman_boss_0250_narration,boss_0250_narration,boss_0250,boss,0250,25,narration,,narration,Narration,Narration,Narration,,role,,ﻳﺠﺐ ﺃﻥ ﻧﺠﺪﻫﺎ—ﻗﺒﻞ ﻓﻮﺍﺕ ﺍﻷﻭﺍﻥ.,ﻳﺠﺐ ﺃﻥ ﻧﺠﺪﻫﺎ—ﻗﺒﻞ ﻓﻮﺍﺕ ﺍﻷﻭﺍﻥ.,gamedata/localizationstring_eng.paloc
crowman_boss_0250_player_00026,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0250,Crowman 0250,crowman_boss_0250,boss_0250,crowman_boss_0250_player,boss_0250_player,boss_0250,boss,0250,26,player,,player,Player,Player,Player,,role,,ﺃﻳﻦ ﺍﺧﺘﻔﻰ؟,ﺃﻳﻦ ﺍﺧﺘﻔﻰ؟,gamedata/localizationstring_eng.paloc
crowman_boss_0250_player_00027,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0250,Crowman 0250,crowman_boss_0250,boss_0250,crowman_boss_0250_player,boss_0250_player,boss_0250,boss,0250,27,player,,player,Player,Player,Player,,role,Knowledge:Knowledge_Alustin:ﺃﻟﻮﺳﺘﻴﻦ,{Staticinfo:Knowledge:Knowledge_Alustin#ﺃﻟﻮﺳﺘﻴﻦ}؟,{Staticinfo:Knowledge:Knowledge_Alustin#ﺃﻟﻮﺳﺘﻴﻦ}؟,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00015,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00016,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ...,ﺃﻧﺖ...,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00017,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﺥ...,ﺁﺥ...,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00018,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻢ ﺃﺳﺮ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ...,ﺗﻢ ﺃﺳﺮ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ...,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00019,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺟﺮﺍﺣﻲ ﻻ ﺗﻬﻢ... ﻋﻠﻴﻚ ﺇﻳﺠﺎﺩﻫﺎ ﺑﺴﺮﻋﺔ.,ﺟﺮﺍﺣﻲ ﻻ ﺗﻬﻢ... ﻋﻠﻴﻚ ﺇﻳﺠﺎﺩﻫﺎ ﺑﺴﺮﻋﺔ.,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00021,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺠﺐ ﺃﻻ ﻳﻘﻊ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ ﺑﻴﻦ ﻳﺪﻳﻬﺎ... ﻣﻬﻤﺎ ﺣﺪﺙ.,ﻳﺠﺐ ﺃﻻ ﻳﻘﻊ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ ﺑﻴﻦ ﻳﺪﻳﻬﺎ... ﻣﻬﻤﺎ ﺣﺪﺙ.,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00022,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺫﻫﺐ ﺧﻠﻔﻪ، ﺍﺑﺤﺚ ﻋﻦ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ...,ﺍﺫﻫﺐ ﺧﻠﻔﻪ، ﺍﺑﺤﺚ ﻋﻦ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ...,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00029,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,29,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00030,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,30,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00031,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,31,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺗﺒﻌﻪ، ﺍﻟﻐﺮﺍﺏ... ﻭﺃﻭﻗﻒ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺴﻮﺩﺍﺀ.,ﺍﺗﺒﻌﻪ، ﺍﻟﻐﺮﺍﺏ... ﻭﺃﻭﻗﻒ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺴﻮﺩﺍﺀ.,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00032,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,32,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﻳﻄﻤﻊ ﻓﻲ ﻗﻮﺓ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ. ﺇﻥ ﻧﺠﺤﺖ ﻓﻲ ﺍﺩﻋﺎﺋﻬﺎ...,ﻣﻦ ﻳﻄﻤﻊ ﻓﻲ ﻗﻮﺓ ﺍﻟﻐﺮﺍﺏ ﺍﻷﺑﻴﺾ. ﺇﻥ ﻧﺠﺤﺖ ﻓﻲ ﺍﺩﻋﺎﺋﻬﺎ...,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00033,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,33,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00034,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,34,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﻠﻴﻚ ﺃﻥ ﺗﻔﻌﻞ ﻛﻞ ﻣﺎ ﻳﻠﺰﻡ...,ﻋﻠﻴﻚ ﺃﻥ ﺗﻔﻌﻞ ﻛﻞ ﻣﺎ ﻳﻠﺰﻡ...,gamedata/localizationstring_eng.paloc
crowman_boss_0600_npc_00_00036,crowman,Crowman,Scene Dialogue,Crowman,Crowman,0600,Crowman 0600,crowman_boss_0600,boss_0600,crowman_boss_0600_npc_00,boss_0600_npc_00,boss_0600,boss,0600,36,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
