key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
deerking_boss_0200_npc_00_00002,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻠﻮﺭﺩ ﻣﻴﺪﻟﺮ، ﺃﻳﻦ ﺫﻫﺒﺖ...,ﺍﻟﻠﻮﺭﺩ ﻣﻴﺪﻟﺮ، ﺃﻳﻦ ﺫﻫﺒﺖ...,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00003,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00004,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺗﺤﺪﺙ ﻋﻦ ﻭﻳﻠﻴﻢ ﻣﻴﺪﻟﺮ، ﺍﻻﺑﻦ ﺍﻟﺜﺎﻧﻲ ﻵﻝ ﻣﻴﺪﻟﺮ.,ﺃﺗﺤﺪﺙ ﻋﻦ ﻭﻳﻠﻴﻢ ﻣﻴﺪﻟﺮ، ﺍﻻﺑﻦ ﺍﻟﺜﺎﻧﻲ ﻵﻝ ﻣﻴﺪﻟﺮ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00005,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻀﺖ ﺃﻳﺎﻡ ﺍﻵﻥ...,ﻣﻀﺖ ﺃﻳﺎﻡ ﺍﻵﻥ...,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_00_00006,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_00,boss_0200_npc_00,boss_0200,boss,0200,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻳﻬﺎ ﺍﻟﻤﻼﺯﻡ، ﺍﻟﺬﺋﺐ ﺍﻟﺮﻣﺎﺩﻱ...,ﺃﻳﻬﺎ ﺍﻟﻤﻼﺯﻡ، ﺍﻟﺬﺋﺐ ﺍﻟﺮﻣﺎﺩﻱ...,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_01_00007,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_01,boss_0200_npc_01,boss_0200,boss,0200,7,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﻳﻬﺎ ﺍﻟﻤﻼﺯﻡ، ﻓﺮﻕ ﺍﻟﺘﻔﺘﻴﺶ ﻟﻢ ﺗﺠﺪ ﺷﻴﺌﺎ.,ﺃﻳﻬﺎ ﺍﻟﻤﻼﺯﻡ، ﻓﺮﻕ ﺍﻟﺘﻔﺘﻴﺶ ﻟﻢ ﺗﺠﺪ ﺷﻴﺌﺎ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_01_00008,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_01,boss_0200_npc_01,boss_0200,boss,0200,8,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﺧﺸﻰ... ﺃﻧﻪ ﻗﺪ ﺳﻘﻂ ﺑﺎﻟﻔﻌﻞ ﺃﻣﺎﻡ ﺫﻟﻚ ﺍﻟﻮﺣﺶ.,ﺃﺧﺸﻰ... ﺃﻧﻪ ﻗﺪ ﺳﻘﻂ ﺑﺎﻟﻔﻌﻞ ﺃﻣﺎﻡ ﺫﻟﻚ ﺍﻟﻮﺣﺶ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00009,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,9,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﻓﻬﻤﺖ. ﺍﺗﺮﻛﻨﺎ.,ﻓﻬﻤﺖ. ﺍﺗﺮﻛﻨﺎ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00010,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,10,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﺃﺧﺪﻡ ﻣﻼﺯﻣﺎ ﻟﻠﺴﻴﺮ ﻭﻳﻠﻴﻢ.,ﺃﺧﺪﻡ ﻣﻼﺯﻣﺎ ﻟﻠﺴﻴﺮ ﻭﻳﻠﻴﻢ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00011,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,11,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﻫﻨﺎﻙ ﻣﺠﻨﻮﻥ ﻗﺮﺏ ﺍﻷﻃﻼﻝ، ﻳﺬﺑﺢ ﻛﻞ ﻣﻦ ﻳﺼﺎﺩﻓﻪ.,ﻫﻨﺎﻙ ﻣﺠﻨﻮﻥ ﻗﺮﺏ ﺍﻷﻃﻼﻝ، ﻳﺬﺑﺢ ﻛﻞ ﻣﻦ ﻳﺼﺎﺩﻓﻪ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00012,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,12,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﻛﺎﻥ ﺍﻟﻠﻮﺭﺩ ﻭﻳﻠﻴﻢ ﻣﺼﻤﻤﺎ ﻋﻠﻰ ﺗﻌﻘﺒﻪ.,ﻛﺎﻥ ﺍﻟﻠﻮﺭﺩ ﻭﻳﻠﻴﻢ ﻣﺼﻤﻤﺎ ﻋﻠﻰ ﺗﻌﻘﺒﻪ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00013,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,13,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﺣﺜﺜﺘﻪ ﻋﻠﻰ ﺍﻻﻧﺘﻈﺎﺭ، ﻟﻜﻨﻪ ﺍﺧﺘﻔﻰ ﺃﺛﻨﺎﺀ ﺍﻟﺪﻭﺭﻳﺔ.,ﺣﺜﺜﺘﻪ ﻋﻠﻰ ﺍﻻﻧﺘﻈﺎﺭ، ﻟﻜﻨﻪ ﺍﺧﺘﻔﻰ ﺃﺛﻨﺎﺀ ﺍﻟﺪﻭﺭﻳﺔ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00014,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,14,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﻓﻮﺿﻰ ﻋﺎﺭﻣﺔ، ﺧﺎﺻﺔ ﻣﻊ ﻏﻴﺎﺏ ﺍﻟﻤﺎﺭﺷﺎﻝ ﺃﻳﻀﺎ.,ﻓﻮﺿﻰ ﻋﺎﺭﻣﺔ، ﺧﺎﺻﺔ ﻣﻊ ﻏﻴﺎﺏ ﺍﻟﻤﺎﺭﺷﺎﻝ ﺃﻳﻀﺎ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00015,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,15,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﻫﻞ ﺳﺘﺴﺎﻋﺪ ﻓﻲ ﺍﻟﺒﺤﺚ ﻳﺎ ﻏﺮﺍﻳﻤﺎﻧﺰ؟,ﻫﻞ ﺳﺘﺴﺎﻋﺪ ﻓﻲ ﺍﻟﺒﺤﺚ ﻳﺎ ﻏﺮﺍﻳﻤﺎﻧﺰ؟,gamedata/localizationstring_eng.paloc
deerking_boss_0200_npc_02_00016,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_npc_02,boss_0200_npc_02,boss_0200,boss,0200,16,npc_02,,npc_02,NPC 02,NPC 02,NPC,2,role,,ﺳﻨﻜﻮﻥ ﺧﻠﻔﻚ ﻣﺒﺎﺷﺮﺓ.,ﺳﻨﻜﻮﻥ ﺧﻠﻔﻚ ﻣﺒﺎﺷﺮﺓ.,gamedata/localizationstring_eng.paloc
deerking_boss_0200_player_00000,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_player,boss_0200_player,boss_0200,boss,0200,0,player,,player,Player,Player,Player,,role,,ﻫﻞ ﺍﻟﻤﺎﺭﺷﺎﻝ ﻣﻴﺪﻟﺮ ﻣﻔﻘﻮﺩ؟,ﻫﻞ ﺍﻟﻤﺎﺭﺷﺎﻝ ﻣﻴﺪﻟﺮ ﻣﻔﻘﻮﺩ؟,gamedata/localizationstring_eng.paloc
deerking_boss_0200_player_00001,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0200,Deerking 0200,deerking_boss_0200,boss_0200,deerking_boss_0200_player,boss_0200_player,boss_0200,boss,0200,1,player,,player,Player,Player,Player,,role,,ﻣﺎ ﺍﻟﺬﻱ ﻳﺤﺪﺙ؟,ﻣﺎ ﺍﻟﺬﻱ ﻳﺤﺪﺙ؟,gamedata/localizationstring_eng.paloc
deerking_boss_0400_npc_00_00002,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0400,Deerking 0400,deerking_boss_0400,boss_0400,deerking_boss_0400_npc_00,boss_0400_npc_00,boss_0400,boss,0400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺩﻓﻊ ﺃﻗﻮﻯ! ﺃﺟﻞ، ﻫﻜﺬﺍ!,ﺍﺩﻓﻊ ﺃﻗﻮﻯ! ﺃﺟﻞ، ﻫﻜﺬﺍ!,gamedata/localizationstring_eng.paloc
deerking_boss_0400_npc_00_00003,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0400,Deerking 0400,deerking_boss_0400,boss_0400,deerking_boss_0400_npc_00,boss_0400_npc_00,boss_0400,boss,0400,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺎﻩ!,ﻫﺎﻩ!,gamedata/localizationstring_eng.paloc
deerking_boss_0400_npc_00_00004,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0400,Deerking 0400,deerking_boss_0400,boss_0400,deerking_boss_0400_npc_00,boss_0400_npc_00,boss_0400,boss,0400,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ ﻗﻠﺖ؟,ﻣﺎﺫﺍ ﻗﻠﺖ؟,gamedata/localizationstring_eng.paloc
deerking_boss_0400_npc_00_00005,deerking,Deerking,Scene Dialogue,Deerking,Deerking,0400,Deerking 0400,deerking_boss_0400,boss_0400,deerking_boss_0400_npc_00,boss_0400_npc_00,boss_0400,boss,0400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﺍﻟﻮﻏﺪ ﻳﺘﻠﺼﺺ ﺑﺤﺜﺎ ﻋﻦ ﺃﻭﻟﺌﻚ ﺍﻷﻭﻏﺎﺩ ﻣﻦ ﻗﺒﻞ!,ﻫﺬﺍ ﺍﻟﻮﻏﺪ ﻳﺘﻠﺼﺺ ﺑﺤﺜﺎ ﻋﻦ ﺃﻭﻟﺌﻚ ﺍﻷﻭﻏﺎﺩ ﻣﻦ ﻗﺒﻞ!,gamedata/localizationstring_eng.paloc
