key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
delesyian_1000_narration_00012,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_narration,1000_narration,1000,1000,,12,narration,,narration,Narration,Narration,Narration,,role,,ﺩﺧﻴﻞ! ﺃﻣﺴﻜﻮﻩ!,ﺩﺧﻴﻞ! ﺃﻣﺴﻜﻮﻩ!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00013,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻏﺮﺏ ﻋﻦ ﻭﺟﻬﻲ!,ﺍﻏﺮﺏ ﻋﻦ ﻭﺟﻬﻲ!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00014,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,***!,***!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00015,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺗﻔﻜﺮ ﺣﺘﻰ ﺑﺎﻟﻌﻮﺩﺓ.,ﻻ ﺗﻔﻜﺮ ﺣﺘﻰ ﺑﺎﻟﻌﻮﺩﺓ.,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00017,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﻜﻞ ﺳﺮﻭﺭ!,ﺑﻜﻞ ﺳﺮﻭﺭ!,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00021,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﺭﺃﻳﻚ ﻧﺸﺮﺏ ﺷﻴﺌﺎ ﻻﺣﻘﺎ؟,ﻣﺎ ﺭﺃﻳﻚ ﻧﺸﺮﺏ ﺷﻴﺌﺎ ﻻﺣﻘﺎ؟,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00022,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺴﻨﺎ... ﻳﺎ ﻟﻚ ﻣﻦ ﻣﻨﻈﺮ ﻳﺮﺛﻰ ﻟﻪ.,ﺣﺴﻨﺎ... ﻳﺎ ﻟﻚ ﻣﻦ ﻣﻨﻈﺮ ﻳﺮﺛﻰ ﻟﻪ.,gamedata/localizationstring_eng.paloc
delesyian_1000_npc_00_00023,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,1000,Delesyian 1000,delesyian_1000,1000,delesyian_1000_npc_00,1000_npc_00,1000,1000,,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻓﻲ ﺍﻟﻤﺮﺓ ﺍﻟﻘﺎﺩﻣﺔ، ﻟﻦ ﺗﻔﻠﺖ ﺑﺴﻬﻮﻟﺔ.,ﻓﻲ ﺍﻟﻤﺮﺓ ﺍﻟﻘﺎﺩﻣﺔ، ﻟﻦ ﺗﻔﻠﺖ ﺑﺴﻬﻮﻟﺔ.,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00000,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺄﺗﻮﻟﻰ ﺍﻷﻣﺮ.,ﺳﺄﺗﻮﻟﻰ ﺍﻷﻣﺮ.,gamedata/localizationstring_eng.paloc
delesyian_town_2400_npc_00_00001,delesyian,Delesyian,Scene Dialogue,Delesyian,Delesyian,2400,Delesyian 2400,delesyian_town_2400,town_2400,delesyian_town_2400_npc_00,town_2400_npc_00,town_2400,town,2400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺗﻌﺮﻑ ﺃﻳﻦ ﺃﻧﺖ؟,ﻫﻞ ﺗﻌﺮﻑ ﺃﻳﻦ ﺃﻧﺖ؟,gamedata/localizationstring_eng.paloc
