key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
demeniss_0200_npc_00000,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,0,npc,,npc,NPC,NPC,NPC,,role,,ﺳﺄﺗﻮﻟﻰ ﺍﻷﻣﺮ.,ﺳﺄﺗﻮﻟﻰ ﺍﻷﻣﺮ.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00001,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,1,npc,,npc,NPC,NPC,NPC,,role,,ﺃﺗﻌﺮﻑ ﺃﻳﻦ ﺃﻧﺖ، ﻫﺎﻩ؟,ﺃﺗﻌﺮﻑ ﺃﻳﻦ ﺃﻧﺖ، ﻫﺎﻩ؟,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00002,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,2,npc,,npc,NPC,NPC,NPC,,role,,ﻻ ﻳﻤﻜﻨﻚ ﺍﻻﻗﺘﺤﺎﻡ ﻫﻜﺬﺍ.,ﻻ ﻳﻤﻜﻨﻚ ﺍﻻﻗﺘﺤﺎﻡ ﻫﻜﺬﺍ.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00004,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,4,npc,,npc,NPC,NPC,NPC,,role,,ﺷﺨﺺ ﻏﺮﻳﺐ. ﺗﺬﻛﺮﻩ.,ﺷﺨﺺ ﻏﺮﻳﺐ. ﺗﺬﻛﺮﻩ.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00005,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,5,npc,,npc,NPC,NPC,NPC,,role,,ﻗﻒ!,ﻗﻒ!,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00006,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,6,npc,,npc,NPC,NPC,NPC,,role,,ﻫﻢ... ﻳﺒﺪﻭ ﺃﻧﻪ ﻣﺴﻤﻮﺡ ﻟﻚ ﺑﺎﻟﺪﺧﻮﻝ.,ﻫﻢ... ﻳﺒﺪﻭ ﺃﻧﻪ ﻣﺴﻤﻮﺡ ﻟﻚ ﺑﺎﻟﺪﺧﻮﻝ.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00007,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,7,npc,,npc,NPC,NPC,NPC,,role,,ﺍﻧﺘﺒﻪ ﻟﻨﻔﺴﻚ، ﺃﺳﻤﻌﺖ؟,ﺍﻧﺘﺒﻪ ﻟﻨﻔﺴﻚ، ﺃﺳﻤﻌﺖ؟,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00008,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,8,npc,,npc,NPC,NPC,NPC,,role,,ﺗﻔﻀﻞ ﺑﺎﻟﻤﺮﻭﺭ.,ﺗﻔﻀﻞ ﺑﺎﻟﻤﺮﻭﺭ.,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00009,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,9,npc,,npc,NPC,NPC,NPC,,role,,ﻗﻒ!,ﻗﻒ!,gamedata/localizationstring_eng.paloc
demeniss_0200_npc_00010,demeniss,Demeniss,Scene Dialogue,Demeniss,Demeniss,0200,Demeniss 0200,demeniss_0200,0200,demeniss_0200_npc,0200_npc,0200,0200,,10,npc,,npc,NPC,NPC,NPC,,role,,ﺃﺃﻧﺖ ﺃﺻﻢ؟ ﻋﺪ ﺣﻴﻦ ﺗﺤﺼﻞ ﻋﻠﻰ ﺇﺫﻥ.,ﺃﺃﻧﺖ ﺃﺻﻢ؟ ﻋﺪ ﺣﻴﻦ ﺗﺤﺼﻞ ﻋﻠﻰ ﺇﺫﻥ.,gamedata/localizationstring_eng.paloc
