key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
dragonslayer_0100_npc_00_00003,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﺗﻜﻮﻥ؟,ﻣﻦ ﺗﻜﻮﻥ؟,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00004,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﻩ، ﻻ ﺑﺪ ﺃﻧﻚ ﺍﻟﺸﺨﺺ ﺍﻟﺬﻱ ﺫﻛﺮﻩ ﺍﻟﻜﻮﻧﺖ.,ﺃﻭﻩ، ﻻ ﺑﺪ ﺃﻧﻚ ﺍﻟﺸﺨﺺ ﺍﻟﺬﻱ ﺫﻛﺮﻩ ﺍﻟﻜﻮﻧﺖ.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00005,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻨﺎﻙ ﻭﺛﻴﻘﺔ ﺃﺭﺍﺩ ﻣﻨﻲ ﺃﻥ ﺃﻋﻄﻴﻚ ﺇﻳﺎﻫﺎ.,ﻫﻨﺎﻙ ﻭﺛﻴﻘﺔ ﺃﺭﺍﺩ ﻣﻨﻲ ﺃﻥ ﺃﻋﻄﻴﻚ ﺇﻳﺎﻫﺎ.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00006,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ... ﻳﺴﺘﺤﻖ ﺍﻟﺮﺟﻞ ﺃﺟﺮﺍ ﻋﻠﻰ ﻭﻗﺘﻪ... ﻫﻬﻬﻪ...,ﻟﻜﻦ... ﻳﺴﺘﺤﻖ ﺍﻟﺮﺟﻞ ﺃﺟﺮﺍ ﻋﻠﻰ ﻭﻗﺘﻪ... ﻫﻬﻬﻪ...,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00007,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ ﻗﺪﻳﺲ.,ﺃﻧﺖ ﻗﺪﻳﺲ.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00008,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻔﻀﻞ.,ﺗﻔﻀﻞ.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_npc_00_00009,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﻩ، ﺑﻠﻎ ﺍﻟﻜﻮﻧﺖ ﺗﺤﻴﺎﺗﻲ. ﻭﺃﺑﻖ ﻫﺬﺍ ﺍﻟﺤﺪﻳﺚ ﺍﻟﺼﻐﻴﺮ ﺑﻴﻨﻨﺎ.,ﺁﻩ، ﺑﻠﻎ ﺍﻟﻜﻮﻧﺖ ﺗﺤﻴﺎﺗﻲ. ﻭﺃﺑﻖ ﻫﺬﺍ ﺍﻟﺤﺪﻳﺚ ﺍﻟﺼﻐﻴﺮ ﺑﻴﻨﻨﺎ.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_player_00001,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_player,0100_player,0100,0100,,1,player,,player,Player,Player,Player,,role,,ﺃﺣﺪ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ.,ﺃﺣﺪ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ.,gamedata/localizationstring_eng.paloc
dragonslayer_0100_player_00002,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0100,Dragonslayer 0100,dragonslayer_0100,0100,dragonslayer_0100_player,0100_player,0100,0100,,2,player,,player,Player,Player,Player,,role,,ﺑﺎﻟﻄﺒﻊ...,ﺑﺎﻟﻄﺒﻊ...,gamedata/localizationstring_eng.paloc
dragonslayer_0400_enemy_00_00001,dragonslayer,Dragonslayer,Scene Dialogue,Dragonslayer,Dragonslayer,0400,Dragonslayer 0400,dragonslayer_0400,0400,dragonslayer_0400_enemy_00,0400_enemy_00,0400,0400,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺳﺮﻗﻮﺍ ﺍﻟﺴﻼﺡ!,ﺳﺮﻗﻮﺍ ﺍﻟﺴﻼﺡ!,gamedata/localizationstring_eng.paloc
