key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
enc_ocumer_000_00_npc_00_00015,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻘﻮﺓ ﻫﻲ ﺍﻟﺤﻘﻴﻘﺔ ﺍﻟﻤﻄﻠﻘﺔ.,ﺍﻟﻘﻮﺓ ﻫﻲ ﺍﻟﺤﻘﻴﻘﺔ ﺍﻟﻤﻄﻠﻘﺔ.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00016,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﺣﻘﻴﻘﺔ ﺗﻨﺒﻊ ﻣﻦ ﺍﻟﻘﻮﺓ.,ﻛﻞ ﺣﻘﻴﻘﺔ ﺗﻨﺒﻊ ﻣﻦ ﺍﻟﻘﻮﺓ.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00017,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺩﻭﺍﻣﺔ ﻣﻦ ﺍﻟﻔﻮﺿﻰ ﺗﻬﺰ ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ ﺣﺘﻰ ﺃﻋﻤﺎﻗﻪ.,ﺩﻭﺍﻣﺔ ﻣﻦ ﺍﻟﻔﻮﺿﻰ ﺗﻬﺰ ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ ﺣﺘﻰ ﺃﻋﻤﺎﻗﻪ.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00018,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻓﻲ ﻇﻞ ﺍﻟﻈﻠﻢ،,ﻓﻲ ﻇﻞ ﺍﻟﻈﻠﻢ،,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00019,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻭﺣﺪﻫﺎ ﺍﻟﻘﻮﺓ ﺗﺴﺘﻄﻴﻊ ﺇﺷﻌﺎﻝ ﺍﻟﻨﻮﺭ ﻣﻦ ﺟﺪﻳﺪ.,ﻭﺣﺪﻫﺎ ﺍﻟﻘﻮﺓ ﺗﺴﺘﻄﻴﻊ ﺇﺷﻌﺎﻝ ﺍﻟﻨﻮﺭ ﻣﻦ ﺟﺪﻳﺪ.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00020,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻳﻬﺎ ﺍﻟﻐﺮﻳﺐ، ﻫﻞ ﺗﺮﻯ ﺍﻷﻣﻮﺭ ﻛﻤﺎ ﺃﺭﺍﻫﺎ؟,ﺃﻳﻬﺎ ﺍﻟﻐﺮﻳﺐ، ﻫﻞ ﺗﺮﻯ ﺍﻷﻣﻮﺭ ﻛﻤﺎ ﺃﺭﺍﻫﺎ؟,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00021,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺣﻤﻖ!,ﺃﺣﻤﻖ!,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00022,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻤﺜﻞ ﺑﻼ ﻗﻮﺓ ﻟﻴﺴﺖ ﺳﻮﻯ ﺃﻭﻫﺎﻡ ﺑﻼ ﻣﻌﻨﻰ!,ﺍﻟﻤﺜﻞ ﺑﻼ ﻗﻮﺓ ﻟﻴﺴﺖ ﺳﻮﻯ ﺃﻭﻫﺎﻡ ﺑﻼ ﻣﻌﻨﻰ!,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00023,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻌﺎﻟﻢ ﻻ ﻳﺼﻐﻲ ﺇﻻ ﻷﺻﻮﺍﺕ ﺍﻷﻗﻮﻳﺎﺀ.,ﺍﻟﻌﺎﻟﻢ ﻻ ﻳﺼﻐﻲ ﺇﻻ ﻷﺻﻮﺍﺕ ﺍﻷﻗﻮﻳﺎﺀ.,gamedata/localizationstring_eng.paloc
enc_ocumer_000_00_npc_00_00024,enc,Enc,Scene Dialogue,Enc,Enc,000,Enc 000,enc_ocumer_000_00,ocumer_000_00,enc_ocumer_000_00_npc_00,ocumer_000_00_npc_00,ocumer_000_00,ocumer,000_00,24,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻠﻤﺎﺕ ﺍﻟﻀﻌﻔﺎﺀ ﻻ ﺗﺼﻞ ﺑﻌﻴﺪﺍ.,ﻛﻠﻤﺎﺕ ﺍﻟﻀﻌﻔﺎﺀ ﻻ ﺗﺼﻞ ﺑﻌﻴﺪﺍ.,gamedata/localizationstring_eng.paloc
