key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
entrance_her_asylum_01_npc_00057,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,57,npc,,npc,NPC,NPC,NPC,,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00058,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,58,npc,,npc,NPC,NPC,NPC,,role,,ﻣﻦ ﺃﻧﺖ؟,ﻣﻦ ﺃﻧﺖ؟,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00059,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,59,npc,,npc,NPC,NPC,NPC,,role,,ﺃﺭﻧﻲ ﺗﺼﺮﻳﺤﻚ.,ﺃﺭﻧﻲ ﺗﺼﺮﻳﺤﻚ.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00060,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,60,npc,,npc,NPC,NPC,NPC,,role,,ﻟﺪﻳﻚ ﺗﺼﺮﻳﺢ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﻟﺪﻳﻚ ﺗﺼﺮﻳﺢ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00061,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,61,npc,,npc,NPC,NPC,NPC,,role,,ﺗﺤﺘﺎﺝ ﺗﺼﺮﻳﺤﺎ ﻟﻠﺪﺧﻮﻝ، ﺑﻼ ﺍﺳﺘﺜﻨﺎﺀ!,ﺗﺤﺘﺎﺝ ﺗﺼﺮﻳﺤﺎ ﻟﻠﺪﺧﻮﻝ، ﺑﻼ ﺍﺳﺘﺜﻨﺎﺀ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00062,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,62,npc,,npc,NPC,NPC,NPC,,role,,ﺗﺤﺘﺎﺝ ﺗﺼﺮﻳﺤﺎ ﻟﻠﺪﺧﻮﻝ!,ﺗﺤﺘﺎﺝ ﺗﺼﺮﻳﺤﺎ ﻟﻠﺪﺧﻮﻝ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00063,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,63,npc,,npc,NPC,NPC,NPC,,role,,ﻻ ﻳﻤﻜﻨﻚ ﺍﻻﻗﺘﺤﺎﻡ ﻫﻜﺬﺍ!,ﻻ ﻳﻤﻜﻨﻚ ﺍﻻﻗﺘﺤﺎﻡ ﻫﻜﺬﺍ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00064,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,64,npc,,npc,NPC,NPC,NPC,,role,,ﻫﻴﻪ! ﺗﻌﺎﻝ ﺇﻟﻰ ﻫﻨﺎ!,ﻫﻴﻪ! ﺗﻌﺎﻝ ﺇﻟﻰ ﻫﻨﺎ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00066,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,66,npc,,npc,NPC,NPC,NPC,,role,,ﺃﺣﺪﻫﻢ ﻳﺒﺤﺚ ﻋﻦ ﺍﻟﻤﺘﺎﻋﺐ ﻫﻨﺎ!,ﺃﺣﺪﻫﻢ ﻳﺒﺤﺚ ﻋﻦ ﺍﻟﻤﺘﺎﻋﺐ ﻫﻨﺎ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00067,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,67,npc,,npc,NPC,NPC,NPC,,role,,ﺃﺧﺬﺕ ﺍﻟﻜﻼﻡ ﻣﻦ ﻓﻤﻲ.,ﺃﺧﺬﺕ ﺍﻟﻜﻼﻡ ﻣﻦ ﻓﻤﻲ.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00068,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,68,npc,,npc,NPC,NPC,NPC,,role,,ﻫﺬﺍ ﻟﻴﺲ ﻣﻜﺎﻧﻚ.,ﻫﺬﺍ ﻟﻴﺲ ﻣﻜﺎﻧﻚ.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00069,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,69,npc,,npc,NPC,NPC,NPC,,role,,ﻣﻦ ﺃﻳﻦ ﻳﺄﺗﻲ ﺫﻟﻚ ﺍﻟﻨﺒﺎﺡ؟,ﻣﻦ ﺃﻳﻦ ﻳﺄﺗﻲ ﺫﻟﻚ ﺍﻟﻨﺒﺎﺡ؟,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00070,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,70,npc,,npc,NPC,NPC,NPC,,role,,ﻻ ﻳﻤﻠﻚ ﺗﺼﺮﻳﺤﺎ. ﺍﻃﺮﺩﻭﻩ.,ﻻ ﻳﻤﻠﻚ ﺗﺼﺮﻳﺤﺎ. ﺍﻃﺮﺩﻭﻩ.,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00071,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,71,npc,,npc,NPC,NPC,NPC,,role,,ﺇﻥ ﺃﺭﺩﺕ ﺍﻟﺪﺧﻮﻝ، ﺗﺤﺘﺎﺝ ﺗﺼﺮﻳﺤﺎ!,ﺇﻥ ﺃﺭﺩﺕ ﺍﻟﺪﺧﻮﻝ، ﺗﺤﺘﺎﺝ ﺗﺼﺮﻳﺤﺎ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00072,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,72,npc,,npc,NPC,NPC,NPC,,role,,ﻟﺪﻳﻨﺎ ﻗﻮﺍﻋﺪ ﻫﻨﺎ، ﺍﺧﺮﺝ!,ﻟﺪﻳﻨﺎ ﻗﻮﺍﻋﺪ ﻫﻨﺎ، ﺍﺧﺮﺝ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00073,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,73,npc,,npc,NPC,NPC,NPC,,role,,ﻻ ﺗﻔﻜﺮ ﺣﺘﻰ ﻓﻲ ﺍﻟﺘﺴﻠﻞ ﺇﻟﻰ ﺍﻟﺪﺍﺧﻞ!,ﻻ ﺗﻔﻜﺮ ﺣﺘﻰ ﻓﻲ ﺍﻟﺘﺴﻠﻞ ﺇﻟﻰ ﺍﻟﺪﺍﺧﻞ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00074,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,74,npc,,npc,NPC,NPC,NPC,,role,,ﺳﺄﺟﺪﻙ ﻭﺃﻃﺮﺩﻙ ﺑﻨﻔﺴﻲ!,ﺳﺄﺟﺪﻙ ﻭﺃﻃﺮﺩﻙ ﺑﻨﻔﺴﻲ!,gamedata/localizationstring_eng.paloc
entrance_her_asylum_01_npc_00075,entrance,Entrance,Scene Dialogue,Entrance,Entrance,01,Entrance 01,entrance_her_asylum_01,her_asylum_01,entrance_her_asylum_01_npc,her_asylum_01_npc,her_asylum_01,her,asylum_01,75,npc,,npc,NPC,NPC,NPC,,role,,ﺣﺮﺍﺳﻨﺎ ﻣﻨﺘﺸﺮﻭﻥ ﻓﻲ ﻛﻞ ﻣﻜﺎﻥ.,ﺣﺮﺍﺳﻨﺎ ﻣﻨﺘﺸﺮﻭﻥ ﻓﻲ ﻛﻞ ﻣﻜﺎﻥ.,gamedata/localizationstring_eng.paloc
