key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
epilogue_0100_globalgametrack_00012,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﺧﺒﺮﻧﻲ، ﻛﻴﻒ ﺣﺎﻟﻚ؟,ﺃﺧﺒﺮﻧﻲ، ﻛﻴﻒ ﺣﺎﻟﻚ؟,gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00013,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,13,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﺘﻌﺐ ﻗﻠﻴﻼ، ﻫﺬﺍ ﻛﻞ ﺷﻲﺀ.,ﻣﺘﻌﺐ ﻗﻠﻴﻼ، ﻫﺬﺍ ﻛﻞ ﺷﻲﺀ.,gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00014,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,14,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺗﺒﺪﻭ... ﻣﺘﻌﺒﺎ.,ﺗﺒﺪﻭ... ﻣﺘﻌﺒﺎ.,gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00015,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,15,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺗﺤﻤﻠﺖ ﺍﻟﻜﺜﻴﺮ.,ﺗﺤﻤﻠﺖ ﺍﻟﻜﺜﻴﺮ.,gamedata/localizationstring_eng.paloc
epilogue_0100_globalgametrack_00016,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_globalgametrack,0100_globalgametrack,0100,0100,,16,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﺜﺮﺛﺮﺓ ﺟﺪﻳﺪﺓ.,ﺍﻟﺜﺮﺛﺮﺓ ﺟﺪﻳﺪﺓ.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00006,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}.,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00007,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﺮﺭﺕ ﺇﺫﻥ؟,ﻗﺮﺭﺕ ﺇﺫﻥ؟,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00008,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺩﺍﻋﻲ ﻟﻼﺳﺘﻌﺠﺎﻝ.,ﻻ ﺩﺍﻋﻲ ﻟﻼﺳﺘﻌﺠﺎﻝ.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00009,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﻴﻜﻮﻧﻮﻥ ﺑﺨﻴﺮ.,ﺳﻴﻜﻮﻧﻮﻥ ﺑﺨﻴﺮ.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00010,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻴﺎ ﻧﺬﻫﺐ.,ﻫﻴﺎ ﻧﺬﻫﺐ.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00011,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﻫﻨﺎ.,ﻣﻦ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
epilogue_0100_npc_00_00031,epilogue,Epilogue,Cutscene,Epilogue,Epilogue,0100,Epilogue 0100,epilogue_0100,0100,epilogue_0100_npc_00,0100_npc_00,0100,0100,,31,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﻣﺎ ﻧﻔﻌﻠﻪ.,ﻫﺬﺍ ﻣﺎ ﻧﻔﻌﻠﻪ.,gamedata/localizationstring_eng.paloc
