key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
extinguishedfire_mountain_9000_enemy_00_00007,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,7,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺑﺪﻣﺎﺀ ﺍﻷﺣﻴﺎﺀ، ﻧﻔﺘﺢ ﻫﺬﺍ ﺍﻟﻤﻤﺮ،,ﺑﺪﻣﺎﺀ ﺍﻷﺣﻴﺎﺀ، ﻧﻔﺘﺢ ﻫﺬﺍ ﺍﻟﻤﻤﺮ،,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_enemy_00_00008,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,8,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻳﺎ ﺁﻟﻬﺔ، ﺍﺳﻤﻌﻮﺍ ﻧﺪﺍﺋﻨﺎ.,ﻳﺎ ﺁﻟﻬﺔ، ﺍﺳﻤﻌﻮﺍ ﻧﺪﺍﺋﻨﺎ.,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_enemy_00_00009,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,9,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,(ﻳﻨﺸﺪﻭﻥ ﻣﻌﺎ),(ﻳﻨﺸﺪﻭﻥ ﻣﻌﺎ),gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_enemy_00_00010,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_enemy_00,mountain_9000_enemy_00,mountain_9000,mountain,9000,10,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺃﻳﻬﺎ ﺍﻟﻔﺎﺭﺱ ﺍﻷﺳﻮﺩ، ﺑﺎﺭﻙ ﻫﺬﻩ ﺍﻷﺭﺽ ﺑﻮﺟﻮﺩﻙ...,ﺃﻳﻬﺎ ﺍﻟﻔﺎﺭﺱ ﺍﻷﺳﻮﺩ، ﺑﺎﺭﻙ ﻫﺬﻩ ﺍﻷﺭﺽ ﺑﻮﺟﻮﺩﻙ...,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00002,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻓﻠﺘﻨﻲ، ﺗﻮﻗﻒ!,ﺃﻓﻠﺘﻨﻲ، ﺗﻮﻗﻒ!,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00003,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﻘﺬﻭﻧﻲ!,ﺃﻧﻘﺬﻭﻧﻲ!,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00004,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺭﺟﻮﻛﻢ، ﺃﻱ ﺃﺣﺪ!,ﺃﺭﺟﻮﻛﻢ، ﺃﻱ ﺃﺣﺪ!,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00005,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﺁﻩ! ﺃﻧﻘﺬﻭﻧﻲ!,ﺁﺁﻩ! ﺃﻧﻘﺬﻭﻧﻲ!,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00006,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
extinguishedfire_mountain_9000_npc_00_00015,extinguishedfire,Extinguishedfire,Scene Dialogue,Extinguishedfire,Extinguishedfire,9000,Extinguishedfire 9000,extinguishedfire_mountain_9000,mountain_9000,extinguishedfire_mountain_9000_npc_00,mountain_9000_npc_00,mountain_9000,mountain,9000,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
