key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
faction_horpbothharpoonery_0000_npc_00_00005,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,***!,***!,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00010,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﺪ!,ﻋﺪ!,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00012,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻴﻮﻡ ﻳﻮﻡ ﺍﻟﺠﺰ، ﻛﻴﻒ ﻳﻤﻜﻨﻨﺎ...,ﺍﻟﻴﻮﻡ ﻳﻮﻡ ﺍﻟﺠﺰ، ﻛﻴﻒ ﻳﻤﻜﻨﻨﺎ...,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00013,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﺭﻯ ﺃﻳﺎ ﻣﻨﻬﻢ، ﻛﻴﻒ ﺍﺧﺘﻔﻮﺍ ﻫﻜﺬﺍ...,ﻻ ﺃﺭﻯ ﺃﻳﺎ ﻣﻨﻬﻢ، ﻛﻴﻒ ﺍﺧﺘﻔﻮﺍ ﻫﻜﺬﺍ...,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00014,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﻓﻮﺿﻰ.,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﻓﻮﺿﻰ.,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00016,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻳﻦ ﺫﻫﺒﻮﺍ؟ ﺃﻳﻦ ﻫﻢ؟!,ﺃﻳﻦ ﺫﻫﺒﻮﺍ؟ ﺃﻳﻦ ﻫﻢ؟!,gamedata/localizationstring_eng.paloc
faction_horpbothharpoonery_0000_npc_00_00017,faction,Faction,Scene Dialogue,Faction,Faction,0000,Faction 0000,faction_horpbothharpoonery_0000,horpbothharpoonery_0000,faction_horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000_npc_00,horpbothharpoonery_0000,horpbothharpoonery,0000,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﻳﻤﻜﻦ ﺃﻧﻬﻢ ﻫﺮﺑﻮﺍ ﺟﻤﻴﻌﺎ... ﺗﺒﺎ!,ﻻ ﻳﻤﻜﻦ ﺃﻧﻬﻢ ﻫﺮﺑﻮﺍ ﺟﻤﻴﻌﺎ... ﺗﺒﺎ!,gamedata/localizationstring_eng.paloc
faction_mansion_byron_0010_npc_00_00007,faction,Faction,Scene Dialogue,Faction,Faction,0010,Faction 0010,faction_mansion_byron_0010,mansion_byron_0010,faction_mansion_byron_0010_npc_00,mansion_byron_0010_npc_00,mansion_byron_0010,mansion,byron_0010,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺑﺪ ﺃﻧﻚ ﺗﻤﺰﺡ...,ﻻ ﺑﺪ ﺃﻧﻚ ﺗﻤﺰﺡ...,gamedata/localizationstring_eng.paloc
faction_mansion_byron_0010_npc_00_00008,faction,Faction,Scene Dialogue,Faction,Faction,0010,Faction 0010,faction_mansion_byron_0010,mansion_byron_0010,faction_mansion_byron_0010_npc_00,mansion_byron_0010_npc_00,mansion_byron_0010,mansion,byron_0010,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻦ ﺃﻳﻦ ﺗﺴﻠﻞ ﻫﺬﺍ ﺍﻟﺠﺮﺫ ﺍﻟﺼﻐﻴﺮ؟!,ﻣﻦ ﺃﻳﻦ ﺗﺴﻠﻞ ﻫﺬﺍ ﺍﻟﺠﺮﺫ ﺍﻟﺼﻐﻴﺮ؟!,gamedata/localizationstring_eng.paloc
faction_mansion_byron_0010_npc_00_00009,faction,Faction,Scene Dialogue,Faction,Faction,0010,Faction 0010,faction_mansion_byron_0010,mansion_byron_0010,faction_mansion_byron_0010_npc_00,mansion_byron_0010_npc_00,mansion_byron_0010,mansion,byron_0010,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﺍﻟﻤﺤﺠﺮ ﻣﻠﻚ ﺍﻟﻜﻮﻧﺖ ﺑﺎﻳﺮﻭﻥ!,ﻫﺬﺍ ﺍﻟﻤﺤﺠﺮ ﻣﻠﻚ ﺍﻟﻜﻮﻧﺖ ﺑﺎﻳﺮﻭﻥ!,gamedata/localizationstring_eng.paloc
