key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
five_finger_mountain_9000_boss_00_00001,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺿﺤﻴﺔ ﻣﺴﺘﺤﻘﺔ ﺗﺴﻴﺮ ﻧﺤﻮ ﻗﺒﻀﺘﻲ.,ﺃﺿﺤﻴﺔ ﻣﺴﺘﺤﻘﺔ ﺗﺴﻴﺮ ﻧﺤﻮ ﻗﺒﻀﺘﻲ.,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_boss_00_00002,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻭﻍ...!,ﺃﻭﻍ...!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_boss_00_00003,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻴﻒ ﻳﻤﻜﻦ ﻟﺸﺨﺺ ﻣﺜﻠﻚ...؟!,ﻛﻴﻒ ﻳﻤﻜﻦ ﻟﺸﺨﺺ ﻣﺜﻠﻚ...؟!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_boss_00_00004,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_boss_00,finger_mountain_9000_boss_00,finger_mountain_9000,finger,mountain_9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻮ ﻛﺎﻧﺖ ﻟﺪﻱ ﻓﺮﺻﺔ ﺃﺧﺮﻯ...,ﻟﻮ ﻛﺎﻧﺖ ﻟﺪﻱ ﻓﺮﺻﺔ ﺃﺧﺮﻯ...,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00005,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,5,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﺧﻀﻊ، ﻭﺗﻘﺒﻞ ﻣﺼﻴﺮﻙ.,ﺍﺧﻀﻊ، ﻭﺗﻘﺒﻞ ﻣﺼﻴﺮﻙ.,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00006,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻳﻬﺎ ﺍﻟﻔﺎﻧﻲ ﺍﻟﺒﺎﺋﺲ.,ﺃﻳﻬﺎ ﺍﻟﻔﺎﻧﻲ ﺍﻟﺒﺎﺋﺲ.,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00007,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﺗﺠﺮﺅ ﻋﻠﻰ ﺿﺮﺏ ﻣﻦ ﺗﻬﺎﺑﻪ ﺣﺘﻰ ﺍﻵﻟﻬﺔ؟,ﺃﺗﺠﺮﺅ ﻋﻠﻰ ﺿﺮﺏ ﻣﻦ ﺗﻬﺎﺑﻪ ﺣﺘﻰ ﺍﻵﻟﻬﺔ؟,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00008,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻗﻮﺗﻚ ﻟﻲ!,ﻗﻮﺗﻚ ﻟﻲ!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00009,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻭﺟﻮﺩﻙ ﻟﻴﺲ ﺳﻮﻯ ﻧﻔﺲ ﻋﺎﺑﺮ!,ﻭﺟﻮﺩﻙ ﻟﻴﺲ ﺳﻮﻯ ﻧﻔﺲ ﻋﺎﺑﺮ!,gamedata/localizationstring_eng.paloc
five_finger_mountain_9000_globalgametrack_00010,five,Five,Scene Dialogue,Five,Five,9000,Five 9000,five_finger_mountain_9000,finger_mountain_9000,five_finger_mountain_9000_globalgametrack,finger_mountain_9000_globalgametrack,finger_mountain_9000,finger,mountain_9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﻏﻄﺮﺳﺔ!,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﻏﻄﺮﺳﺔ!,gamedata/localizationstring_eng.paloc
