key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
fullplatearmortroll_0110_npc_00_00008,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,0110,Fullplatearmortroll 0110,fullplatearmortroll_0110,0110,fullplatearmortroll_0110_npc_00,0110_npc_00,0110,0110,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺭﺳﺎﻟﺔ.,ﺭﺳﺎﻟﺔ.,gamedata/localizationstring_eng.paloc
fullplatearmortroll_0110_player_00006,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,0110,Fullplatearmortroll 0110,fullplatearmortroll_0110,0110,fullplatearmortroll_0110_player,0110_player,0110,0110,,6,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
fullplatearmortroll_0110_player_00007,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,0110,Fullplatearmortroll 0110,fullplatearmortroll_0110,0110,fullplatearmortroll_0110_player,0110_player,0110,0110,,7,player,,player,Player,Player,Player,,role,,ﻫﻤﻢ..,ﻫﻤﻢ..,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00001,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻴﺲ ﻟﺪﻳﻚ ﺃﺩﻧﻰ ﻓﻜﺮﺓ ﻋﻤﺎ ﻳﻨﺘﻈﺮﻙ.,ﻟﻴﺲ ﻟﺪﻳﻚ ﺃﺩﻧﻰ ﻓﻜﺮﺓ ﻋﻤﺎ ﻳﻨﺘﻈﺮﻙ.,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00002,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,***!,***!,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00003,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺣﻤﻞ ﻫﺬﺍ ﺍﻹﺫﻻﻝ ﺇﻟﻰ ﻗﺒﺮﻱ!,ﺳﺄﺣﻤﻞ ﻫﺬﺍ ﺍﻹﺫﻻﻝ ﺇﻟﻰ ﻗﺒﺮﻱ!,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00004,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﻃﺤﻨﻚ ﻓﻲ ﺍﻟﺘﺮﺍﺏ!,ﺳﺄﻃﺤﻨﻚ ﻓﻲ ﺍﻟﺘﺮﺍﺏ!,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00005,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺗﻈﻦ ﺣﻘﺎ ﺃﻥ ﻟﺪﻳﻚ ﻓﺮﺻﺔ ﺑﻤﻬﺎﺭﺍﺕ ﻭﺍﻫﻴﺔ ﻛﻬﺬﻩ؟,ﺃﺗﻈﻦ ﺣﻘﺎ ﺃﻥ ﻟﺪﻳﻚ ﻓﺮﺻﺔ ﺑﻤﻬﺎﺭﺍﺕ ﻭﺍﻫﻴﺔ ﻛﻬﺬﻩ؟,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_boss_00_00010,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_boss_00,9000_boss_00,9000,9000,,10,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_globalgametrack_00006,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_globalgametrack,9000_globalgametrack,9000,9000,,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺄﻛﺴﺮ ﻛﻞ ﻋﻈﻤﺔ ﻓﻲ ﺟﺴﺪﻙ ﻭﺃﻟﻘﻴﻚ ﻟﻠﻜﻼﺏ.,ﺳﺄﻛﺴﺮ ﻛﻞ ﻋﻈﻤﺔ ﻓﻲ ﺟﺴﺪﻙ ﻭﺃﻟﻘﻴﻚ ﻟﻠﻜﻼﺏ.,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_globalgametrack_00007,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_globalgametrack,9000_globalgametrack,9000,9000,,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻻ ﺗﺘﺪﺧﻞ ﻓﻲ ﻭﺍﺟﺒﻲ!,ﻻ ﺗﺘﺪﺧﻞ ﻓﻲ ﻭﺍﺟﺒﻲ!,gamedata/localizationstring_eng.paloc
fullplatearmortroll_9000_globalgametrack_00008,fullplatearmortroll,Fullplatearmortroll,Scene Dialogue,Fullplatearmortroll,Fullplatearmortroll,9000,Fullplatearmortroll 9000,fullplatearmortroll_9000,9000,fullplatearmortroll_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻳﺎ ﻟﻚ ﻣﻦ ﺁﻓﺔ ﻣﺰﻋﺠﺔ!,ﻳﺎ ﻟﻚ ﻣﻦ ﺁﻓﺔ ﻣﺰﻋﺠﺔ!,gamedata/localizationstring_eng.paloc
