key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gears_9000_boss_00_00001,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﺫﺍ... ﻃﺎﺭﺩﺗﻨﻲ ﺣﺘﻰ ﻭﺻﻠﺖ ﺇﻟﻰ ﻫﻨﺎ.,ﺇﺫﺍ... ﻃﺎﺭﺩﺗﻨﻲ ﺣﺘﻰ ﻭﺻﻠﺖ ﺇﻟﻰ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00002,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﻨﺎ ﺗﺄﺗﻲ ﺍﻟﺬﺋﺎﺏ ﻟﻜﻲ ﺗﻤﻮﺕ.,ﻫﻨﺎ ﺗﺄﺗﻲ ﺍﻟﺬﺋﺎﺏ ﻟﻜﻲ ﺗﻤﻮﺕ.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00003,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﻦ ﻗﺪﺭ ﺍﻟﺬﺋﺐ ﺃﻥ ﻳﻄﺎﺭﺩ.,ﻣﻦ ﻗﺪﺭ ﺍﻟﺬﺋﺐ ﺃﻥ ﻳﻄﺎﺭﺩ.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00004,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻈﻦ ﺃﻧﻚ ﻗﺎﺩﺭ ﻋﻠﻰ ﺻﻴﺪ ﺻﻴﺎﺩ؟,ﺗﻈﻦ ﺃﻧﻚ ﻗﺎﺩﺭ ﻋﻠﻰ ﺻﻴﺪ ﺻﻴﺎﺩ؟,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00005,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻌﻔﻦ ﻭﻟﺘﺄﻛﻠﻚ ﺍﻟﺪﻳﺪﺍﻥ.,ﺗﻌﻔﻦ ﻭﻟﺘﺄﻛﻠﻚ ﺍﻟﺪﻳﺪﺍﻥ.,gamedata/localizationstring_eng.paloc
gears_9000_boss_00_00006,gears,Gears,Scene Dialogue,Gears,Gears,9000,Gears 9000,gears_9000,9000,gears_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﻣﺰﻗﻚ ﺇﺭﺑﺎ.,ﺳﺄﻣﺰﻗﻚ ﺇﺭﺑﺎ.,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00025,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻌﺎﻝ. ﺳﺄﺣﻘﻖ ﺃﻣﻨﻴﺘﻚ ﻭﺃﻧﻬﻴﻚ.,ﺗﻌﺎﻝ. ﺳﺄﺣﻘﻖ ﺃﻣﻨﻴﺘﻚ ﻭﺃﻧﻬﻴﻚ.,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00026,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺁﻩ... ﺍﻵﻥ ﺣﻴﺎﺗﻚ ﻓﺠﺄﺓ ﺃﺻﺒﺤﺖ ﻣﻬﻤﺔ ﻟﻚ.,ﺁﻩ... ﺍﻵﻥ ﺣﻴﺎﺗﻚ ﻓﺠﺄﺓ ﺃﺻﺒﺤﺖ ﻣﻬﻤﺔ ﻟﻚ.,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00027,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﺘﺒﺪﺃ ﺍﻟﻤﻄﺎﺭﺩﺓ!,ﻟﺘﺒﺪﺃ ﺍﻟﻤﻄﺎﺭﺩﺓ!,gamedata/localizationstring_eng.paloc
gears_bossencounter_ambush_boss_00_00028,gears,Gears,Scene Dialogue,Gears,Gears,,Gears,gears_bossencounter_ambush,bossencounter_ambush,gears_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻓﺮﻳﺴﺔ... ﺗﺴﻴﺮ ﻣﺒﺎﺷﺮﺓ ﺇﻟﻰ ﻗﺒﻀﺘﻲ.,ﻓﺮﻳﺴﺔ... ﺗﺴﻴﺮ ﻣﺒﺎﺷﺮﺓ ﺇﻟﻰ ﻗﺒﻀﺘﻲ.,gamedata/localizationstring_eng.paloc
