key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
goblin_master_1100_narration_00023,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,23,narration,,narration,Narration,Narration,Narration,,role,,ﺃﻧﺖ ﻭﺣﺪﻙ ﺗﺘﺪﻓﻖ، ﺑﻴﻨﻤﺎ ﻛﻞ ﻣﺎ ﺳﻮﺍﻙ ﺳﺎﻛﻦ.,ﺃﻧﺖ ﻭﺣﺪﻙ ﺗﺘﺪﻓﻖ، ﺑﻴﻨﻤﺎ ﻛﻞ ﻣﺎ ﺳﻮﺍﻙ ﺳﺎﻛﻦ.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00024,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,24,narration,,narration,Narration,Narration,Narration,,role,,ﺃﺧﻴﺮﺍ ﺗﺴﻤﻌﻨﻲ...,ﺃﺧﻴﺮﺍ ﺗﺴﻤﻌﻨﻲ...,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00025,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,25,narration,,narration,Narration,Narration,Narration,,role,,ﺛﻤﺔ ﻣﻦ ﻳﺤﻤﻞ ﻛﻠﻤﺎﺕ ﺧﺼﺼﺖ ﻷﺫﻧﻴﻚ.,ﺛﻤﺔ ﻣﻦ ﻳﺤﻤﻞ ﻛﻠﻤﺎﺕ ﺧﺼﺼﺖ ﻷﺫﻧﻴﻚ.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00026,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,26,narration,,narration,Narration,Narration,Narration,,role,,ﻻ ﻳﻬﻢ.,ﻻ ﻳﻬﻢ.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00028,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,28,narration,,narration,Narration,Narration,Narration,,role,,ﺗﻌﺎﻝ، ﺍﺑﺤﺚ ﻋﻨﻲ.,ﺗﻌﺎﻝ، ﺍﺑﺤﺚ ﻋﻨﻲ.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00038,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,38,narration,,narration,Narration,Narration,Narration,,role,,ﺍﻟﻤﻬﻢ ﻫﻮ...,ﺍﻟﻤﻬﻢ ﻫﻮ...,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00039,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,39,narration,,narration,Narration,Narration,Narration,,role,,ﻫﻮ ﺍﻟﻄﺮﻳﻖ ﺍﻟﺬﻱ ﻣﺸﻴﺘﻪ، ﻭﺍﻟﺬﻱ ﻻ ﻳﺰﺍﻝ ﺃﻣﺎﻣﻚ.,ﻫﻮ ﺍﻟﻄﺮﻳﻖ ﺍﻟﺬﻱ ﻣﺸﻴﺘﻪ، ﻭﺍﻟﺬﻱ ﻻ ﻳﺰﺍﻝ ﺃﻣﺎﻣﻚ.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00041,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,41,narration,,narration,Narration,Narration,Narration,,role,,ﻹﻧﻘﺎﺫ ﺍﻵﺧﺮﻳﻦ، ﻋﻠﻰ ﺍﻟﻤﺮﺀ ﺃﻭﻻ ﺃﻥ ﻳﺠﺪ ﺍﻟﻘﻮﺓ ﻓﻲ ﺩﺍﺧﻠﻪ.,ﻹﻧﻘﺎﺫ ﺍﻵﺧﺮﻳﻦ، ﻋﻠﻰ ﺍﻟﻤﺮﺀ ﺃﻭﻻ ﺃﻥ ﻳﺠﺪ ﺍﻟﻘﻮﺓ ﻓﻲ ﺩﺍﺧﻠﻪ.,gamedata/localizationstring_eng.paloc
goblin_master_1100_narration_00043,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_narration,master_1100_narration,master_1100,master,1100,43,narration,,narration,Narration,Narration,Narration,,role,,ﺍﻟﺠﺮﺍﺡ ﺗﻔﺘﺢ ﺍﻟﻘﻠﺐ ﺑﻄﺮﻕ ﻻ ﺗﻘﺪﺭ ﻋﻠﻴﻬﺎ ﺍﻟﻜﻠﻤﺎﺕ.,ﺍﻟﺠﺮﺍﺡ ﺗﻔﺘﺢ ﺍﻟﻘﻠﺐ ﺑﻄﺮﻕ ﻻ ﺗﻘﺪﺭ ﻋﻠﻴﻬﺎ ﺍﻟﻜﻠﻤﺎﺕ.,gamedata/localizationstring_eng.paloc
goblin_master_1100_npc_00_00004,goblin,Goblin,Scene Dialogue,Goblin,Goblin,1100,Goblin 1100,goblin_master_1100,master_1100,goblin_master_1100_npc_00,master_1100_npc_00,master_1100,master,1100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ ﻣﺴﺘﻴﻘﻆ؟ ﻣﺎ ﺍﻟﺬﻱ ﻛﻨﺖ ﺗﻈﻦ ﻧﻔﺴﻚ ﺗﻔﻌﻠﻪ ﺑﺎﻟﻀﺒﻂ؟ ﻫﻞ ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﺧﻄﺔ ﺃﺻﻼ؟,ﺃﻧﺖ ﻣﺴﺘﻴﻘﻆ؟ ﻣﺎ ﺍﻟﺬﻱ ﻛﻨﺖ ﺗﻈﻦ ﻧﻔﺴﻚ ﺗﻔﻌﻠﻪ ﺑﺎﻟﻀﺒﻂ؟ ﻫﻞ ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﺧﻄﺔ ﺃﺻﻼ؟,gamedata/localizationstring_eng.paloc
