key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
goldenarmor_9000_boss_00_00001,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﻣﺪ ﻳﺪﻳﻚ ﺍﻟﺠﺸﻌﺘﻴﻦ ﺇﻟﻰ ﺫﻫﺒﻲ!,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﻣﺪ ﻳﺪﻳﻚ ﺍﻟﺠﺸﻌﺘﻴﻦ ﺇﻟﻰ ﺫﻫﺒﻲ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00002,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺘﺪﻓﻊ ﺛﻤﻦ ﺫﻟﻚ ﺑﺤﻴﺎﺗﻚ!,ﺳﺘﺪﻓﻊ ﺛﻤﻦ ﺫﻟﻚ ﺑﺤﻴﺎﺗﻚ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00006,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺫﻫﺒﻲ...,ﺫﻫﺒﻲ...,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00007,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻞ ﺷﻲﺀ ﻣﻈﻠﻢ...,ﻛﻞ ﺷﻲﺀ ﻣﻈﻠﻢ...,gamedata/localizationstring_eng.paloc
goldenarmor_9000_boss_00_00008,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_boss_00,9000_boss_00,9000,9000,,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﺎﻥ ﻛﻞ ﺷﻲﺀ... ﻣﻠﻜﻲ...,ﻛﺎﻥ ﻛﻞ ﺷﻲﺀ... ﻣﻠﻜﻲ...,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00010,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺗﺄﻣﻞ ﻟﻤﻌﺎﻥ ﻫﺬﺍ ﺍﻟﺪﺭﻉ!,ﺗﺄﻣﻞ ﻟﻤﻌﺎﻥ ﻫﺬﺍ ﺍﻟﺪﺭﻉ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00011,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﺬﻫﺐ ﻻ ﻳﺨﻮﻥ ﺃﺑﺪﺍ!,ﺍﻟﺬﻫﺐ ﻻ ﻳﺨﻮﻥ ﺃﺑﺪﺍ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00012,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﻤﺰﻳﺪ! ﺃﺣﺘﺎﺝ ﺫﻫﺒﺎ ﺃﻛﺜﺮ!,ﺍﻟﻤﺰﻳﺪ! ﺃﺣﺘﺎﺝ ﺫﻫﺒﺎ ﺃﻛﺜﺮ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00013,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,13,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻟﻴﻠﺘﻬﻤﻚ ﺍﻟﺬﻫﺐ!,ﻟﻴﻠﺘﻬﻤﻚ ﺍﻟﺬﻫﺐ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00014,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,14,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻧﺖ ﺗﻠﻄﺦ ﺫﻫﺒﻲ ﺑﺎﻟﺪﻡ!,ﺃﻧﺖ ﺗﻠﻄﺦ ﺫﻫﺒﻲ ﺑﺎﻟﺪﻡ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_globalgametrack_00015,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_globalgametrack,9000_globalgametrack,9000,9000,,15,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﺬﻫﺐ ﻗﻮﺓ. ﻟﻬﺬﺍ ﻻ ﻳﻤﻜﻦ ﺇﻳﻘﺎﻓﻲ!,ﺍﻟﺬﻫﺐ ﻗﻮﺓ. ﻟﻬﺬﺍ ﻻ ﻳﻤﻜﻦ ﺇﻳﻘﺎﻓﻲ!,gamedata/localizationstring_eng.paloc
goldenarmor_9000_narration_00009,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,9000,Goldenarmor 9000,goldenarmor_9000,9000,goldenarmor_9000_narration,9000_narration,9000,9000,,9,narration,,narration,Narration,Narration,Narration,,role,,ﺍﺭﻛﺾ ﻳﺎ ﻣﻌﺪﻡ! ﻫﺬﺍ ﺍﻟﺬﻫﺐ ﻟﻢ ﻳﻜﻦ ﻟﻚ ﻳﻮﻣﺎ!,ﺍﺭﻛﺾ ﻳﺎ ﻣﻌﺪﻡ! ﻫﺬﺍ ﺍﻟﺬﻫﺐ ﻟﻢ ﻳﻜﻦ ﻟﻚ ﻳﻮﻣﺎ!,gamedata/localizationstring_eng.paloc
goldenarmor_bossencounter_ambush_boss_00_00013,goldenarmor,Goldenarmor,Scene Dialogue,Goldenarmor,Goldenarmor,,Goldenarmor,goldenarmor_bossencounter_ambush,bossencounter_ambush,goldenarmor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻟﺬﻫﺐ ﻭﺣﺪﻩ ﻳﺪﻭﻡ!,ﺍﻟﺬﻫﺐ ﻭﺣﺪﻩ ﻳﺪﻭﻡ!,gamedata/localizationstring_eng.paloc
