key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gorthakiron_0100_npc_00_00015,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺎ ﺃﻧﺖ ﺫﺍ.,ﻫﺎ ﺃﻧﺖ ﺫﺍ.,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00016,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟـ A.T.A.G ﺗﺤﻔﺔ ﺣﻘﻴﻘﻴﺔ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﺍﻟـ A.T.A.G ﺗﺤﻔﺔ ﺣﻘﻴﻘﻴﺔ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00017,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺭﻯ ﺃﻧﻚ ﻣﻌﺠﺐ ﺑﻪ، ﻟﻜﻦ ﻻ ﻳﻤﻜﻨﻨﻲ ﺃﻥ ﺃﻋﻄﻴﻚ ﺇﻳﺎﻩ ﻫﻜﺬﺍ...,ﺃﺭﻯ ﺃﻧﻚ ﻣﻌﺠﺐ ﺑﻪ، ﻟﻜﻦ ﻻ ﻳﻤﻜﻨﻨﻲ ﺃﻥ ﺃﻋﻄﻴﻚ ﺇﻳﺎﻩ ﻫﻜﺬﺍ...,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00018,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺲ ﻛﺄﻧﻨﻲ ﺃﺳﺘﻄﻴﻊ ﺗﺠﻤﻴﻊ ﻭﺍﺣﺪ ﻣﺘﻰ ﺃﺷﺎﺀ، ﺗﻌﻠﻢ...,ﻟﻴﺲ ﻛﺄﻧﻨﻲ ﺃﺳﺘﻄﻴﻊ ﺗﺠﻤﻴﻊ ﻭﺍﺣﺪ ﻣﺘﻰ ﺃﺷﺎﺀ، ﺗﻌﻠﻢ...,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00019,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻨﻚ ﻟﻦ ﺗﻘﺒﻞ ﻻ ﻛﺠﻮﺍﺏ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﻟﻜﻨﻚ ﻟﻦ ﺗﻘﺒﻞ ﻻ ﻛﺠﻮﺍﺏ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00020,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻮ ﺍﺳﺘﺨﺪﻣﻨﺎ ﻗﺪﺭﻙ ﺫﻟﻚ.,ﻟﻮ ﺍﺳﺘﺨﺪﻣﻨﺎ ﻗﺪﺭﻙ ﺫﻟﻚ.,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00021,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺄﺟﺪ ﻃﺮﻳﻘﺔ. ﻓﻘﻂ ﺃﺣﻀﺮ ﻟﻲ ﺍﻟﻤﻮﺍﺩ ﺍﻟﺘﻲ ﺃﻃﻠﺒﻬﺎ.,ﺳﺄﺟﺪ ﻃﺮﻳﻘﺔ. ﻓﻘﻂ ﺃﺣﻀﺮ ﻟﻲ ﺍﻟﻤﻮﺍﺩ ﺍﻟﺘﻲ ﺃﻃﻠﺒﻬﺎ.,gamedata/localizationstring_eng.paloc
gorthakiron_0100_npc_00_00022,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0100,Gorthakiron 0100,gorthakiron_0100,0100,gorthakiron_0100_npc_00,0100_npc_00,0100,0100,,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﺒﺮﻙ ﺑﺸﻲﺀ. ﻗﺪ ﺃﺗﻤﻜﻦ ﻣﻦ ﺻﻨﻊ ﻭﺍﺣﺪ ﻟﻚ،,ﺃﺧﺒﺮﻙ ﺑﺸﻲﺀ. ﻗﺪ ﺃﺗﻤﻜﻦ ﻣﻦ ﺻﻨﻊ ﻭﺍﺣﺪ ﻟﻚ،,gamedata/localizationstring_eng.paloc
gorthakiron_0200_npc_00_00001,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0200,Gorthakiron 0200,gorthakiron_0200,0200,gorthakiron_0200_npc_00,0200_npc_00,0200,0200,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ، ﻭﺻﻠﺖ ﺑﺎﻟﻔﻌﻞ؟,ﻣﺎﺫﺍ، ﻭﺻﻠﺖ ﺑﺎﻟﻔﻌﻞ؟,gamedata/localizationstring_eng.paloc
gorthakiron_0200_npc_00_00002,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0200,Gorthakiron 0200,gorthakiron_0200,0200,gorthakiron_0200_npc_00,0200_npc_00,0200,0200,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﺯﻟﺖ ﻟﻢ ﺃﺟﺪ ﺍﻟﺠﻮﺍﺏ ﺍﻷﻣﺜﻞ.,ﻣﺎ ﺯﻟﺖ ﻟﻢ ﺃﺟﺪ ﺍﻟﺠﻮﺍﺏ ﺍﻷﻣﺜﻞ.,gamedata/localizationstring_eng.paloc
gorthakiron_0200_npc_00_00003,gorthakiron,Gorthakiron,Scene Dialogue,Gorthakiron,Gorthakiron,0200,Gorthakiron 0200,gorthakiron_0200,0200,gorthakiron_0200_npc_00,0200_npc_00,0200,0200,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ ﺑﻌﺪ ﺑﻌﺾ ﺍﻟﻤﺤﺎﻭﻻﺕ ﻭﺍﻷﺧﻄﺎﺀ...<br/>ﻳﺒﺪﻭ ﺃﻥ ﺇﻟﻘﺎﺀ ﻣﻮﺍﺩ ﺍﻷﺳﻠﺤﺔ ﻓﻲ ﺍﻟﻤﺮﺟﻞ ﻳﺼﻨﻊ ﺁﻻﺕ ﺟﺪﻳﺪﺓ.,"ﻟﻜﻦ ﺑﻌﺪ ﺑﻌﺾ ﺍﻟﻤﺤﺎﻭﻻﺕ ﻭﺍﻷﺧﻄﺎﺀ...
ﻳﺒﺪﻭ ﺃﻥ ﺇﻟﻘﺎﺀ ﻣﻮﺍﺩ ﺍﻷﺳﻠﺤﺔ ﻓﻲ ﺍﻟﻤﺮﺟﻞ ﻳﺼﻨﻊ ﺁﻻﺕ ﺟﺪﻳﺪﺓ.",gamedata/localizationstring_eng.paloc
