key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gregor_bossencounter_ambush_boss_00_00030,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺠﺮﺅ ﻋﻠﻰ ﺻﺪ ﺭﻣﺤﻲ... ﻭﻗﺎﺣﺔ.,ﺗﺠﺮﺅ ﻋﻠﻰ ﺻﺪ ﺭﻣﺤﻲ... ﻭﻗﺎﺣﺔ.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00031,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,31,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﺭﻛﺾ! ﺍﺭﻛﺾ ﻣﺎ ﺩﺍﻡ ﻗﻠﺒﻚ ﺍﻟﺠﺒﺎﻥ ﻳﻨﺒﺾ!,ﺍﺭﻛﺾ! ﺍﺭﻛﺾ ﻣﺎ ﺩﺍﻡ ﻗﻠﺒﻚ ﺍﻟﺠﺒﺎﻥ ﻳﻨﺒﺾ!,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00032,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,32,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﻦ ﻳﺠﺮﺅ ﻋﻠﻰ ﺍﻟﻮﻗﻮﻑ ﻓﻲ ﻭﺟﻪ ﻃﻌﻨﺔ ﺭﻣﺤﻲ؟,ﻣﻦ ﻳﺠﺮﺅ ﻋﻠﻰ ﺍﻟﻮﻗﻮﻑ ﻓﻲ ﻭﺟﻪ ﻃﻌﻨﺔ ﺭﻣﺤﻲ؟,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00033,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ ﺗﺴﺘﺤﻖ ﺃﻥ ﺗﻌﻠﻖ ﺑﻴﻦ ﻏﻨﺎﺋﻤﻲ.,ﻻ ﺗﺴﺘﺤﻖ ﺃﻥ ﺗﻌﻠﻖ ﺑﻴﻦ ﻏﻨﺎﺋﻤﻲ.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00034,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﻦ ﻳﻮﺍﺟﻪ ﺭﻣﺤﻲ ﻳﺮﺍﻫﻦ ﺑﺤﻴﺎﺗﻪ.,ﻣﻦ ﻳﻮﺍﺟﻪ ﺭﻣﺤﻲ ﻳﺮﺍﻫﻦ ﺑﺤﻴﺎﺗﻪ.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00035,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺎ ﺍﻟﺬﻱ ﻳﻤﻨﺤﻚ ﺍﻟﺠﺮﺃﺓ ﻟﺘﻘﻒ ﻓﻲ ﻃﺮﻳﻘﻲ؟,ﻣﺎ ﺍﻟﺬﻱ ﻳﻤﻨﺤﻚ ﺍﻟﺠﺮﺃﺓ ﻟﺘﻘﻒ ﻓﻲ ﻃﺮﻳﻘﻲ؟,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00036,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ... ﻧﻐﻞ ﺁﺧﺮ ﺃﺭﺳﻠﻪ ﻭﻳﻠﺰ ﻟﻴﻤﻮﺕ.,ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ... ﻧﻐﻞ ﺁﺧﺮ ﺃﺭﺳﻠﻪ ﻭﻳﻠﺰ ﻟﻴﻤﻮﺕ.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_ambush_boss_00_00037,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_ambush,bossencounter_ambush,gregor_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺤﺪ ﺍﻟﻘﺎﺋﺪ ﺍﻷﻋﻠﻰ، ﻭﺳﻴﺠﺪﻙ ﺍﻟﻤﻮﺕ ﺳﺮﻳﻌﺎ.,ﺗﺤﺪ ﺍﻟﻘﺎﺋﺪ ﺍﻷﻋﻠﻰ، ﻭﺳﻴﺠﺪﻙ ﺍﻟﻤﻮﺕ ﺳﺮﻳﻌﺎ.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_stand_boss_00_00039,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_stand,bossencounter_stand,gregor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,39,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﻭﻗﺎﺣﺔ... ﻳﻈﻦ ﺃﺣﺪﻫﻢ ﺃﻧﻪ ﻳﺴﺘﻄﻴﻊ ﺳﺮﻗﺘﻲ.,ﻳﺎ ﻟﻬﺎ ﻣﻦ ﻭﻗﺎﺣﺔ... ﻳﻈﻦ ﺃﺣﺪﻫﻢ ﺃﻧﻪ ﻳﺴﺘﻄﻴﻊ ﺳﺮﻗﺘﻲ.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_stand_boss_00_00040,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_stand,bossencounter_stand,gregor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,40,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﺠﺮﺅ ﻋﻠﻰ ﺻﺪ ﺭﻣﺤﻲ... ﻳﺎ ﻟﻚ ﻣﻦ ﻭﻗﺢ.,ﺗﺠﺮﺅ ﻋﻠﻰ ﺻﺪ ﺭﻣﺤﻲ... ﻳﺎ ﻟﻚ ﻣﻦ ﻭﻗﺢ.,gamedata/localizationstring_eng.paloc
gregor_bossencounter_stand_boss_00_00041,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_stand,bossencounter_stand,gregor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,41,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﺭﻛﺾ! ﺍﺭﻛﺾ ﻣﺎ ﺩﺍﻡ ﻗﻠﺒﻚ ﺍﻟﺠﺒﺎﻥ ﻳﻨﺒﺾ!,ﺍﺭﻛﺾ! ﺍﺭﻛﺾ ﻣﺎ ﺩﺍﻡ ﻗﻠﺒﻚ ﺍﻟﺠﺒﺎﻥ ﻳﻨﺒﺾ!,gamedata/localizationstring_eng.paloc
gregor_bossencounter_stand_boss_00_00042,gregor,Gregor,Scene Dialogue,Gregor,Gregor,,Gregor,gregor_bossencounter_stand,bossencounter_stand,gregor_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,42,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﺎ! ﺍﻟﺤﻤﻘﻰ ﻛﺜﻴﺮﻭﻥ ﺣﻘﺎ.,ﻫﺎ! ﺍﻟﺤﻤﻘﻰ ﻛﺜﻴﺮﻭﻥ ﺣﻘﺎ.,gamedata/localizationstring_eng.paloc
