key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
greymane_pailoon_0100_npc_00_00004,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻤﻢ.,ﻫﻤﻢ.,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00005,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻴﺎ، ﻟﻨﻨﻄﻠﻖ.,ﻫﻴﺎ، ﻟﻨﻨﻄﻠﻖ.,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00006,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00007,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00008,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00009,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻠﻴﻒ.,ﻛﻠﻴﻒ.,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00010,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻤﻢ.,ﻣﻤﻢ.,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00011,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00012,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﺥ!,ﺁﺥ!,gamedata/localizationstring_eng.paloc
greymane_pailoon_0100_npc_00_00013,greymane,Greymane,Scene Dialogue,Greymane,Greymane,0100,Greymane 0100,greymane_pailoon_0100,pailoon_0100,greymane_pailoon_0100_npc_00,pailoon_0100_npc_00,pailoon_0100,pailoon,0100,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻳﻬﺎ ﺍﻷﻭﻏﺎﺩ!,ﺃﻳﻬﺎ ﺍﻷﻭﻏﺎﺩ!,gamedata/localizationstring_eng.paloc
