key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
greymanecamp_0100_npc_00_00011,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﻤﻜﻨﻨﺎ ﺃﻥ ﻧﺠﻨﻲ ﺛﺮﻭﺓ ﻃﺎﺋﻠﺔ ﻣﻦ ﻫﺬﺍ.,ﻳﻤﻜﻨﻨﺎ ﺃﻥ ﻧﺠﻨﻲ ﺛﺮﻭﺓ ﻃﺎﺋﻠﺔ ﻣﻦ ﻫﺬﺍ.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00012,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻦ ﻧﺤﺘﺎﺝ ﻟﺘﺤﺮﻳﻚ ﺇﺻﺒﻊ ﻭﺍﺣﺪ ﻃﻮﺍﻝ ﺣﻴﺎﺗﻨﺎ.,ﻟﻦ ﻧﺤﺘﺎﺝ ﻟﺘﺤﺮﻳﻚ ﺇﺻﺒﻊ ﻭﺍﺣﺪ ﻃﻮﺍﻝ ﺣﻴﺎﺗﻨﺎ.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00013,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻠﻴﻒ! ﺃﺧﻴﺮﺍ ﺃﻃﻠﻠﺖ ﺑﻮﺟﻬﻚ.,ﻛﻠﻴﻒ! ﺃﺧﻴﺮﺍ ﺃﻃﻠﻠﺖ ﺑﻮﺟﻬﻚ.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00014,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﻨﺪﻱ ﺧﻄﺔ ﻋﺒﻘﺮﻳﺔ ﻟﻌﻴﻨﺔ ﻟﻨﻜﺴﺐ ﺑﻌﺾ ﺍﻟﻤﺎﻝ.,ﻋﻨﺪﻱ ﺧﻄﺔ ﻋﺒﻘﺮﻳﺔ ﻟﻌﻴﻨﺔ ﻟﻨﻜﺴﺐ ﺑﻌﺾ ﺍﻟﻤﺎﻝ.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00015,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺣﻀﺮ ﻋﺮﺑﺔ ﺇﻟﻰ ﻣﺪﺧﻞ ﺍﻟﻤﻌﺴﻜﺮ.,ﺃﺣﻀﺮ ﻋﺮﺑﺔ ﺇﻟﻰ ﻣﺪﺧﻞ ﺍﻟﻤﻌﺴﻜﺮ.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00016,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺄﻃﻠﻌﻚ ﻋﻠﻰ ﺍﻟﺘﻔﺎﺻﻴﻞ ﻓﻲ ﺍﻟﻄﺮﻳﻖ.,ﺳﺄﻃﻠﻌﻚ ﻋﻠﻰ ﺍﻟﺘﻔﺎﺻﻴﻞ ﻓﻲ ﺍﻟﻄﺮﻳﻖ.,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00017,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻴﺎ! ﻟﻤﺎﺫﺍ ﺗﻘﻒ ﻫﻜﺬﺍ؟,ﻫﻴﺎ! ﻟﻤﺎﺫﺍ ﺗﻘﻒ ﻫﻜﺬﺍ؟,gamedata/localizationstring_eng.paloc
greymanecamp_0100_npc_00_00018,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_npc_00,0100_npc_00,0100,0100,,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺲ ﻟﺪﻳﻨﺎ ﻭﻗﺖ! ﺍﻧﻄﻠﻖ!,ﻟﻴﺲ ﻟﺪﻳﻨﺎ ﻭﻗﺖ! ﺍﻧﻄﻠﻖ!,gamedata/localizationstring_eng.paloc
greymanecamp_0100_player_00009,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0100,Greymanecamp 0100,greymanecamp_0100,0100,greymanecamp_0100_player,0100_player,0100,0100,,9,player,,player,Player,Player,Player,,role,,ﻫﻞ ﻫﻨﺎﻙ ﻣﺎ ﻳﺰﻋﺠﻚ؟,ﻫﻞ ﻫﻨﺎﻙ ﻣﺎ ﻳﺰﻋﺠﻚ؟,gamedata/localizationstring_eng.paloc
greymanecamp_0110_globalgametrack_00018,greymanecamp,Greymanecamp,Scene Dialogue,Greymanecamp,Greymanecamp,0110,Greymanecamp 0110,greymanecamp_0110,0110,greymanecamp_0110_globalgametrack,0110_globalgametrack,0110,0110,,18,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﻨﻨﻄﻠﻖ ﻟﺮﺅﻳﺔ ﺍﻷﻭﺭﺍﻕ ﺍﻟﺬﻫﺒﻴﺔ!,ﺳﻨﻨﻄﻠﻖ ﻟﺮﺅﻳﺔ ﺍﻷﻭﺭﺍﻕ ﺍﻟﺬﻫﺒﻴﺔ!,gamedata/localizationstring_eng.paloc
