key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
greywolf_camp_1400_npc_00_00000,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,1400,Greywolf 1400,greywolf_camp_1400,camp_1400,greywolf_camp_1400_npc_00,camp_1400_npc_00,camp_1400,camp,1400,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻑ!,ﺃﻑ!,gamedata/localizationstring_eng.paloc
greywolf_camp_1400_npc_00_00001,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,1400,Greywolf 1400,greywolf_camp_1400,camp_1400,greywolf_camp_1400_npc_00,camp_1400_npc_00,camp_1400,camp,1400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻢ ﻳﺘﺰﺣﺰﺡ ﻗﻴﺪ ﺃﻧﻤﻠﺔ...,ﻟﻢ ﻳﺘﺰﺣﺰﺡ ﻗﻴﺪ ﺃﻧﻤﻠﺔ...,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00008,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻦ ﺃﻓﻌﻞ، ﻻ ﺗﻘﻠﻖ.,ﻟﻦ ﺃﻓﻌﻞ، ﻻ ﺗﻘﻠﻖ.,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00009,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00010,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺳﻤﻊ ﺍﻟﺠﻤﻴﻊ ﻋﻦ ﺳﺎﻗﻲ؟,ﻫﻞ ﺳﻤﻊ ﺍﻟﺠﻤﻴﻊ ﻋﻦ ﺳﺎﻗﻲ؟,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00011,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00012,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00013,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺎ ﻫﻮ ﻳﺒﺪﺃ ﻣﻦ ﺟﺪﻳﺪ...,ﻫﺎ ﻫﻮ ﻳﺒﺪﺃ ﻣﻦ ﺟﺪﻳﺪ...,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00014,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻨﺖ ﺃﻋﻠﻢ ﺃﻥ ﻫﺬﺍ ﺳﻴﺤﺪﺙ.,ﻛﻨﺖ ﺃﻋﻠﻢ ﺃﻥ ﻫﺬﺍ ﺳﻴﺤﺪﺙ.,gamedata/localizationstring_eng.paloc
greywolf_camp_2700_npc_00_00015,greywolf,Greywolf,Scene Dialogue,Greywolf,Greywolf,2700,Greywolf 2700,greywolf_camp_2700,camp_2700,greywolf_camp_2700_npc_00,camp_2700_npc_00,camp_2700,camp,2700,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﻧﻪ ﻳﻌﺒﺚ ﻣﻌﻪ ﻓﻘﻂ. ﻫﻜﺬﺍ ﻳﺎﻥ!,ﺇﻧﻪ ﻳﻌﺒﺚ ﻣﻌﻪ ﻓﻘﻂ. ﻫﻜﺬﺍ ﻳﺎﻥ!,gamedata/localizationstring_eng.paloc
