key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
gwenkraver_9000_boss_00_00013,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﺫﻥ ﺃﻧﺖ ﻣﻦ ﻓﻌﻠﻬﺎ!,ﺇﺫﻥ ﺃﻧﺖ ﻣﻦ ﻓﻌﻠﻬﺎ!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00014,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00015,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ ﺃﺻﺪﻕ... ﻫﺰﻣﺖ؟!,ﻻ ﺃﺻﺪﻕ... ﻫﺰﻣﺖ؟!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00016,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00017,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻧﺖ ﻣﻦ ﺗﺠﺮﺃ ﻋﻠﻰ ﺍﻟﺘﺪﺧﻞ ﻓﻲ ﺷﺆﻭﻧﻨﺎ!,ﺃﻧﺖ ﻣﻦ ﺗﺠﺮﺃ ﻋﻠﻰ ﺍﻟﺘﺪﺧﻞ ﻓﻲ ﺷﺆﻭﻧﻨﺎ!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00018,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺣﻄﻤﻚ ﺇﺭﺑﺎ!,ﺳﺄﺣﻄﻤﻚ ﺇﺭﺑﺎ!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00019,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﻦ ﺗﻈﻦ ﻧﻔﺴﻚ...,ﻣﻦ ﺗﻈﻦ ﻧﻔﺴﻚ...,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00020,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻘﺘﺤﻤﻮﻥ ﺍﻟﻤﻜﺎﻥ ﻭﺗﺜﻴﺮﻭﻥ ﺍﻟﻤﺘﺎﻋﺐ؟,ﺗﻘﺘﺤﻤﻮﻥ ﺍﻟﻤﻜﺎﻥ ﻭﺗﺜﻴﺮﻭﻥ ﺍﻟﻤﺘﺎﻋﺐ؟,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00021,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻜﻠﻢ ﻗﺒﻞ ﺃﻥ ﺃﻗﺘﻠﻚ!,ﺗﻜﻠﻢ ﻗﺒﻞ ﺃﻥ ﺃﻗﺘﻠﻚ!,gamedata/localizationstring_eng.paloc
gwenkraver_9000_boss_00_00022,gwenkraver,Gwenkraver,Scene Dialogue,Gwenkraver,Gwenkraver,9000,Gwenkraver 9000,gwenkraver_9000,9000,gwenkraver_9000_boss_00,9000_boss_00,9000,9000,,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻡ ﺗﺮﻳﺪ ﺃﻥ ﺗﻤﻮﺕ ﻣﺘﺠﻤﺪﺍ؟,ﺃﻡ ﺗﺮﻳﺪ ﺃﻥ ﺗﻤﻮﺕ ﻣﺘﺠﻤﺪﺍ؟,gamedata/localizationstring_eng.paloc
