key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hamondbeindel_bossencounter_ambush_boss_00_00011,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﻛﺴﺮ ﺃﺣﺪ ﺃﻃﺮﺍﻓﻚ ﻭﺳﺘﻨﻮﺡ ﻛﺎﻟﻜﻠﺐ.,ﺳﺄﻛﺴﺮ ﺃﺣﺪ ﺃﻃﺮﺍﻓﻚ ﻭﺳﺘﻨﻮﺡ ﻛﺎﻟﻜﻠﺐ.,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00012,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﺬﻩ ﻣﺠﺮﺩ ﺍﻟﺒﺪﺍﻳﺔ!,ﻫﺬﻩ ﻣﺠﺮﺩ ﺍﻟﺒﺪﺍﻳﺔ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00013,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻢ ﺃﺗﻤﻨﻰ ﺃﻥ ﺃﺭﺍﻙ ﺗﺰﺣﻒ ﻓﻲ ﺣﻈﻴﺮﺓ ﻛﻼﺑﻲ!,ﻛﻢ ﺃﺗﻤﻨﻰ ﺃﻥ ﺃﺭﺍﻙ ﺗﺰﺣﻒ ﻓﻲ ﺣﻈﻴﺮﺓ ﻛﻼﺑﻲ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00014,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺣﻄﻤﻚ ﻛﻤﺎ ﺃﺣﻄﻢ ﻭﺣﺸﺎ!,ﺳﺄﺣﻄﻤﻚ ﻛﻤﺎ ﺃﺣﻄﻢ ﻭﺣﺸﺎ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00015,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻢ ﺩﺱ ﺃﻭﻟﺌﻚ ﺍﻟﻜﻬﻨﺔ ﻓﻲ ﺟﻴﺒﻚ؟,ﻛﻢ ﺩﺱ ﺃﻭﻟﺌﻚ ﺍﻟﻜﻬﻨﺔ ﻓﻲ ﺟﻴﺒﻚ؟,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00016,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻼﺑﻲ ﺗﻔﻀﻞ ﻟﺤﻤﻬﺎ ﻃﺮﻳﺎ ﻭﻃﺎﺯﺟﺎ!,ﻛﻼﺑﻲ ﺗﻔﻀﻞ ﻟﺤﻤﻬﺎ ﻃﺮﻳﺎ ﻭﻃﺎﺯﺟﺎ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00017,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻼﺑﻲ ﺗﻌﺮﻑ ﺭﺍﺋﺤﺘﻚ، ﻟﻦ ﺗﺒﺘﻌﺪ.,ﻛﻼﺑﻲ ﺗﻌﺮﻑ ﺭﺍﺋﺤﺘﻚ، ﻟﻦ ﺗﺒﺘﻌﺪ.,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_boss_00_00018,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﻥ ﺃﺭﺩﺕ ﺃﻥ ﺗﻌﻴﺶ، ﺗﻮﺳﻞ ﻛﺎﻟﻜﻠﺐ ﺍﻟﺬﻱ ﺃﻧﺖ ﻋﻠﻴﻪ!,ﺇﻥ ﺃﺭﺩﺕ ﺃﻥ ﺗﻌﻴﺶ، ﺗﻮﺳﻞ ﻛﺎﻟﻜﻠﺐ ﺍﻟﺬﻱ ﺃﻧﺖ ﻋﻠﻴﻪ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00019,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,19,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻛﻼﺑﻲ ﺗﺘﻀﻮﺭ ﺟﻮﻋﺎ!,ﻛﻼﺑﻲ ﺗﺘﻀﻮﺭ ﺟﻮﻋﺎ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00020,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,20,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻛﻼﺑﻲ ﺳﺘﺘﻮﻟﻢ ﻋﻠﻰ ﻟﺤﻤﻚ!,ﻛﻼﺑﻲ ﺳﺘﺘﻮﻟﻢ ﻋﻠﻰ ﻟﺤﻤﻚ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00021,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,21,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺄﺭﻣﻴﻚ ﻓﻲ ﺑﻴﺖ ﺍﻟﻜﻼﺏ!,ﺳﺄﺭﻣﻴﻚ ﻓﻲ ﺑﻴﺖ ﺍﻟﻜﻼﺏ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00022,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,22,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻧﺖ ﺟﺮﻭ ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ!,ﺃﻧﺖ ﺟﺮﻭ ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_ambush_globalgametrack_00023,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_ambush,bossencounter_ambush,hamondbeindel_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,23,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻫﻴﺎ، ﺩﻋﻬﻢ ﻳﺘﺬﻭﻗﻮﻥ ﻟﺪﻏﺔ!,ﻫﻴﺎ، ﺩﻋﻬﻢ ﻳﺘﺬﻭﻗﻮﻥ ﻟﺪﻏﺔ!,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_stand_boss_00_00021,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_stand,bossencounter_stand,hamondbeindel_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﺳﺘﺴﻠﻢ ﺍﻵﻥ... ﻭﺭﺑﻤﺎ ﺃﺑﻘﻴﻚ ﺳﺎﻟﻤﺎ ﺣﺘﻰ ﺗﺒﺎﻉ.,ﺍﺳﺘﺴﻠﻢ ﺍﻵﻥ... ﻭﺭﺑﻤﺎ ﺃﺑﻘﻴﻚ ﺳﺎﻟﻤﺎ ﺣﺘﻰ ﺗﺒﺎﻉ.,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_stand_boss_00_00022,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_stand,bossencounter_stand,hamondbeindel_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺇﺫﻥ ﻟﻬﺬﺍ ﻛﻼﺑﻲ ﻣﺘﻬﻴﺠﺔ ﻫﻜﺬﺍ.,ﺇﺫﻥ ﻟﻬﺬﺍ ﻛﻼﺑﻲ ﻣﺘﻬﻴﺠﺔ ﻫﻜﺬﺍ.,gamedata/localizationstring_eng.paloc
hamondbeindel_bossencounter_stand_boss_00_00023,hamondbeindel,Hamondbeindel,Scene Dialogue,Hamondbeindel,Hamondbeindel,,Hamondbeindel,hamondbeindel_bossencounter_stand,bossencounter_stand,hamondbeindel_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻼﺑﻲ ﺗﻌﺮﻑ ﺭﺍﺋﺤﺘﻚ، ﻟﻦ ﺗﺒﺘﻌﺪ.,ﻛﻼﺑﻲ ﺗﻌﺮﻑ ﺭﺍﺋﺤﺘﻚ، ﻟﻦ ﺗﺒﺘﻌﺪ.,gamedata/localizationstring_eng.paloc
