key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hawkstoneruins_0100_npc_00_00002,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺮﺣﺒﺎ!؟ ﻫﻞ ﻣﻦ ﺃﺣﺪ ﻫﻨﺎﻙ؟ ﺇﻥ ﺍﺳﺘﻤﺮ ﻫﺬﺍ، ﺍﻵﻻﺕ ﺳﺘـ... ﺃﺭﺟﻮﻛﻢ، ﺃﺣﺪ!,ﻣﺮﺣﺒﺎ!؟ ﻫﻞ ﻣﻦ ﺃﺣﺪ ﻫﻨﺎﻙ؟ ﺇﻥ ﺍﺳﺘﻤﺮ ﻫﺬﺍ، ﺍﻵﻻﺕ ﺳﺘـ... ﺃﺭﺟﻮﻛﻢ، ﺃﺣﺪ!,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00003,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ! ﻻ ﻳﺰﺍﻝ ﺧﻄﻴﺮﺍ ﻫﻨﺎ! ﺍﻧﺨﻔﺾ ﺑﺴﺮﻋﺔ!,ﺃﻧﺖ! ﻻ ﻳﺰﺍﻝ ﺧﻄﻴﺮﺍ ﻫﻨﺎ! ﺍﻧﺨﻔﺾ ﺑﺴﺮﻋﺔ!,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00004,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻝ-ﺍﻟﺤﻮﺫﻱ... ﺃﻳﻦ ﺫﻫﺐ ﺍﻟﺤﻮﺫﻱ؟,ﺍﻝ-ﺍﻟﺤﻮﺫﻱ... ﺃﻳﻦ ﺫﻫﺐ ﺍﻟﺤﻮﺫﻱ؟,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00005,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻠﻌﻨﺔ! ﻫﻞ ﻧﺤﻦ ﺑﺄﻣﺎﻥ ﺍﻵﻥ، ﺃﻡ ﺳﻴﻨﻘﺾ ﻋﻠﻴﻨﺎ ﺍﻟﻤﺰﻳﺪ ﻣﻨﻬﻢ؟,ﺍﻟﻠﻌﻨﺔ! ﻫﻞ ﻧﺤﻦ ﺑﺄﻣﺎﻥ ﺍﻵﻥ، ﺃﻡ ﺳﻴﻨﻘﺾ ﻋﻠﻴﻨﺎ ﺍﻟﻤﺰﻳﺪ ﻣﻨﻬﻢ؟,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00006,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﻳﻤﻜﻨﻨﺎ ﺍﻻﺧﺘﺒﺎﺀ ﻫﻨﺎ ﺇﻟﻰ ﺍﻷﺑﺪ. ﻋﻠﻴﻨﺎ ﺍﻟﺘﺤﺮﻙ.,ﻻ ﻳﻤﻜﻨﻨﺎ ﺍﻻﺧﺘﺒﺎﺀ ﻫﻨﺎ ﺇﻟﻰ ﺍﻷﺑﺪ. ﻋﻠﻴﻨﺎ ﺍﻟﺘﺤﺮﻙ.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00007,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃ-ﺃﺭﻳﺪ ﺃﻥ ﺃﻃﻠﺐ ﻣﻨﻚ ﻣﻌﺮﻭﻓﺎ. ﺧﺬ ﻫﺬﻩ ﺍﻟﻌﺮﺑﺔ ﻭﺍﻗﺘﺪﻧﻲ ﺇﻟﻰ ﺃﻃﻼﻝ ﻫﻮﻛﺴﺘﻮﻥ.,ﺃ-ﺃﺭﻳﺪ ﺃﻥ ﺃﻃﻠﺐ ﻣﻨﻚ ﻣﻌﺮﻭﻓﺎ. ﺧﺬ ﻫﺬﻩ ﺍﻟﻌﺮﺑﺔ ﻭﺍﻗﺘﺪﻧﻲ ﺇﻟﻰ ﺃﻃﻼﻝ ﻫﻮﻛﺴﺘﻮﻥ.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00008,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃ-ﺃﻧﺎ ﻟﺴﺖ ﺑﺎﺭﻋﺎ ﻓﻲ ﺍﻹﻣﺴﺎﻙ ﺑﺎﻟﻠﺠﺎﻡ، ﻟﺬﺍ ﺳﺄﺿﻄﺮ ﺇﻟﻰ ﺍﻻﻋﺘﻤﺎﺩ ﻋﻠﻴﻚ.,ﺃ-ﺃﻧﺎ ﻟﺴﺖ ﺑﺎﺭﻋﺎ ﻓﻲ ﺍﻹﻣﺴﺎﻙ ﺑﺎﻟﻠﺠﺎﻡ، ﻟﺬﺍ ﺳﺄﺿﻄﺮ ﺇﻟﻰ ﺍﻻﻋﺘﻤﺎﺩ ﻋﻠﻴﻚ.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00009,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻨﺴﺮﻉ ﻗﺒﻞ ﺃﻥ ﻳﻌﻮﺩﻭﺍ!,ﻟﻨﺴﺮﻉ ﻗﺒﻞ ﺃﻥ ﻳﻌﻮﺩﻭﺍ!,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00010,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﺪﺕ ﺃﻛﻮﻥ ﻃﻌﺎﻣﺎ ﻟﻠﻐﺮﺑﺎﻥ.,ﻛﺪﺕ ﺃﻛﻮﻥ ﻃﻌﺎﻣﺎ ﻟﻠﻐﺮﺑﺎﻥ.,gamedata/localizationstring_eng.paloc
hawkstoneruins_0100_npc_00_00011,hawkstoneruins,Hawkstoneruins,Scene Dialogue,Hawkstoneruins,Hawkstoneruins,0100,Hawkstoneruins 0100,hawkstoneruins_0100,0100,hawkstoneruins_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﺯﻟﺖ ﺃﺷﻌﺮ ﺑﻘﻠﺒﻲ ﻳﺨﻔﻖ ﺑﻘﻮﺓ.,ﻣﺎ ﺯﻟﺖ ﺃﺷﻌﺮ ﺑﻘﻠﺒﻲ ﻳﺨﻔﻖ ﺑﻘﻮﺓ.,gamedata/localizationstring_eng.paloc
