key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hernand_legendaryhunter_0010_npc_00_00006,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺼﻴﺎﺩ ﺍﻷﺳﻄﻮﺭﻱ؟ ﻟﻢ ﺃﺳﻤﻊ ﻫﺬﺍ ﺍﻻﺳﻢ ﻣﻨﺬ ﻋﺼﻮﺭ.,ﺍﻟﺼﻴﺎﺩ ﺍﻷﺳﻄﻮﺭﻱ؟ ﻟﻢ ﺃﺳﻤﻊ ﻫﺬﺍ ﺍﻻﺳﻢ ﻣﻨﺬ ﻋﺼﻮﺭ.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00007,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺎﻟﻄﺒﻊ، ﻗﻀﻴﺖ ﻣﻮﺍﺳﻢ ﺃﺗﻌﻘﺐ ﺫﻟﻚ ﺍﻟﺮﺟﻞ.,ﺑﺎﻟﻄﺒﻊ، ﻗﻀﻴﺖ ﻣﻮﺍﺳﻢ ﺃﺗﻌﻘﺐ ﺫﻟﻚ ﺍﻟﺮﺟﻞ.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00008,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﺪﻱ ﻓﻜﺮﺓ ﺟﻴﺪﺓ ﻋﻦ ﻣﻜﺎﻧﻪ...,ﻟﺪﻱ ﻓﻜﺮﺓ ﺟﻴﺪﺓ ﻋﻦ ﻣﻜﺎﻧﻪ...,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00009,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ ﻟﻢ ﺃﺛﻖ ﺑﻚ؟ ﺃﻟﻢ ﺃﻟﺘﻘﻚ ﻟﻠﺘﻮ؟,ﻟﻜﻦ ﻟﻢ ﺃﺛﻖ ﺑﻚ؟ ﺃﻟﻢ ﺃﻟﺘﻘﻚ ﻟﻠﺘﻮ؟,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00012,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺟﻠﺪ ﺍﻟﺪﺏ ﻫﻮ ﺍﻷﻓﻀﻞ ﻋﻠﻰ ﺍﻹﻃﻼﻕ.,ﺟﻠﺪ ﺍﻟﺪﺏ ﻫﻮ ﺍﻷﻓﻀﻞ ﻋﻠﻰ ﺍﻹﻃﻼﻕ.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0010_npc_00_00013,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0010,Hernand 0010,hernand_legendaryhunter_0010,legendaryhunter_0010,hernand_legendaryhunter_0010_npc_00,legendaryhunter_0010_npc_00,legendaryhunter_0010,legendaryhunter,0010,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺯﺩﺍﺩ ﺍﻟﻄﻠﺐ ﻋﻠﻰ ﺟﻠﻮﺩ ﺍﻟﻔﺮﺍﺀ ﺍﻟﻄﻮﻳﻞ ﻣﺆﺧﺮﺍ.,ﺍﺯﺩﺍﺩ ﺍﻟﻄﻠﺐ ﻋﻠﻰ ﺟﻠﻮﺩ ﺍﻟﻔﺮﺍﺀ ﺍﻟﻄﻮﻳﻞ ﻣﺆﺧﺮﺍ.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00011,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻠﻌﻨﺔ، ﺍﻟﺸﺮﺍﺏ ﻧﻔﺪ.,ﺍﻟﻠﻌﻨﺔ، ﺍﻟﺸﺮﺍﺏ ﻧﻔﺪ.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00012,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺻﻴﺎﺩ ﺃﺳﻄﻮﺭﻱ؟ ﻟﻘﺪ ﻧﺎﺩﻭﻧﻲ ﺑﺬﻟﻚ... ﺫﺍﺕ ﻳﻮﻡ.,ﺻﻴﺎﺩ ﺃﺳﻄﻮﺭﻱ؟ ﻟﻘﺪ ﻧﺎﺩﻭﻧﻲ ﺑﺬﻟﻚ... ﺫﺍﺕ ﻳﻮﻡ.,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00013,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ ﻣﻨﺬ ﺗﺸﺎﺑﻜﺖ ﻣﻊ ﺫﻟﻚ ﺍﻟﻮﻏﺪ ﻭﺷﻌﺮﺕ ﺑﻤﺪﻯ ﻋﺠﺰﻱ ﺍﻟﺤﻘﻴﻘﻲ،,ﻟﻜﻦ ﻣﻨﺬ ﺗﺸﺎﺑﻜﺖ ﻣﻊ ﺫﻟﻚ ﺍﻟﻮﻏﺪ ﻭﺷﻌﺮﺕ ﺑﻤﺪﻯ ﻋﺠﺰﻱ ﺍﻟﺤﻘﻴﻘﻲ،,gamedata/localizationstring_eng.paloc
hernand_legendaryhunter_0020_npc_00_00014,hernand,Hernand,Scene Dialogue,Hernand,Hernand,0020,Hernand 0020,hernand_legendaryhunter_0020,legendaryhunter_0020,hernand_legendaryhunter_0020_npc_00,legendaryhunter_0020_npc_00,legendaryhunter_0020,legendaryhunter,0020,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﻣﺮ ﻋﻠﻲ ﻳﻮﻡ ﺩﻭﻥ ﺷﺮﺍﺏ.,ﻣﺎ ﻣﺮ ﻋﻠﻲ ﻳﻮﻡ ﺩﻭﻥ ﺷﺮﺍﺏ.,gamedata/localizationstring_eng.paloc
