key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hexe_sanctuary_3000_npc_00_00020,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,20,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻠﻴﻒ.,ﻛﻠﻴﻒ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00021,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﺒﺮﻧﺎ ﻣﺎﺫﺍ ﻧﻔﻌﻞ.,ﺃﺧﺒﺮﻧﺎ ﻣﺎﺫﺍ ﻧﻔﻌﻞ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00067,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,67,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻢ ﻋﻠﻴﻨﺎ ﺃﻥ ﻧﻨﺘﻈﺮ ﻫﻨﺎ ﻭﻧﺤﻦ ﻧﺘﻠﻤﺲ ﺃﻛﻴﺎﺳﻨﺎ؟,ﻛﻢ ﻋﻠﻴﻨﺎ ﺃﻥ ﻧﻨﺘﻈﺮ ﻫﻨﺎ ﻭﻧﺤﻦ ﻧﺘﻠﻤﺲ ﺃﻛﻴﺎﺳﻨﺎ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00068,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,68,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻌﺘﻘﺪ ﺃﻧﻪ ﻗﺪ ﺍﺧﺘﻄﻒ؟,ﺗﻌﺘﻘﺪ ﺃﻧﻪ ﻗﺪ ﺍﺧﺘﻄﻒ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00069,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,69,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﺍﻟﺬﻱ ﻳﺄﺧﺬ ﻛﻞ ﻫﺬﺍ ﺍﻟﻮﻗﺖ ﺍﻟﻠﻌﻴﻦ؟,ﻣﺎ ﺍﻟﺬﻱ ﻳﺄﺧﺬ ﻛﻞ ﻫﺬﺍ ﺍﻟﻮﻗﺖ ﺍﻟﻠﻌﻴﻦ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00077,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,77,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺴﻨﺎ، ﺑﻨﺪﻗﻴﺔ ﺍﻟﺤﺼﻦ. ﻟﻨﻔﺠﺮ ﻫﺬﺍ ﺍﻟﺸﻲﺀ ﺍﻟﻠﻌﻴﻦ.,ﺣﺴﻨﺎ، ﺑﻨﺪﻗﻴﺔ ﺍﻟﺤﺼﻦ. ﻟﻨﻔﺠﺮ ﻫﺬﺍ ﺍﻟﺸﻲﺀ ﺍﻟﻠﻌﻴﻦ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00087,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,87,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺎ ﻫﺬﺍ، ﻟﻢ ﻓﻌﻠﺖ ﺫﻟﻚ؟,ﻳﺎ ﻫﺬﺍ، ﻟﻢ ﻓﻌﻠﺖ ﺫﻟﻚ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00092,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,92,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺎﻥ ﺍﻟﻮﻗﺖ ﺃﺧﻴﺮﺍ، ***!,ﺣﺎﻥ ﺍﻟﻮﻗﺖ ﺃﺧﻴﺮﺍ، ***!,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00093,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,93,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺎ؟ ﻣﻦ ﻫﻮ ﻛﺎﻟﻴﺒﻮﺭﻥ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟,ﻫﺎ؟ ﻣﻦ ﻫﻮ ﻛﺎﻟﻴﺒﻮﺭﻥ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00094,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,94,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﺍﻟﺬﻱ ﻳﺤﺪﺙ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟,ﻣﺎ ﺍﻟﺬﻱ ﻳﺤﺪﺙ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_00_00103,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_00,sanctuary_3000_npc_00,sanctuary_3000,sanctuary,3000,103,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﻟﻰ ﺃﻳﻦ ﺫﻫﺐ ﻛﻠﻴﻒ ﺍﻵﻥ؟,ﺇﻟﻰ ﺃﻳﻦ ﺫﻫﺐ ﻛﻠﻴﻒ ﺍﻵﻥ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00005,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,5,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻛﻠﻴﻒ!,ﻛﻠﻴﻒ!,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00012,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,12,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺑﺤﻖ ﺍﻷﺳﻼﻑ ﺍﻟﻠﻌﻴﻨﻴﻦ!,ﺑﺤﻖ ﺍﻷﺳﻼﻑ ﺍﻟﻠﻌﻴﻨﻴﻦ!,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00013,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,13,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﻳﻦ ﻛﻨﺖ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟ ﻛﺪﺕ ﺃﻣﻮﺕ ﻣﻦ ﺍﻟﺸﻴﺨﻮﺧﺔ ﻫﻨﺎ.,ﺃﻳﻦ ﻛﻨﺖ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟ ﻛﺪﺕ ﺃﻣﻮﺕ ﻣﻦ ﺍﻟﺸﻴﺨﻮﺧﺔ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00022,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,22,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻣﺎ ﻳﻘﺼﺪﻩ ﻫﺬﺍ ﺍﻷﺣﻤﻖ ﻫﻮ،,ﻣﺎ ﻳﻘﺼﺪﻩ ﻫﺬﺍ ﺍﻷﺣﻤﻖ ﻫﻮ،,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00023,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,23,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺍﻟﺘﺮﺩﺩ ﻟﻴﺲ ﻣﻦ ﻃﺒﻌﻨﺎ.,ﺍﻟﺘﺮﺩﺩ ﻟﻴﺲ ﻣﻦ ﻃﺒﻌﻨﺎ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00024,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,24,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺳﺄﺳﺎﻋﺪ ﺑﻤﺎ ﺃﺳﺘﻄﻴﻊ.,ﺳﺄﺳﺎﻋﺪ ﺑﻤﺎ ﺃﺳﺘﻄﻴﻊ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00025,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,25,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺣﺴﻨﺎ! ﺇﺫﻥ...,ﺣﺴﻨﺎ! ﺇﺫﻥ...,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00026,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,26,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻣﻦ ﺳﺄﻃﻌﻦ ﺃﻭﻻ؟,ﻣﻦ ﺳﺄﻃﻌﻦ ﺃﻭﻻ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00057,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,57,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻛﻠﻴﻒ! ﻭﻣﺎﺫﺍ ﻋﻨﻲ؟,ﻛﻠﻴﻒ! ﻭﻣﺎﺫﺍ ﻋﻨﻲ؟,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00058,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,58,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﻧﺎ ﻋﻠﻰ ﻭﺷﻚ ﺍﻟﻮﺻﻮﻝ! ﺃﺭﺍﻛﻢ ﻳﺎ ﺭﻓﺎﻕ.,ﺃﻧﺎ ﻋﻠﻰ ﻭﺷﻚ ﺍﻟﻮﺻﻮﻝ! ﺃﺭﺍﻛﻢ ﻳﺎ ﺭﻓﺎﻕ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00059,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,59,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺍﻋﺘﺒﺮ ﺍﻷﻣﺮ ﻣﻨﺘﻬﻴﺎ.,ﺍﻋﺘﺒﺮ ﺍﻷﻣﺮ ﻣﻨﺘﻬﻴﺎ.,gamedata/localizationstring_eng.paloc
hexe_sanctuary_3000_npc_01_00061,hexe,Hexe,Scene Dialogue,Hexe,Hexe,3000,Hexe 3000,hexe_sanctuary_3000,sanctuary_3000,hexe_sanctuary_3000_npc_01,sanctuary_3000_npc_01,sanctuary_3000,sanctuary,3000,61,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺳﺄﺗﺤﺪﺙ ﻣﻊ ﺗﻮﺭﺳﺘﺎﻳﻦ.,ﺳﺄﺗﺤﺪﺙ ﻣﻊ ﺗﻮﺭﺳﺘﺎﻳﻦ.,gamedata/localizationstring_eng.paloc
