key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hexemarie_9000_boss_00_00016,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﺎ ﻟﻠﺨﻴﺒﺔ. ﻟﻢ ﺗﺴﺘﻄﻊ ﺣﺘﻰ ﺗﻨﻔﻴﺬ ﺃﻣﺮ ﺃﻣﻚ.,ﻳﺎ ﻟﻠﺨﻴﺒﺔ. ﻟﻢ ﺗﺴﺘﻄﻊ ﺣﺘﻰ ﺗﻨﻔﻴﺬ ﺃﻣﺮ ﺃﻣﻚ.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00017,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻢ ﺃﺗﻮﻗﻊ ﻣﻨﻚ ﺍﻟﻜﺜﻴﺮ ﺃﺻﻼ.,ﻟﻢ ﺃﺗﻮﻗﻊ ﻣﻨﻚ ﺍﻟﻜﺜﻴﺮ ﺃﺻﻼ.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00018,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻘﺪ ﺃﺩﻳﺖ ﻏﺮﺿﻚ. ﻭﺍﻵﻥ، ﺳﺄﺳﺘﻌﻴﺪ ﻗﻮﺗﻲ.,ﻟﻘﺪ ﺃﺩﻳﺖ ﻏﺮﺿﻚ. ﻭﺍﻵﻥ، ﺳﺄﺳﺘﻌﻴﺪ ﻗﻮﺗﻲ.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00019,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻏﺮﺍﻳﻤﺎﻧﺰ...,ﻏﺮﺍﻳﻤﺎﻧﺰ...,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00023,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻢ... ﺛﻤﻴﻦ.,ﻛﻢ... ﺛﻤﻴﻦ.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00024,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,24,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻤﺎﻣﺎ ﻛﻄﻔﻠﻲ، ﺃﻧﺖ ﺑﺤﺎﺟﺔ ﺇﻟﻰ... ﺗﺮﻭﻳﺾ!,ﺗﻤﺎﻣﺎ ﻛﻄﻔﻠﻲ، ﺃﻧﺖ ﺑﺤﺎﺟﺔ ﺇﻟﻰ... ﺗﺮﻭﻳﺾ!,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00025,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00026,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻤﺎ ﻇﻨﻨﺖ... ﺃﻧﺖ ﺍﻟﻜﺎﺋﻦ ﺍﻟﻤﺘﻔﻮﻕ ﺑﻔﺎﺭﻕ ﺷﺎﺳﻊ.,ﻛﻤﺎ ﻇﻨﻨﺖ... ﺃﻧﺖ ﺍﻟﻜﺎﺋﻦ ﺍﻟﻤﺘﻔﻮﻕ ﺑﻔﺎﺭﻕ ﺷﺎﺳﻊ.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00027,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻏﺮﺍﻳﻤﺎﻧﺰ، ﺃﻻ ﺗﺼﺒﺢ ﺍﺑﻨﻲ؟,ﻏﺮﺍﻳﻤﺎﻧﺰ، ﺃﻻ ﺗﺼﺒﺢ ﺍﺑﻨﻲ؟,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00028,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00029,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,29,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺷﻌﺮ ﺑﻪ، ﺗﻮﻕ ﺑﺪﺍﺧﻠﻚ!,ﺃﺷﻌﺮ ﺑﻪ، ﺗﻮﻕ ﺑﺪﺍﺧﻠﻚ!,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00030,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﻮﺓ ﺃﻧﺴﺐ ﻟﻲ...,ﻗﻮﺓ ﺃﻧﺴﺐ ﻟﻲ...,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00031,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,31,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,...ﻣﺨﺘﻠﻒ ﻋﻦ ﻃﻔﻠﻲ...,...ﻣﺨﺘﻠﻒ ﻋﻦ ﻃﻔﻠﻲ...,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00032,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,32,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,...ﻗﻮﺓ ﺻﺮﻓﺔ!,...ﻗﻮﺓ ﺻﺮﻓﺔ!,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00034,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻟﺨﻮﻑ ﻛﺎﻥ ﻳﺴﻜﻦ ﻗﻠﺐ ﺫﻟﻚ ﺍﻟﻄﻔﻞ ﺩﺍﺋﻤﺎ.,ﺍﻟﺨﻮﻑ ﻛﺎﻥ ﻳﺴﻜﻦ ﻗﻠﺐ ﺫﻟﻚ ﺍﻟﻄﻔﻞ ﺩﺍﺋﻤﺎ.,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00035,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,35,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻜﻨﻚ ﻣﺨﺘﻠﻒ. ﺃﻧﺖ ﺍﻟﻜﻤﺎﻝ ﺑﻌﻴﻨﻪ!,ﻟﻜﻨﻚ ﻣﺨﺘﻠﻒ. ﺃﻧﺖ ﺍﻟﻜﻤﺎﻝ ﺑﻌﻴﻨﻪ!,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00036,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
hexemarie_9000_boss_00_00037,hexemarie,Hexemarie,Scene Dialogue,Hexemarie,Hexemarie,9000,Hexemarie 9000,hexemarie_9000,9000,hexemarie_9000_boss_00,9000_boss_00,9000,9000,,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
