key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hotballoon_1100_npc_00_00000,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻴﻒ ﺍﻧﺘﻬﻰ ﺑﻲ ﺍﻷﻣﺮ ﺇﻟﻰ ﺷﺮﻳﻚ ﻋﻤﻞ ﺑﻬﺬﺍ ﺍﻟﻐﺒﺎﺀ؟,ﻛﻴﻒ ﺍﻧﺘﻬﻰ ﺑﻲ ﺍﻷﻣﺮ ﺇﻟﻰ ﺷﺮﻳﻚ ﻋﻤﻞ ﺑﻬﺬﺍ ﺍﻟﻐﺒﺎﺀ؟,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00001,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﺮﺑﺎﺕ ﺍﻟﺴﺤﺎﺏ ﺍﻟﻤﺴﺮﻭﻗﺔ ﻏﺎﻟﺒﺎ ﺑﻴﻌﺖ ﺑﺎﻟﻔﻌﻞ!,ﻋﺮﺑﺎﺕ ﺍﻟﺴﺤﺎﺏ ﺍﻟﻤﺴﺮﻭﻗﺔ ﻏﺎﻟﺒﺎ ﺑﻴﻌﺖ ﺑﺎﻟﻔﻌﻞ!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00002,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺣﻤﻖ ﻟﻌﻴﻦ! ﻫﻞ ﻛﺎﻥ ﺻﻌﺒﺎ ﻫﻜﺬﺍ ﻣﺎ ﻃﻠﺒﺘﻪ ﻣﻨﻚ؟,ﺃﺣﻤﻖ ﻟﻌﻴﻦ! ﻫﻞ ﻛﺎﻥ ﺻﻌﺒﺎ ﻫﻜﺬﺍ ﻣﺎ ﻃﻠﺒﺘﻪ ﻣﻨﻚ؟,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00003,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﻣﺎ ﻛﺎﻥ ﻋﻠﻴﻜﻢ ﻓﻌﻠﻪ ﻫﻮ ﺣﺮﺍﺳﺔ ﻋﺮﺑﺎﺕ ﺍﻟﺴﺤﺎﺏ ﺍﻟﻤﻜﺘﻤﻠﺔ!,ﻛﻞ ﻣﺎ ﻛﺎﻥ ﻋﻠﻴﻜﻢ ﻓﻌﻠﻪ ﻫﻮ ﺣﺮﺍﺳﺔ ﻋﺮﺑﺎﺕ ﺍﻟﺴﺤﺎﺏ ﺍﻟﻤﻜﺘﻤﻠﺔ!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00004,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺤﻦ؟ ﻣﺎﺫﺍ ﺗﻘﺼﺪ ﻧﺤﻦ؟,ﻧﺤﻦ؟ ﻣﺎﺫﺍ ﺗﻘﺼﺪ ﻧﺤﻦ؟,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00005,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﺍﻷﺣﻤﻖ ﻛﺎﺩ ﻳﻘﺘﻞ ﺍﻟﺒﻠﺪﺓ ﺑﺄﻛﻤﻠﻬﺎ ﻷﻧﻪ ﻧﺎﻡ ﺃﺛﻨﺎﺀ ﺍﻟﺤﺮﺍﺳﺔ.,ﻫﺬﺍ ﺍﻷﺣﻤﻖ ﻛﺎﺩ ﻳﻘﺘﻞ ﺍﻟﺒﻠﺪﺓ ﺑﺄﻛﻤﻠﻬﺎ ﻷﻧﻪ ﻧﺎﻡ ﺃﺛﻨﺎﺀ ﺍﻟﺤﺮﺍﺳﺔ.,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00006,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺣﻘﺎ ﺍﻵﻥ؟!,ﺃﺣﻘﺎ ﺍﻵﻥ؟!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00007,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻨﺎ ﻧﺤﺘﺎﺝ ﺗﻠﻚ ﺍﻟﻌﺮﺑﺎﺕ ﺍﻟﺴﺤﺎﺑﻴﺔ ﻟﻤﺮﺍﻗﺒﺔ ﺍﻟﻐﺰﺍﺓ!,ﻛﻨﺎ ﻧﺤﺘﺎﺝ ﺗﻠﻚ ﺍﻟﻌﺮﺑﺎﺕ ﺍﻟﺴﺤﺎﺑﻴﺔ ﻟﻤﺮﺍﻗﺒﺔ ﺍﻟﻐﺰﺍﺓ!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00008,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ ﻟﻮ ﺟﺎﺀ ﻗﻄﺎﻉ ﻃﺮﻳﻖ... ﺃﻭ ﺷﻴﻄﺎﻥ ﺍﻟﻘﺼﺐ ﻳﺘﺴﻠﻞ؟,ﻣﺎﺫﺍ ﻟﻮ ﺟﺎﺀ ﻗﻄﺎﻉ ﻃﺮﻳﻖ... ﺃﻭ ﺷﻴﻄﺎﻥ ﺍﻟﻘﺼﺐ ﻳﺘﺴﻠﻞ؟,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00009,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﻛﻠﻪ ﺑﺴﺒﺒﻚ ﻳﺎ ﺃﺣﻤﻖ.,ﻫﺬﺍ ﻛﻠﻪ ﺑﺴﺒﺒﻚ ﻳﺎ ﺃﺣﻤﻖ.,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00010,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ، ﺗﻨﻮﻱ ﻣﻘﺎﺗﻠﺘﻬﻢ؟ ﺃﻧﺖ ﻻ ﺗﺴﺘﻄﻴﻊ ﺣﺘﻰ ﻣﻘﺎﻭﻣﺔ ﺍﻟﻨﻮﻡ.,ﻣﺎﺫﺍ، ﺗﻨﻮﻱ ﻣﻘﺎﺗﻠﺘﻬﻢ؟ ﺃﻧﺖ ﻻ ﺗﺴﺘﻄﻴﻊ ﺣﺘﻰ ﻣﻘﺎﻭﻣﺔ ﺍﻟﻨﻮﻡ.,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_00_00011,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_00,1100_npc_00,1100,1100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_01_00012,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_01,1100_npc_01,1100,1100,,12,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻍ-ﻏﺮﺍﻳﻤﺎﻧﺰ، ﺃﻫﺬﺍ ﺃﻧﺖ؟ ﺃﺭﺟﻮﻙ، ﺳﺎﻋﺪﻧﺎ!,ﻍ-ﻏﺮﺍﻳﻤﺎﻧﺰ، ﺃﻫﺬﺍ ﺃﻧﺖ؟ ﺃﺭﺟﻮﻙ، ﺳﺎﻋﺪﻧﺎ!,gamedata/localizationstring_eng.paloc
hotballoon_1100_npc_01_00013,hotballoon,Hotballoon,Scene Dialogue,Hotballoon,Hotballoon,1100,Hotballoon 1100,hotballoon_1100,1100,hotballoon_1100_npc_01,1100_npc_01,1100,1100,,13,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻫﺬﺍ ﻣﺒﺎﻟﻎ ﻓﻴﻪ!,ﻫﺬﺍ ﻣﺒﺎﻟﻎ ﻓﻴﻪ!,gamedata/localizationstring_eng.paloc
