key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
hyenamolar_valley_3200_npc_00_00000,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3200,Hyenamolar 3200,hyenamolar_valley_3200,valley_3200,hyenamolar_valley_3200_npc_00,valley_3200_npc_00,valley_3200,valley,3200,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ ﻟﻮ ﻧﺰﻝ ﺇﻟﻰ ﺍﻟﻘﺮﻳﺔ...؟,ﻣﺎﺫﺍ ﻟﻮ ﻧﺰﻝ ﺇﻟﻰ ﺍﻟﻘﺮﻳﺔ...؟,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3200_npc_00_00001,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3200,Hyenamolar 3200,hyenamolar_valley_3200,valley_3200,hyenamolar_valley_3200_npc_00,valley_3200_npc_00,valley_3200,valley,3200,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺎ ﺇﻟﻬﻲ... ﺿﺒﻊ ﻳﺪﻋﻰ ﺳﻜﻴﻔﺎﻟﺪ ﻇﻞ ﻳﻬﺎﺟﻢ ﺍﻟﻤﺴﺎﻓﺮﻳﻦ.,ﻳﺎ ﺇﻟﻬﻲ... ﺿﺒﻊ ﻳﺪﻋﻰ ﺳﻜﻴﻔﺎﻟﺪ ﻇﻞ ﻳﻬﺎﺟﻢ ﺍﻟﻤﺴﺎﻓﺮﻳﻦ.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3200_npc_00_00002,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3200,Hyenamolar 3200,hyenamolar_valley_3200,valley_3200,hyenamolar_valley_3200_npc_00,valley_3200_npc_00,valley_3200,valley,3200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺠﺐ ﺃﻥ ﻧﺨﺒﺮ ﺍﻟﺼﻐﺎﺭ ﺃﻻ ﻳﺘﺠﻮﻟﻮﺍ ﺧﺎﺭﺝ ﺍﻟﻘﺮﻳﺔ...,ﻳﺠﺐ ﺃﻥ ﻧﺨﺒﺮ ﺍﻟﺼﻐﺎﺭ ﺃﻻ ﻳﺘﺠﻮﻟﻮﺍ ﺧﺎﺭﺝ ﺍﻟﻘﺮﻳﺔ...,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00001,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺫﻟﻚ ﺍﻟﻮﺣﺶ ﺍﻟﻠﻌﻴﻦ ﻟﻢ ﻳﺸﺎﻫﺪ ﻣﻨﺬ ﻣﺪﺓ...,ﺫﻟﻚ ﺍﻟﻮﺣﺶ ﺍﻟﻠﻌﻴﻦ ﻟﻢ ﻳﺸﺎﻫﺪ ﻣﻨﺬ ﻣﺪﺓ...,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00010,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻗﺘﻠﺖ ﺫﻟﻚ ﺍﻟﻮﺣﺶ ﺣﻘﺎ؟,ﻫﻞ ﻗﺘﻠﺖ ﺫﻟﻚ ﺍﻟﻮﺣﺶ ﺣﻘﺎ؟,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00011,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻮ ﺍﻟﺴﺒﺐ ﻓﻲ ﺣﺒﺲ ﺍﻟﺠﻤﻴﻊ ﻓﻲ ﺍﻟﺒﻠﺪﺓ.,ﻫﻮ ﺍﻟﺴﺒﺐ ﻓﻲ ﺣﺒﺲ ﺍﻟﺠﻤﻴﻊ ﻓﻲ ﺍﻟﺒﻠﺪﺓ.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00012,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ، ﻳﻤﻜﻦ ﺃﻥ ﺗﻌﻮﺩ ﺣﻴﺎﺗﻨﺎ ﺇﻟﻰ ﻃﺒﻴﻌﺘﻬﺎ.,ﺃﺧﻴﺮﺍ، ﻳﻤﻜﻦ ﺃﻥ ﺗﻌﻮﺩ ﺣﻴﺎﺗﻨﺎ ﺇﻟﻰ ﻃﺒﻴﻌﺘﻬﺎ.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00013,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﻘﻮﻃﻪ ﻳﻌﻨﻲ ﺃﻧﻪ ﻳﻤﻜﻨﻨﺎ ﺃﺧﻴﺮﺍ ﻧﻘﻞ ﺑﻀﺎﺋﻌﻨﺎ ﺑﺤﺮﻳﺔ.,ﺳﻘﻮﻃﻪ ﻳﻌﻨﻲ ﺃﻧﻪ ﻳﻤﻜﻨﻨﺎ ﺃﺧﻴﺮﺍ ﻧﻘﻞ ﺑﻀﺎﺋﻌﻨﺎ ﺑﺤﺮﻳﺔ.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00014,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﻟﻴﻚ ﺍﻟﻤﻜﺎﻓﺄﺓ ﻛﻤﺎ ﻭﻋﺪﺗﻚ.,ﺇﻟﻴﻚ ﺍﻟﻤﻜﺎﻓﺄﺓ ﻛﻤﺎ ﻭﻋﺪﺗﻚ.,gamedata/localizationstring_eng.paloc
hyenamolar_valley_3300_npc_00_00021,hyenamolar,Hyenamolar,Scene Dialogue,Hyenamolar,Hyenamolar,3300,Hyenamolar 3300,hyenamolar_valley_3300,valley_3300,hyenamolar_valley_3300_npc_00,valley_3300_npc_00,valley_3300,valley,3300,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﻤﻌﺖ ﺃﻧﻚ ﻣﻦ ﺗﺨﻠﺺ ﻣﻦ ﺳﻜﻴﻔﺎﻟﺪ.,ﺳﻤﻌﺖ ﺃﻧﻚ ﻣﻦ ﺗﺨﻠﺺ ﻣﻦ ﺳﻜﻴﻔﺎﻟﺪ.,gamedata/localizationstring_eng.paloc
