key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
imp_banquet_boss_morufort_0240_npc_00_00008,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00009,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻢ ﻳﺒﻖ ﻟﺪﻱ ﺷﻲﺀ! ﺃﺭﺟﻮﻙ ﺃﺑﻖ ﻋﻠﻰ ﺣﻴﺎﺗﻲ!,ﻟﻢ ﻳﺒﻖ ﻟﺪﻱ ﺷﻲﺀ! ﺃﺭﺟﻮﻙ ﺃﺑﻖ ﻋﻠﻰ ﺣﻴﺎﺗﻲ!,gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00010,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻇﻨﻨﺘﻚ ﺃﺣﺪ ﺗﻠﻚ ﺍﻟﻐﻮﺑﻠﻨﺎﺕ...,ﻇﻨﻨﺘﻚ ﺃﺣﺪ ﺗﻠﻚ ﺍﻟﻐﻮﺑﻠﻨﺎﺕ...,gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00011,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﺪﺕ ﺗﻘﺘﻠﻨﻲ ﻣﻦ ﺍﻟﺮﻋﺐ.,ﻛﺪﺕ ﺗﻘﺘﻠﻨﻲ ﻣﻦ ﺍﻟﺮﻋﺐ.,gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00012,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻨﺖ ﻓﻲ ﻃﺮﻳﻘﻲ ﻟﻤﺴﺎﺭ ﺍﻟﺘﺠﺎﺭﺓ،<br/>ﺣﻴﻦ ﻇﻬﺮ ﺍﻟﻐﻮﺑﻠﻦ، ﺣﻄﻤﻮﺍ ﻋﺮﺑﺘﻲ، ﻭﺳﺮﻗﻮﺍ ﻛﻞ ﺷﻲﺀ!,"ﻛﻨﺖ ﻓﻲ ﻃﺮﻳﻘﻲ ﻟﻤﺴﺎﺭ ﺍﻟﺘﺠﺎﺭﺓ،
ﺣﻴﻦ ﻇﻬﺮ ﺍﻟﻐﻮﺑﻠﻦ، ﺣﻄﻤﻮﺍ ﻋﺮﺑﺘﻲ، ﻭﺳﺮﻗﻮﺍ ﻛﻞ ﺷﻲﺀ!",gamedata/localizationstring_eng.paloc
imp_banquet_boss_morufort_0240_npc_00_00013,imp,Imp,Scene Dialogue,Imp,Imp,0240,Imp 0240,imp_banquet_boss_morufort_0240,banquet_boss_morufort_0240,imp_banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240_npc_00,banquet_boss_morufort_0240,banquet,boss_morufort_0240,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺧﺴﺮﺕ ﻛﻞ ﺷﻲﺀ... ﻣﺎﺫﺍ ﻳﻔﺘﺮﺽ ﺑﻲ ﺃﻥ ﺃﻓﻌﻞ...؟,ﺧﺴﺮﺕ ﻛﻞ ﺷﻲﺀ... ﻣﺎﺫﺍ ﻳﻔﺘﺮﺽ ﺑﻲ ﺃﻥ ﺃﻓﻌﻞ...؟,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00005,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻳﻬﺎ ﺍﻷﻭﻏﺎﺩ!,ﺃﻳﻬﺎ ﺍﻷﻭﻏﺎﺩ!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00006,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺘﻢ ﺟﻤﻴﻌﺎ *** ﺃﻣﻮﺍﺕ!,ﺃﻧﺘﻢ ﺟﻤﻴﻌﺎ *** ﺃﻣﻮﺍﺕ!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00007,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺖ ﻳﺎ ﻭﺿﻴﻊ!,ﻣﺖ ﻳﺎ ﻭﺿﻴﻊ!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00008,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻃﻬﺮ ﻣﺆﺧﺮﺗﻲ!,ﻃﻬﺮ ﻣﺆﺧﺮﺗﻲ!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00009,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻑ!,ﺃﻑ!,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00010,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00011,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:Kliff,ﻫﺎﻩ؟ {Staticinfo:Knowledge:Knowledge_Kliff#Kliff}؟,ﻫﺎﻩ؟ {Staticinfo:Knowledge:Knowledge_Kliff#Kliff}؟,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00012,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺳﺮﻭﻙ ﺃﻧﺖ ﺃﻳﻀﺎ؟,ﺃﺳﺮﻭﻙ ﺃﻧﺖ ﺃﻳﻀﺎ؟,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00013,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻨﺖ ﺳﺄﻣﻮﺕ ﻟﻮﻻﻙ.,ﻛﻨﺖ ﺳﺄﻣﻮﺕ ﻟﻮﻻﻙ.,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00014,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00015,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻴﻒ ﻳﺠﺮﺅﻭﻥ. ﺃﻭﻟﺌﻚ ﺍﻷﻭﻏﺎﺩ.,ﻛﻴﻒ ﻳﺠﺮﺅﻭﻥ. ﺃﻭﻟﺌﻚ ﺍﻷﻭﻏﺎﺩ.,gamedata/localizationstring_eng.paloc
imp_banquet_0400_npc_00_00016,imp,Imp,Scene Dialogue,Imp,Imp,0400,Imp 0400,imp_banquet_0400,banquet_0400,imp_banquet_0400_npc_00,banquet_0400_npc_00,banquet_0400,banquet,0400,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻠﻬﻢ ﺟﻨﻮﺍ ﻫﻨﺎ.,ﻛﻠﻬﻢ ﺟﻨﻮﺍ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
