key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
intro_0100_boss_00_00020,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,Knowledge:Knowledge_Kliff:Kliff,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}! ﻭﻗﺖ ﻃﻮﻳﻞ. ﺍﺷﺘﻘﺖ ﻟﻲ؟,{Staticinfo:Knowledge:Knowledge_Kliff#Kliff}! ﻭﻗﺖ ﻃﻮﻳﻞ. ﺍﺷﺘﻘﺖ ﻟﻲ؟,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00021,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,21,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ! ﺗﻮﻗﻌﺖ ﺃﻓﻀﻞ ﻣﻦ ﺫﻟﻚ...,ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ! ﺗﻮﻗﻌﺖ ﺃﻓﻀﻞ ﻣﻦ ﺫﻟﻚ...,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00022,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,22,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,"ﻣﻦ ﺍﻟﻠﻲ ﻳﺴﻤﻮﻥ ﺃﻧﻔﺴﻬﻢ ""ﺣﻤﺎﺓ ﺑﺎﻳﻠﻮﻥ"".","ﻣﻦ ﺍﻟﻠﻲ ﻳﺴﻤﻮﻥ ﺃﻧﻔﺴﻬﻢ ""ﺣﻤﺎﺓ ﺑﺎﻳﻠﻮﻥ"".",gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00023,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,23,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﻔﻨﺔ ﺣﻘﺮﺍﺀ ﻳﺮﻣﻮﻥ ﺣﻴﺎﺗﻬﻢ.,ﺣﻔﻨﺔ ﺣﻘﺮﺍﺀ ﻳﺮﻣﻮﻥ ﺣﻴﺎﺗﻬﻢ.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00024,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,24,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﺬﻩ ﻫﻲ ﺭﻭﺡ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,ﻫﺬﻩ ﻫﻲ ﺭﻭﺡ ﺍﻟﻐﺮﺍﻳﻤﺎﻧﺰ!,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00025,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻜﻦ ﺍﻧﻈﺮ ﺣﻮﻟﻚ. ﺃﻧﺎ ﻣﻦ ﻳﻘﺮﺭ ﻣﺼﻴﺮﻙ.,ﻟﻜﻦ ﺍﻧﻈﺮ ﺣﻮﻟﻚ. ﺃﻧﺎ ﻣﻦ ﻳﻘﺮﺭ ﻣﺼﻴﺮﻙ.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00026,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻣﺴﻜﻮﻩ.,ﺃﻣﺴﻜﻮﻩ.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00028,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻧﻈﺮ ﺇﻟﻰ ﻧﻔﺴﻚ. ﻛﻞ ﻫﺬﺍ ﺍﻟﺠﻬﺪ... ﻭﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ ﺗﻨﺤﻨﻲ ﻟﻲ ﻋﻠﻰ ﺃﻱ ﺣﺎﻝ.,ﺍﻧﻈﺮ ﺇﻟﻰ ﻧﻔﺴﻚ. ﻛﻞ ﻫﺬﺍ ﺍﻟﺠﻬﺪ... ﻭﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ ﺗﻨﺤﻨﻲ ﻟﻲ ﻋﻠﻰ ﺃﻱ ﺣﺎﻝ.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00030,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺎ ﻫﺬﺍ؟ ﺃﻟﺪﻳﻚ ﻣﺎ ﺗﻘﻮﻟﻪ؟,ﻣﺎ ﻫﺬﺍ؟ ﺃﻟﺪﻳﻚ ﻣﺎ ﺗﻘﻮﻟﻪ؟,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00032,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,32,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺗﻔﻀﻞ ﺇﺫﺍ. ﻗﻞ ﻣﺎ ﻋﻨﺪﻙ... ﺃﻧﺎ ﻛﻠﻲ ﺁﺫﺍﻥ.,ﺗﻔﻀﻞ ﺇﺫﺍ. ﻗﻞ ﻣﺎ ﻋﻨﺪﻙ... ﺃﻧﺎ ﻛﻠﻲ ﺁﺫﺍﻥ.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00033,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,33,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﺴﻨﺎ... ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﻓﺮﺻﺘﻚ.,ﺣﺴﻨﺎ... ﻛﺎﻧﺖ ﻟﺪﻳﻚ ﻓﺮﺻﺘﻚ.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00034,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,34,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻴﻜﻦ ﻫﺬﺍ ﺩﺭﺳﺎ ﻟﻜﻢ ﻳﺎ ﺟﺮﺍﺀ ﺍﻟﺬﺋﺎﺏ.,ﻟﻴﻜﻦ ﻫﺬﺍ ﺩﺭﺳﺎ ﻟﻜﻢ ﻳﺎ ﺟﺮﺍﺀ ﺍﻟﺬﺋﺎﺏ.,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00036,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,36,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺎﺕ ﺑﺎﻟﻔﻌﻞ؟,ﻣﺎﺕ ﺑﺎﻟﻔﻌﻞ؟,gamedata/localizationstring_eng.paloc
intro_0100_boss_00_00037,intro,Intro,Cutscene,Intro,Intro,0100,Intro 0100,intro_0100,0100,intro_0100_boss_00,0100_boss_00,0100,0100,,37,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
