key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
invitemarius_00_npc_00_00004,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻫﺪﺃ ﻗﻠﻴﻼ.,ﺍﻫﺪﺃ ﻗﻠﻴﻼ.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00005,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺣﺪﺙ ﺫﻟﻚ ﻓﻌﻼ؟,ﻫﻞ ﺣﺪﺙ ﺫﻟﻚ ﻓﻌﻼ؟,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00006,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻳﻤﻜﻨﻚ ﻣﻌﺮﻓﺔ ﺃﻱ ﺷﻲﺀ ﺁﺧﺮ؟,ﻫﻞ ﻳﻤﻜﻨﻚ ﻣﻌﺮﻓﺔ ﺃﻱ ﺷﻲﺀ ﺁﺧﺮ؟,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00007,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺄﺣﻀﺮ ﻟﻚ ﻣﺰﻳﺪﺍ ﻣﻦ ﺍﻟﻄﻌﺎﻡ ﺇﻥ ﻓﻌﻠﺖ.,ﺳﺄﺣﻀﺮ ﻟﻚ ﻣﺰﻳﺪﺍ ﻣﻦ ﺍﻟﻄﻌﺎﻡ ﺇﻥ ﻓﻌﻠﺖ.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00008,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺲ ﺃﻱ ﺭﺟﻞ ﻳﻤﻜﻨﻪ ﺃﻥ ﻳﻨﺘﻬﻲ ﻓﻲ ﻫﺎﻟﺴﻴﻮﺱ...,ﻟﻴﺲ ﺃﻱ ﺭﺟﻞ ﻳﻤﻜﻨﻪ ﺃﻥ ﻳﻨﺘﻬﻲ ﻓﻲ ﻫﺎﻟﺴﻴﻮﺱ...,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00009,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﻳﺨﻄﺮ ﺑﺒﺎﻟﻲ ﻟﻬﺬﻩ ﺍﻟﻤﻬﻤﺔ ﺇﻻ ﻣﺸﺎﻏﺐ ﻭﺍﺣﺪ.,ﻻ ﻳﺨﻄﺮ ﺑﺒﺎﻟﻲ ﻟﻬﺬﻩ ﺍﻟﻤﻬﻤﺔ ﺇﻻ ﻣﺸﺎﻏﺐ ﻭﺍﺣﺪ.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00010,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:ﻛﻠﻴﻒ,ﻻ ﺑﺪ ﺃﻥ ﺃﺧﺒﺮ {Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}.,ﻻ ﺑﺪ ﺃﻥ ﺃﺧﺒﺮ {Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00011,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺷﺮﺏ ﻭﻋﺮﺍﻙ... ﺃﺭﺍﻫﻦ ﺃﻧﻪ ﺫﻟﻚ ﺍﻷﺣﻤﻖ ﺳﺮﻳﻊ ﺍﻟﻐﻀﺐ.,ﺷﺮﺏ ﻭﻋﺮﺍﻙ... ﺃﺭﺍﻫﻦ ﺃﻧﻪ ﺫﻟﻚ ﺍﻷﺣﻤﻖ ﺳﺮﻳﻊ ﺍﻟﻐﻀﺐ.,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00012,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:ﻛﻠﻴﻒ,{Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}!,{Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}!,gamedata/localizationstring_eng.paloc
invitemarius_00_npc_00_00013,invitemarius,Invitemarius,Scene Dialogue,Invitemarius,Invitemarius,00,Invitemarius 00,invitemarius_00,00,invitemarius_00_npc_00,00_npc_00,00,00,,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Yann:loveable rabblerouser,ﺃﻇﻨﻨﻲ ﻭﺟﺪﺕ {StaticInfo:Knowledge:Knowledge_Yann#loveable rabblerouser} ﺍﻟﺬﻱ ﻧﺒﺤﺚ ﻋﻨﻪ.,ﺃﻇﻨﻨﻲ ﻭﺟﺪﺕ {StaticInfo:Knowledge:Knowledge_Yann#loveable rabblerouser} ﺍﻟﺬﻱ ﻧﺒﺤﺚ ﻋﻨﻪ.,gamedata/localizationstring_eng.paloc
