key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
jewel_hunter_0100_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0100,Jewel 0100,jewel_hunter_0100,hunter_0100,jewel_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺤﻤﻞ ﻛﻤﻴﺔ ﻻ ﺑﺄﺱ ﺑﻬﺎ ﻣﻦ ﺍﻟﻤﺠﻮﻫﺮﺍﺕ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﺗﺤﻤﻞ ﻛﻤﻴﺔ ﻻ ﺑﺄﺱ ﺑﻬﺎ ﻣﻦ ﺍﻟﻤﺠﻮﻫﺮﺍﺕ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
jewel_hunter_0100_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0100,Jewel 0100,jewel_hunter_0100,hunter_0100,jewel_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻌﺎﻝ ﻫﻨﺎ ﻳﺎ ﺣﺒﻴﺒﻲ!,ﺗﻌﺎﻝ ﻫﻨﺎ ﻳﺎ ﺣﺒﻴﺒﻲ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0100_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0100,Jewel 0100,jewel_hunter_0100,hunter_0100,jewel_hunter_0100_npc_00,hunter_0100_npc_00,hunter_0100,hunter,0100,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻴﻮﻡ ﻫﻮ ﺍﻟﻴﻮﻡ ﺍﻟﺬﻱ ﺃﺻﺒﺢ ﻓﻴﻪ ﻏﻨﻴﺎ!,ﺍﻟﻴﻮﻡ ﻫﻮ ﺍﻟﻴﻮﻡ ﺍﻟﺬﻱ ﺃﺻﺒﺢ ﻓﻴﻪ ﻏﻨﻴﺎ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0200_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0200,Jewel 0200,jewel_hunter_0200,hunter_0200,jewel_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻢ ﻣﻦ ﺍﻷﺷﻴﺎﺀ ﺍﻟﻼﻣﻌﺔ! ﺍﻵﻥ... ﻻ ﺗﺘﺮﺩﺩ ﻓﻲ ﺍﻟﻤﻮﺕ!,ﻛﻢ ﻣﻦ ﺍﻷﺷﻴﺎﺀ ﺍﻟﻼﻣﻌﺔ! ﺍﻵﻥ... ﻻ ﺗﺘﺮﺩﺩ ﻓﻲ ﺍﻟﻤﻮﺕ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0200_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0200,Jewel 0200,jewel_hunter_0200,hunter_0200,jewel_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0200_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0200,Jewel 0200,jewel_hunter_0200,hunter_0200,jewel_hunter_0200_npc_00,hunter_0200_npc_00,hunter_0200,hunter,0200,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻴﺎ، ﺗﻘﺒﻞ ﻣﺼﻴﺮﻙ!,ﻫﻴﺎ، ﺗﻘﺒﻞ ﻣﺼﻴﺮﻙ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0201_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0201,Jewel 0201,jewel_hunter_0201,hunter_0201,jewel_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺤﻆ ﺣﻠﻴﻔﻲ ﺍﻟﻴﻮﻡ!,ﺍﻟﺤﻆ ﺣﻠﻴﻔﻲ ﺍﻟﻴﻮﻡ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0201_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0201,Jewel 0201,jewel_hunter_0201,hunter_0201,jewel_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻨﺰ ﻣﻦ ﺍﻟﺠﻮﺍﻫﺮ!,ﻛﻨﺰ ﻣﻦ ﺍﻟﺠﻮﺍﻫﺮ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0201_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0201,Jewel 0201,jewel_hunter_0201,hunter_0201,jewel_hunter_0201_npc_00,hunter_0201_npc_00,hunter_0201,hunter,0201,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ! ﺳﺄﺻﺒﺢ ﻏﻨﻴﺎ!,ﺃﺧﻴﺮﺍ! ﺳﺄﺻﺒﺢ ﻏﻨﻴﺎ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0300_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0300,Jewel 0300,jewel_hunter_0300,hunter_0300,jewel_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻗﺘﻠﻬﻢ ﺃﻭﻻ، ﺛﻢ ﺍﺧﻄﻒ ﺍﻟﺠﻮﺍﻫﺮ.,ﺍﻗﺘﻠﻬﻢ ﺃﻭﻻ، ﺛﻢ ﺍﺧﻄﻒ ﺍﻟﺠﻮﺍﻫﺮ.,gamedata/localizationstring_eng.paloc
jewel_hunter_0300_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0300,Jewel 0300,jewel_hunter_0300,hunter_0300,jewel_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0300_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0300,Jewel 0300,jewel_hunter_0300,hunter_0300,jewel_hunter_0300_npc_00,hunter_0300_npc_00,hunter_0300,hunter,0300,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﻧﻪ ﻳﻮﻡ ﺭﺍﺋﻊ ﺣﻘﺎ!,ﺇﻧﻪ ﻳﻮﻡ ﺭﺍﺋﻊ ﺣﻘﺎ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0400_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0400,Jewel 0400,jewel_hunter_0400,hunter_0400,jewel_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺣﻀﺮﺕ ﻟﻲ ﺟﻮﺍﻫﺮ ﺑﺈﺭﺍﺩﺗﻚ ﺍﻟﺤﺮﺓ!,ﺃﺣﻀﺮﺕ ﻟﻲ ﺟﻮﺍﻫﺮ ﺑﺈﺭﺍﺩﺗﻚ ﺍﻟﺤﺮﺓ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0400_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0400,Jewel 0400,jewel_hunter_0400,hunter_0400,jewel_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﻒ ﻣﻜﺎﻧﻚ!,ﻗﻒ ﻣﻜﺎﻧﻚ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0400_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0400,Jewel 0400,jewel_hunter_0400,hunter_0400,jewel_hunter_0400_npc_00,hunter_0400_npc_00,hunter_0400,hunter,0400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻴﻮﻡ ﻳﻮﻣﻲ ﺍﻟﻤﺤﻈﻮﻅ!,ﺍﻟﻴﻮﻡ ﻳﻮﻣﻲ ﺍﻟﻤﺤﻈﻮﻅ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0500_npc_00_00000,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0500,Jewel 0500,jewel_hunter_0500,hunter_0500,jewel_hunter_0500_npc_00,hunter_0500_npc_00,hunter_0500,hunter,0500,0,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻢ ﻣﻦ ﺍﻷﺣﺠﺎﺭ ﺍﻟﻜﺮﻳﻤﺔ ﺍﻟﻼﻣﻌﺔ!,ﻛﻢ ﻣﻦ ﺍﻷﺣﺠﺎﺭ ﺍﻟﻜﺮﻳﻤﺔ ﺍﻟﻼﻣﻌﺔ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0500_npc_00_00001,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0500,Jewel 0500,jewel_hunter_0500,hunter_0500,jewel_hunter_0500_npc_00,hunter_0500_npc_00,hunter_0500,hunter,0500,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺤﻆ ﻓﻲ ﺻﻔﻲ!,ﺍﻟﺤﻆ ﻓﻲ ﺻﻔﻲ!,gamedata/localizationstring_eng.paloc
jewel_hunter_0500_npc_00_00002,jewel,Jewel,Scene Dialogue,Jewel,Jewel,0500,Jewel 0500,jewel_hunter_0500,hunter_0500,jewel_hunter_0500_npc_00,hunter_0500_npc_00,hunter_0500,hunter,0500,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺧﻴﺮﺍ ﺃﺳﺘﻄﻴﻊ ﺃﻥ ﺃﺟﻨﻲ ﺛﺮﻭﺓ ﺣﻘﻴﻘﻴﺔ!,ﺃﺧﻴﺮﺍ ﺃﺳﺘﻄﻴﻊ ﺃﻥ ﺃﺟﻨﻲ ﺛﺮﻭﺓ ﺣﻘﻴﻘﻴﺔ!,gamedata/localizationstring_eng.paloc
