key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
karzul_bossencounter_stand_boss_00_00007,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﻴﻘﺮﻉ ﺟﺮﺳﻲ ﻣﺮﺓ ﺃﺧﺮﻯ!,ﺳﻴﻘﺮﻉ ﺟﺮﺳﻲ ﻣﺮﺓ ﺃﺧﺮﻯ!,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_boss_00_00008,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,8,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻋﺪﻳﻢ ﺍﻟﻘﻴﻤﺔ... ﻋﺪﻳﻢ ﺍﻟﻘﻴﻤﺔ ﺑﺼﻮﺭﺓ ﻣﻀﺤﻜﺔ!,ﻋﺪﻳﻢ ﺍﻟﻘﻴﻤﺔ... ﻋﺪﻳﻢ ﺍﻟﻘﻴﻤﺔ ﺑﺼﻮﺭﺓ ﻣﻀﺤﻜﺔ!,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_boss_00_00009,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,9,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺼﻴﺮﻙ ﻧﻘﺶ ﻓﻲ ﺍﻟﺤﺠﺮ ﻟﺤﻈﺔ ﻋﺒﺮﺗﻨﻲ.,ﻣﺼﻴﺮﻙ ﻧﻘﺶ ﻓﻲ ﺍﻟﺤﺠﺮ ﻟﺤﻈﺔ ﻋﺒﺮﺗﻨﻲ.,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_boss_00_00011,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,11,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﺮﻳﺒﺎ، ﺳﻴﺒﻠﻎ ﻧﺎﻗﻮﺱ ﺍﻟﻤﻮﺕ ﻣﺴﺎﻣﻌﻚ.,ﻗﺮﻳﺒﺎ، ﺳﻴﺒﻠﻎ ﻧﺎﻗﻮﺱ ﺍﻟﻤﻮﺕ ﻣﺴﺎﻣﻌﻚ.,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_boss_00_00012,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,12,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻗﻼﺋﻞ ﻫﻢ ﻣﻦ ﻳﻌﻴﺸﻮﻥ ﻟﻴﺴﻤﻌﻮﺍ ﻣﺠﺪ ﺭﻧﻴﻦ ﺟﺮﺳﻲ.,ﻗﻼﺋﻞ ﻫﻢ ﻣﻦ ﻳﻌﻴﺸﻮﻥ ﻟﻴﺴﻤﻌﻮﺍ ﻣﺠﺪ ﺭﻧﻴﻦ ﺟﺮﺳﻲ.,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_boss_00_00013,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,13,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﺸﻴﺖ ﺑﻘﺪﻣﻴﻚ ﺇﻟﻰ ﻗﺒﺮﻙ.,ﻣﺸﻴﺖ ﺑﻘﺪﻣﻴﻚ ﺇﻟﻰ ﻗﺒﺮﻙ.,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_boss_00_00014,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺭﻯ ﺃﻧﻚ ﺗﺘﻮﻕ ﻟﻠﻬﺮﺏ.,ﺃﺭﻯ ﺃﻧﻚ ﺗﺘﻮﻕ ﻟﻠﻬﺮﺏ.,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_globalgametrack_00015,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,15,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﺎ ﺇﻥ ﻳﻘﺮﻉ ﺟﺮﺳﻲ ﺣﺘﻰ ﻳﺤﺴﻢ ﻣﺼﻴﺮﻙ.,ﻣﺎ ﺇﻥ ﻳﻘﺮﻉ ﺟﺮﺳﻲ ﺣﺘﻰ ﻳﺤﺴﻢ ﻣﺼﻴﺮﻙ.,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_globalgametrack_00016,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,16,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﻦ ﻳﺘﺤﺪﻯ ﺍﻟﺴﻬﺎﻡ ﺍﻟﻤﻌﻤﻴﺔ ﺳﻴﺴﻘﻂ!,ﻣﻦ ﻳﺘﺤﺪﻯ ﺍﻟﺴﻬﺎﻡ ﺍﻟﻤﻌﻤﻴﺔ ﺳﻴﺴﻘﻂ!,gamedata/localizationstring_eng.paloc
karzul_bossencounter_stand_globalgametrack_00017,karzul,Karzul,Scene Dialogue,Karzul,Karzul,,Karzul,karzul_bossencounter_stand,bossencounter_stand,karzul_bossencounter_stand_globalgametrack,bossencounter_stand_globalgametrack,bossencounter_stand,bossencounter,stand,17,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﺳﻤﻊ ﺍﻟﺠﺮﺱ، ﺇﻧﻪ ﻳﻘﺮﻉ ﻟﻤﻮﺗﻚ!,ﺍﺳﻤﻊ ﺍﻟﺠﺮﺱ، ﺇﻧﻪ ﻳﻘﺮﻉ ﻟﻤﻮﺗﻚ!,gamedata/localizationstring_eng.paloc
