key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
knightcatfish_9000_boss_00_00002,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﺭﻛﻊ!,ﺍﺭﻛﻊ!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00003,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻋﺒﺪ ﺇﻟﻪ ﺍﻟﺒﺤﺮ ﺃﻭ ﻣﺖ!,ﺍﻋﺒﺪ ﺇﻟﻪ ﺍﻟﺒﺤﺮ ﺃﻭ ﻣﺖ!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00004,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻫﺰﻣﺖ ﻋﻠﻰ ﻳﺪ ﻓﺎﻥ... ﻫﺬﺍ ﻻ ﻳﻤﻜﻦ...,ﻫﺰﻣﺖ ﻋﻠﻰ ﻳﺪ ﻓﺎﻥ... ﻫﺬﺍ ﻻ ﻳﻤﻜﻦ...,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00005,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
knightcatfish_9000_boss_00_00006,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ ﺗﻈﻦ ﺃﻥ ﺍﻷﻣﺮ ﺍﻧﺘﻬﻰ!,ﻻ ﺗﻈﻦ ﺃﻥ ﺍﻷﻣﺮ ﺍﻧﺘﻬﻰ!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00008,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻳﻬﺎ ﺍﻟﺠﺮﺫ ﺍﻟﺒﺮﻱ ﺍﻷﺣﻤﻖ!,ﺃﻳﻬﺎ ﺍﻟﺠﺮﺫ ﺍﻟﺒﺮﻱ ﺍﻷﺣﻤﻖ!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00009,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻟﺪﻳﻚ ﺟﺮﺃﺓ ﻟﺘﺮﻓﻊ ﺳﻴﻔﻚ ﻓﻲ ﻭﺟﻪ ﺇﻟﻪ ﺍﻟﺒﺤﺮ ﺍﻟﻤﺒﺎﺭﻙ!,ﻟﺪﻳﻚ ﺟﺮﺃﺓ ﻟﺘﺮﻓﻊ ﺳﻴﻔﻚ ﻓﻲ ﻭﺟﻪ ﺇﻟﻪ ﺍﻟﺒﺤﺮ ﺍﻟﻤﺒﺎﺭﻙ!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00010,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺄﺭﻯ ﻋﻈﺎﻣﻚ ﻭﻟﺤﻤﻚ ﻣﺘﻨﺎﺛﺮﻳﻦ ﻓﻮﻕ ﺍﻷﻣﻮﺍﺝ!,ﺳﺄﺭﻯ ﻋﻈﺎﻣﻚ ﻭﻟﺤﻤﻚ ﻣﺘﻨﺎﺛﺮﻳﻦ ﻓﻮﻕ ﺍﻷﻣﻮﺍﺝ!,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00011,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,11,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺘﻜﻮﻥ ﻗﺮﺑﺎﻧﺎ ﺟﻴﺪﺍ...,ﺳﺘﻜﻮﻥ ﻗﺮﺑﺎﻧﺎ ﺟﻴﺪﺍ...,gamedata/localizationstring_eng.paloc
knightcatfish_9000_globalgametrack_00012,knightcatfish,Knightcatfish,Scene Dialogue,Knightcatfish,Knightcatfish,9000,Knightcatfish 9000,knightcatfish_9000,9000,knightcatfish_9000_globalgametrack,9000_globalgametrack,9000,9000,,12,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺇﻟﻰ ﺍﻟﻤﺤﻴﻂ ﺍﻟﻌﻈﻴﻢ!,ﺇﻟﻰ ﺍﻟﻤﺤﻴﻂ ﺍﻟﻌﻈﻴﻢ!,gamedata/localizationstring_eng.paloc
