key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
m10m04_encounter_9905_0080_npc_00_00009,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺒﺎ... ﻟﻘﺪ ﻧﺠﻮﻧﺎ ﺑﺄﺭﻭﺍﺣﻨﺎ ﺑﺎﻟﻜﺎﺩ!,ﺗﺒﺎ... ﻟﻘﺪ ﻧﺠﻮﻧﺎ ﺑﺄﺭﻭﺍﺣﻨﺎ ﺑﺎﻟﻜﺎﺩ!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00010,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﷲ ﻭﺣﺪﻩ ﻳﻌﻠﻢ، ﻟﻜﻦ ﺍﻟﻤﺮﻛﻴﺰ ﻟﻦ ﻳﺘﺮﻙ ﻫﺬﺍ ﺩﻭﻥ ﺭﺩ.,ﷲ ﻭﺣﺪﻩ ﻳﻌﻠﻢ، ﻟﻜﻦ ﺍﻟﻤﺮﻛﻴﺰ ﻟﻦ ﻳﺘﺮﻙ ﻫﺬﺍ ﺩﻭﻥ ﺭﺩ.,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00011,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﻣﺎ ﺍﺳﺘﻄﻌﻨﺎ ﻓﻌﻠﻪ ﻫﻮ ﺍﻟﺮﻛﺾ! ﻛﺎﻧﻮﺍ ﺃﻗﻮﻳﺎﺀ ﺟﺪﺍ!,ﻛﻞ ﻣﺎ ﺍﺳﺘﻄﻌﻨﺎ ﻓﻌﻠﻪ ﻫﻮ ﺍﻟﺮﻛﺾ! ﻛﺎﻧﻮﺍ ﺃﻗﻮﻳﺎﺀ ﺟﺪﺍ!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00012,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ ﻳﻔﻌﻠﻮﻥ ﻓﻲ ﺣﺼﻦ ﺍﻟﺴﻨﺪﺍﻥ؟,ﻣﺎﺫﺍ ﻳﻔﻌﻠﻮﻥ ﻓﻲ ﺣﺼﻦ ﺍﻟﺴﻨﺪﺍﻥ؟,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00013,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺒﺎ... ﻻ ﻳﻤﻜﻨﻨﺎ ﺗﻮﻗﻊ ﺗﻌﺰﻳﺰﺍﺕ!,ﺗﺒﺎ... ﻻ ﻳﻤﻜﻨﻨﺎ ﺗﻮﻗﻊ ﺗﻌﺰﻳﺰﺍﺕ!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_00_00014,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_00,encounter_9905_0080_npc_00,encounter_9905_0080,encounter,9905_0080,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻴﻒ ﻳﻔﺘﺮﺽ ﺑﻨﺎ ﻃﺮﺩﻫﻢ؟,ﻛﻴﻒ ﻳﻔﺘﺮﺽ ﺑﻨﺎ ﻃﺮﺩﻫﻢ؟,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00015,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,15,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ! ﺃﻥ ﺃﻫﺰﻡ ﺑﻬﺬﺍ ﺍﻟﺸﻜﻞ ﺍﻟﺴﺎﺣﻖ...,ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ! ﺃﻥ ﺃﻫﺰﻡ ﺑﻬﺬﺍ ﺍﻟﺸﻜﻞ ﺍﻟﺴﺎﺣﻖ...,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00016,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,16,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻫﻴﺎ! ﻫﻞ ﻣﺎ ﺯﺍﻝ ﻫﻨﺎﻙ ﻣﻦ ﻳﺘﻨﻔﺲ؟ ﻫﻞ ﺑﻘﻲ ﺃﺣﺪ ﻭﺍﻗﻔﺎ؟!,ﻫﻴﺎ! ﻫﻞ ﻣﺎ ﺯﺍﻝ ﻫﻨﺎﻙ ﻣﻦ ﻳﺘﻨﻔﺲ؟ ﻫﻞ ﺑﻘﻲ ﺃﺣﺪ ﻭﺍﻗﻔﺎ؟!,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00017,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,17,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺍﻟﻠﻌﻨﺔ... ﻫﻞ ﻫﺬﺍ ﻓﻌﻼ ﻛﻞ ﻣﻦ ﻧﺠﺎ؟,ﺍﻟﻠﻌﻨﺔ... ﻫﻞ ﻫﺬﺍ ﻓﻌﻼ ﻛﻞ ﻣﻦ ﻧﺠﺎ؟,gamedata/localizationstring_eng.paloc
m10m04_encounter_9905_0080_npc_01_00018,m10m04,M10m04,Scene Dialogue,M10m04,M10m04,9905,M10m04 9905,m10m04_encounter_9905_0080,encounter_9905_0080,m10m04_encounter_9905_0080_npc_01,encounter_9905_0080_npc_01,encounter_9905_0080,encounter,9905_0080,18,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻟﻨﻌﺪ ﺍﻵﻥ.,ﻟﻨﻌﺪ ﺍﻵﻥ.,gamedata/localizationstring_eng.paloc
