key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
marnidragon_boss_0010_npc_00_00001,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻞ ﻣﺎ ﺃﺷﻤﻪ ﺑﺎﺭﻭﺩ ﻟﻌﻴﻦ.,ﻛﻞ ﻣﺎ ﺃﺷﻤﻪ ﺑﺎﺭﻭﺩ ﻟﻌﻴﻦ.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00002,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻭﺍﻧﺘﺒﻪ ﻟﻤﺎ ﺗﻘﻮﻟﻪ.,ﻭﺍﻧﺘﺒﻪ ﻟﻤﺎ ﺗﻘﻮﻟﻪ.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00003,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺍﺗﺠﻬﻮﺍ ﻓﻲ ﺫﻟﻚ ﺍﻻﺗﺠﺎﻩ؟,ﻫﻞ ﺍﺗﺠﻬﻮﺍ ﻓﻲ ﺫﻟﻚ ﺍﻻﺗﺠﺎﻩ؟,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00004,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﺁﻩ!,ﺁﺁﻩ!,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00005,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎ ﻫﺬﺍ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟,ﻣﺎ ﻫﺬﺍ ﺑﺤﻖ ﺍﻟﺠﺤﻴﻢ؟,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00006,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺭﺍﺋﺤﺔ ﺍﻟﻜﺒﺮﻳﺖ ﻭﺍﻟﺠﺜﺚ... ﻻ ﺃﻃﻴﻘﻬﺎ.,ﺭﺍﺋﺤﺔ ﺍﻟﻜﺒﺮﻳﺖ ﻭﺍﻟﺠﺜﺚ... ﻻ ﺃﻃﻴﻘﻬﺎ.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00007,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻔﻘﺪ ﻫﻨﺎﻙ.,ﺗﻔﻘﺪ ﻫﻨﺎﻙ.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00008,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00009,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻨﻨﺒﺶ ﺍﻟﻐﻨﻴﻤﺔ ﻭﻧﺨﺮﺝ ﻣﻦ ﻫﻨﺎ.,ﻟﻨﻨﺒﺶ ﺍﻟﻐﻨﻴﻤﺔ ﻭﻧﺨﺮﺝ ﻣﻦ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
marnidragon_boss_0010_npc_00_00010,marnidragon,Marnidragon,Scene Dialogue,Marnidragon,Marnidragon,0010,Marnidragon 0010,marnidragon_boss_0010,boss_0010,marnidragon_boss_0010_npc_00,boss_0010_npc_00,boss_0010,boss,0010,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
