key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
mask_liberator_leader_8000_npc_00_00004,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﻥ ﻟﻢ ﻳﻔﻌﻞ ﺷﻲﺀ، ﻓﺎﻟﻘﺮﻳﺔ ﺳﺖ...,ﺇﻥ ﻟﻢ ﻳﻔﻌﻞ ﺷﻲﺀ، ﻓﺎﻟﻘﺮﻳﺔ ﺳﺖ...,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00005,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺨﻠﺼﻨﺎ ﺳﻮﻟﻮﻣﻴﻦ...,ﻟﻴﺨﻠﺼﻨﺎ ﺳﻮﻟﻮﻣﻴﻦ...,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00006,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00007,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00008,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00009,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﺭﺃﻳﺖ ﺭﺟﺎﻻ ﻳﺮﺗﺪﻭﻥ ﺃﻗﻨﻌﺔ ﻏﺮﻳﺒﺔ؟,ﻫﻞ ﺭﺃﻳﺖ ﺭﺟﺎﻻ ﻳﺮﺗﺪﻭﻥ ﺃﻗﻨﻌﺔ ﻏﺮﻳﺒﺔ؟,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00010,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺴﺒﺒﻬﻢ، ﻓﻘﺪﻧﺎ ﻣﻨﺎﺯﻟﻨﺎ... ﻃﺮﺩﻧﺎ ﺣﺘﻰ ﻫﻨﺎ.,ﺑﺴﺒﺒﻬﻢ، ﻓﻘﺪﻧﺎ ﻣﻨﺎﺯﻟﻨﺎ... ﻃﺮﺩﻧﺎ ﺣﺘﻰ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00011,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﻌﻢ... ﻇﻬﺮﻭﺍ ﻣﻦ ﺍﻟﻌﺪﻡ، ﺃﺧﺬﻭﺍ ﻛﻞ ﻣﺎ ﻟﺪﻳﻨﺎ...,ﻧﻌﻢ... ﻇﻬﺮﻭﺍ ﻣﻦ ﺍﻟﻌﺪﻡ، ﺃﺧﺬﻭﺍ ﻛﻞ ﻣﺎ ﻟﺪﻳﻨﺎ...,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00012,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,...ﺛﻢ ﺃﻋﻠﻨﻮﺍ ﺃﻧﻬﻢ ﺳﻴﺴﺘﺨﺪﻣﻮﻥ ﻗﺮﻳﺘﻨﺎ ﻛﻤﻮﻃﺊ ﻗﺪﻡ، ﻭﻃﺮﺩﻭﻧﺎ ﺟﻤﻴﻌﺎ.,...ﺛﻢ ﺃﻋﻠﻨﻮﺍ ﺃﻧﻬﻢ ﺳﻴﺴﺘﺨﺪﻣﻮﻥ ﻗﺮﻳﺘﻨﺎ ﻛﻤﻮﻃﺊ ﻗﺪﻡ، ﻭﻃﺮﺩﻭﻧﺎ ﺟﻤﻴﻌﺎ.,gamedata/localizationstring_eng.paloc
mask_liberator_leader_8000_npc_00_00013,mask,Mask,Scene Dialogue,Mask,Mask,8000,Mask 8000,mask_liberator_leader_8000,liberator_leader_8000,mask_liberator_leader_8000_npc_00,liberator_leader_8000_npc_00,liberator_leader_8000,liberator,leader_8000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﻳﻨﻮﻭﻥ ﺍﻟﻌﻴﺶ ﻫﻨﺎ ﺑﺴﻼﻡ.,ﻻ ﻳﻨﻮﻭﻥ ﺍﻟﻌﻴﺶ ﻫﻨﺎ ﺑﺴﻼﻡ.,gamedata/localizationstring_eng.paloc
