key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
maze_forest_kusunsla_2110_npc_00_00001,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﺫﻥ، ﺍﻟﺘﻘﻴﺖ ﺃﺧﻴﺮﺍ ﺑﺎﻟﺴﺎﺣﺮﺍﺕ ﺍﻟﺨﻤﺲ ﺟﻤﻴﻌﺎ.,ﺇﺫﻥ، ﺍﻟﺘﻘﻴﺖ ﺃﺧﻴﺮﺍ ﺑﺎﻟﺴﺎﺣﺮﺍﺕ ﺍﻟﺨﻤﺲ ﺟﻤﻴﻌﺎ.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00002,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﺴﻰ ﺃﻥ ﺗﻜﻮﻥ ﺍﻟﺮﺣﻠﺔ ﺍﻟﺘﻲ ﻗﻄﻌﺘﻬﺎ ﻟﻠﻮﺻﻮﻝ ﺇﻟﻴﻨﺎ،,ﻋﺴﻰ ﺃﻥ ﺗﻜﻮﻥ ﺍﻟﺮﺣﻠﺔ ﺍﻟﺘﻲ ﻗﻄﻌﺘﻬﺎ ﻟﻠﻮﺻﻮﻝ ﺇﻟﻴﻨﺎ،,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00003,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺒﻘﻰ ﻣﻌﻚ ﻟﺒﻘﻴﺔ ﺃﻳﺎﻣﻚ.,ﺗﺒﻘﻰ ﻣﻌﻚ ﻟﺒﻘﻴﺔ ﺃﻳﺎﻣﻚ.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00004,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻋﺪﺩﻧﺎ ﻟﻚ ﺷﻴﺌﺎ ﻣﻤﻴﺰﺍ.,ﺃﻋﺪﺩﻧﺎ ﻟﻚ ﺷﻴﺌﺎ ﻣﻤﻴﺰﺍ.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00005,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺲ ﺷﻴﺌﺎ ﻣﺒﻬﺮﺍ، ﻟﻜﻦ...,ﻟﻴﺲ ﺷﻴﺌﺎ ﻣﺒﻬﺮﺍ، ﻟﻜﻦ...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00006,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺘﺄﻛﺪ ﺃﻧﻪ ﻗﺪ ﻳﻌﻨﻲ ﺷﻴﺌﺎ ﻟﻚ.,ﻣﺘﺄﻛﺪ ﺃﻧﻪ ﻗﺪ ﻳﻌﻨﻲ ﺷﻴﺌﺎ ﻟﻚ.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_2110_npc_00_00007,maze,Maze,Scene Dialogue,Maze,Maze,2110,Maze 2110,maze_forest_kusunsla_2110,forest_kusunsla_2110,maze_forest_kusunsla_2110_npc_00,forest_kusunsla_2110_npc_00,forest_kusunsla_2110,forest,kusunsla_2110,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺄﻛﺪ ﺃﻥ ﺗﻌﺘﺰ ﺑﻪ.,ﺗﺄﻛﺪ ﺃﻥ ﺗﻌﺘﺰ ﺑﻪ.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00001,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,1,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﻮﻑ ﻳﻠﺘﻬﻤﻨﺎ ﺍﻟﻤﺴﺘﻨﻘﻊ ﺟﻤﻴﻌﺎ...,ﺳﻮﻑ ﻳﻠﺘﻬﻤﻨﺎ ﺍﻟﻤﺴﺘﻨﻘﻊ ﺟﻤﻴﻌﺎ...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00002,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,2,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻣﻮﺕ ﻣﺘﺴﺎﻭ ﻳﻨﺘﻈﺮ...,ﻣﻮﺕ ﻣﺘﺴﺎﻭ ﻳﻨﺘﻈﺮ...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00003,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,3,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻳﺄﺱ...,ﻳﺄﺱ...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00004,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,4,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻻ ﻣﻬﺮﺏ ﻟﻚ.,ﻻ ﻣﻬﺮﺏ ﻟﻚ.,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00005,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,5,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻋﻤﻖ ﻓﺄﻋﻤﻖ...,ﺃﻋﻤﻖ ﻓﺄﻋﻤﻖ...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_globalgametrack_00006,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400_globalgametrack,forest_kusunsla_5400,forest,kusunsla_5400,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺣﺘﻰ ﻳﺒﺘﻠﻊ ﻛﻞ ﺷﻲﺀ...,ﺣﺘﻰ ﻳﺒﺘﻠﻊ ﻛﻞ ﺷﻲﺀ...,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_5400_narration_00000,maze,Maze,Scene Dialogue,Maze,Maze,5400,Maze 5400,maze_forest_kusunsla_5400,forest_kusunsla_5400,maze_forest_kusunsla_5400_narration,forest_kusunsla_5400_narration,forest_kusunsla_5400,forest,kusunsla_5400,0,narration,,narration,Narration,Narration,Narration,,role,,ﻫﻞ ﻳﺰﺩﺍﺩ ﻃﻮﻝ ﺍﻟﺪﺭﺏ ﺍﻟﺬﻱ ﺗﻔﺮ ﻓﻴﻪ؟,ﻫﻞ ﻳﺰﺩﺍﺩ ﻃﻮﻝ ﺍﻟﺪﺭﺏ ﺍﻟﺬﻱ ﺗﻔﺮ ﻓﻴﻪ؟,gamedata/localizationstring_eng.paloc
maze_forest_kusunsla_8000_player_00001,maze,Maze,Scene Dialogue,Maze,Maze,8000,Maze 8000,maze_forest_kusunsla_8000,forest_kusunsla_8000,maze_forest_kusunsla_8000_player,forest_kusunsla_8000_player,forest_kusunsla_8000,forest,kusunsla_8000,1,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
