key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
meetalustain_0100_npc_00_00006,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻃﻠﺐ ﻳﺪ ﺍﻟﻌﻮﻥ ﻛﺜﻴﺮ...,ﻫﻞ ﻃﻠﺐ ﻳﺪ ﺍﻟﻌﻮﻥ ﻛﺜﻴﺮ...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00007,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻫﻨﺎﻙ... ﺃﻻ ﻳﻮﺟﺪ ﺃﺣﺪ ﻳﺒﺎﻟﻲ ﺑﻤﻌﺎﻧﺎﺗﻲ؟,ﻫﻞ ﻫﻨﺎﻙ... ﺃﻻ ﻳﻮﺟﺪ ﺃﺣﺪ ﻳﺒﺎﻟﻲ ﺑﻤﻌﺎﻧﺎﺗﻲ؟,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00008,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻌﺎﻟﻢ ﻣﻠﻲﺀ ﺑﺎﻷﻟﻢ.,ﺍﻟﻌﺎﻟﻢ ﻣﻠﻲﺀ ﺑﺎﻷﻟﻢ.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00009,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻌﺪﺗﻲ ﻓﺎﺭﻏﺔ ﻛﻘﻠﺒﻲ...,ﻣﻌﺪﺗﻲ ﻓﺎﺭﻏﺔ ﻛﻘﻠﺒﻲ...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00010,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻢ ﺍﻟﻌﺎﻟﻢ ﻣﻜﺎﻥ ﻣﻮﺣﺶ ﻫﻜﺬﺍ...,ﻟﻢ ﺍﻟﻌﺎﻟﻢ ﻣﻜﺎﻥ ﻣﻮﺣﺶ ﻫﻜﺬﺍ...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00011,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻢ ﺃﺻﺒﺢ ﺍﻟﻌﺎﻟﻢ ﺑﺎﺭﺩﺍ.,ﻛﻢ ﺃﺻﺒﺢ ﺍﻟﻌﺎﻟﻢ ﺑﺎﺭﺩﺍ.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00015,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﺣﺪ ﻳﻜﺘﺮﺙ ﺑﻤﺎ ﺃﻋﺎﻧﻴﻪ...,ﻻ ﺃﺣﺪ ﻳﻜﺘﺮﺙ ﺑﻤﺎ ﺃﻋﺎﻧﻴﻪ...,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00017,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻋﺘﺪﺕ ﻋﻠﻰ ﺍﻟﻼﻣﺒﺎﻻﺓ.,ﺍﻋﺘﺪﺕ ﻋﻠﻰ ﺍﻟﻼﻣﺒﺎﻻﺓ.,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00018,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
meetalustain_0100_npc_00_00019,meetalustain,Meetalustain,Scene Dialogue,Meetalustain,Meetalustain,0100,Meetalustain 0100,meetalustain_0100,0100,meetalustain_0100_npc_00,0100_npc_00,0100,0100,,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻳﺎ ﻟﻄﻔﻚ.,ﻳﺎ ﻟﻄﻔﻚ.,gamedata/localizationstring_eng.paloc
