key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
memory_abandonedhouse_0001_npc_00_00001,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻌﻨﺎﻛﺐ ﻻ ﺗﺴﺘﻄﻴﻊ ﺍﻟﻌﻴﺶ ﻣﻌﻨﺎ، ﻟﻤﺎﺫﺍ ﻻ ﺗﻌﻴﺪﻫﺎ ﻟﺒﻴﺘﻬﺎ؟,ﺍﻟﻌﻨﺎﻛﺐ ﻻ ﺗﺴﺘﻄﻴﻊ ﺍﻟﻌﻴﺶ ﻣﻌﻨﺎ، ﻟﻤﺎﺫﺍ ﻻ ﺗﻌﻴﺪﻫﺎ ﻟﺒﻴﺘﻬﺎ؟,gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00002,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺑﻲ، ﻟﻘﺪ ﺗﺒﻌﻮﻧﻲ ﺧﺎﺭﺝ ﺍﻟﻐﺎﺑﺔ!,ﺃﺑﻲ، ﻟﻘﺪ ﺗﺒﻌﻮﻧﻲ ﺧﺎﺭﺝ ﺍﻟﻐﺎﺑﺔ!,gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00003,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﺭﻳﺪ ﺫﻟﻚ! ﺇﻧﻬﻢ ﺃﺻﺪﻗﺎﺋﻲ!,ﻻ ﺃﺭﻳﺪ ﺫﻟﻚ! ﺇﻧﻬﻢ ﺃﺻﺪﻗﺎﺋﻲ!,gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00004,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﻳﻌﻨﻲ ﺃﻧﻬﻢ ﻳﺤﺒﻮﻧﻨﻲ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﻫﺬﺍ ﻳﻌﻨﻲ ﺃﻧﻬﻢ ﻳﺤﺒﻮﻧﻨﻲ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
memory_abandonedhouse_0001_npc_00_00005,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedhouse_0001,abandonedhouse_0001,memory_abandonedhouse_0001_npc_00,abandonedhouse_0001_npc_00,abandonedhouse_0001,abandonedhouse,0001,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻢ ﺃﺳﺘﻄﻊ ﺗﺮﻛﻬﻢ ﻫﻨﺎﻙ.,ﻟﻢ ﺃﺳﺘﻄﻊ ﺗﺮﻛﻬﻢ ﻫﻨﺎﻙ.,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00001,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺎﻟﺘﺄﻛﻴﺪ، ﺍﺑﻖ ﻣﻠﻘﻰ ﻫﻨﺎﻙ...,ﺑﺎﻟﺘﺄﻛﻴﺪ، ﺍﺑﻖ ﻣﻠﻘﻰ ﻫﻨﺎﻙ...,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00002,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺘﻰ ﺗﺘﻌﻔﻦ!,ﺣﺘﻰ ﺗﺘﻌﻔﻦ!,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00003,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﺬﺍ ﻳﻌﻨﻲ ﻓﻘﻂ ﺃﻥ ﺍﻵﺧﺮﻳﻦ ﺳﻴﻀﻄﺮﻭﻥ ﻟﺤﻔﺮ ﺣﺼﺘﻚ.,ﻫﺬﺍ ﻳﻌﻨﻲ ﻓﻘﻂ ﺃﻥ ﺍﻵﺧﺮﻳﻦ ﺳﻴﻀﻄﺮﻭﻥ ﻟﺤﻔﺮ ﺣﺼﺘﻚ.,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00004,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺮﻳﺪ ﺭﺅﻳﺔ ﺑﺎﻳﻠﻮﻥ ﻣﺠﺪﺩﺍ؟ ﺇﺫﻥ ﺗﺤﺮﻙ!,ﺗﺮﻳﺪ ﺭﺅﻳﺔ ﺑﺎﻳﻠﻮﻥ ﻣﺠﺪﺩﺍ؟ ﺇﺫﻥ ﺗﺤﺮﻙ!,gamedata/localizationstring_eng.paloc
memory_abandonedminevillage_0001_npc_00_00005,memory,Memory,Memory Scene,Memory,Memory,0001,Memory 0001,memory_abandonedminevillage_0001,abandonedminevillage_0001,memory_abandonedminevillage_0001_npc_00,abandonedminevillage_0001_npc_00,abandonedminevillage_0001,abandonedminevillage,0001,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃ-ﺃﺭﺟﻮﻙ... ﻓﻘﻂ ﻟﺤﻈﺔ ﺭﺍﺣﺔ. ﻱ-ﻳﺪﺍﻱ ﻭﻗﺪﻣﺎﻱ ﻣﺘﺠﻤﺪﺗﺎﻥ...,ﺃ-ﺃﺭﺟﻮﻙ... ﻓﻘﻂ ﻟﺤﻈﺔ ﺭﺍﺣﺔ. ﻱ-ﻳﺪﺍﻱ ﻭﻗﺪﻣﺎﻱ ﻣﺘﺠﻤﺪﺗﺎﻥ...,gamedata/localizationstring_eng.paloc
