key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
minegolem_9000_boss_00_00001,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_boss_00,9000_boss_00,9000,9000,,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺑﺮﻱ... ﻣﺎﺱ...,ﺑﺮﻱ... ﻣﺎﺱ...,gamedata/localizationstring_eng.paloc
minegolem_9000_boss_00_00002,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_boss_00,9000_boss_00,9000,9000,,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻣﺮﻙ... ﺃﻃﻴﻌﻪ...,ﺃﻣﺮﻙ... ﺃﻃﻴﻌﻪ...,gamedata/localizationstring_eng.paloc
minegolem_9000_boss_00_00003,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_boss_00,9000_boss_00,9000,9000,,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺩﺧﻴﻞ...,ﺩﺧﻴﻞ...,gamedata/localizationstring_eng.paloc
minegolem_9000_boss_00_00004,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_boss_00,9000_boss_00,9000,9000,,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻡ...ﺭ...,ﺃﻡ...ﺭ...,gamedata/localizationstring_eng.paloc
minegolem_9000_boss_00_00005,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_boss_00,9000_boss_00,9000,9000,,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻗﺘﻠﻨﻲ...,ﺍﻗﺘﻠﻨﻲ...,gamedata/localizationstring_eng.paloc
minegolem_9000_boss_00_00006,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_boss_00,9000_boss_00,9000,9000,,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﺧﻴﺮﺍ...,ﺃﺧﻴﺮﺍ...,gamedata/localizationstring_eng.paloc
minegolem_9000_globalgametrack_00008,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_globalgametrack,9000_globalgametrack,9000,9000,,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﺑﻴﺪﻭﺍ...,ﺃﺑﻴﺪﻭﺍ...,gamedata/localizationstring_eng.paloc
minegolem_9000_globalgametrack_00009,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_globalgametrack,9000_globalgametrack,9000,9000,,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺎﻋﺪﻭﻧﻲ...,ﺳﺎﻋﺪﻭﻧﻲ...,gamedata/localizationstring_eng.paloc
minegolem_9000_globalgametrack_00010,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_globalgametrack,9000_globalgametrack,9000,9000,,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻻ ﻣﺰﻳﺪ...,ﻻ ﻣﺰﻳﺪ...,gamedata/localizationstring_eng.paloc
minegolem_9000_narration_00000,minegolem,Minegolem,Scene Dialogue,Minegolem,Minegolem,9000,Minegolem 9000,minegolem_9000,9000,minegolem_9000_narration,9000_narration,9000,9000,,0,narration,,narration,Narration,Narration,Narration,,role,,ﻻ... ﺃﻧﻪ ﺍﻷﻣﺮ...,ﻻ... ﺃﻧﻪ ﺍﻷﻣﺮ...,gamedata/localizationstring_eng.paloc
