key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
mjordin_boss_3000_npc_00_00009,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00010,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00011,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,...ﺍﻟﻤﻌﺮﻛﺔ؟,...ﺍﻟﻤﻌﺮﻛﺔ؟,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00012,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00013,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ ﺣﺪﺙ ﻟﻤﻴﻮﺭﺩﻳﻦ؟,ﻣﺎﺫﺍ ﺣﺪﺙ ﻟﻤﻴﻮﺭﺩﻳﻦ؟,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00014,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,14,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_npc_00_00015,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_npc_00,boss_3000_npc_00,boss_3000,boss,3000,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00000,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,0,player,,player,Player,Player,Player,,role,,ﻛﻠﻴﻒ.,ﻛﻠﻴﻒ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00001,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,1,player,,player,Player,Player,Player,,role,,ﺍﻧﺘﺼﺎﺭ.,ﺍﻧﺘﺼﺎﺭ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00002,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,2,player,,player,Player,Player,Player,,role,,ﺗﺤﺘﺎﺝ ﻟﻤﺰﻳﺪ ﻣﻦ ﺍﻟﺮﺍﺣﺔ.,ﺗﺤﺘﺎﺝ ﻟﻤﺰﻳﺪ ﻣﻦ ﺍﻟﺮﺍﺣﺔ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00003,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,3,player,,player,Player,Player,Player,,role,,ﺟﺮﺍﺣﻚ ﺑﺎﻟﻐﺔ.,ﺟﺮﺍﺣﻚ ﺑﺎﻟﻐﺔ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00004,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,4,player,,player,Player,Player,Player,,role,,ﻓﺮ. ﺑﺎﺗﺠﺎﻩ ﺍﻟﺸﺮﻕ.,ﻓﺮ. ﺑﺎﺗﺠﺎﻩ ﺍﻟﺸﺮﻕ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00005,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,5,player,,player,Player,Player,Player,,role,,ﺳﻨﺘﻮﻟﻰ ﺍﻟﺒﺎﻗﻲ.,ﺳﻨﺘﻮﻟﻰ ﺍﻟﺒﺎﻗﻲ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00006,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,6,player,,player,Player,Player,Player,,role,,ﺧﺬ ﻗﺴﻄﺎ ﻣﻦ ﺍﻟﺮﺍﺣﺔ.,ﺧﺬ ﻗﺴﻄﺎ ﻣﻦ ﺍﻟﺮﺍﺣﺔ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00007,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,7,player,,player,Player,Player,Player,,role,,ﺁﻩ، ﻭ...,ﺁﻩ، ﻭ...,gamedata/localizationstring_eng.paloc
mjordin_boss_3000_player_00008,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3000,Mjordin 3000,mjordin_boss_3000,boss_3000,mjordin_boss_3000_player,boss_3000_player,boss_3000,boss,3000,8,player,,player,Player,Player,Player,,role,Knowledge:Knowledge_Ludvig:ﻟﻮﺩﻓﻴﻎ,ﺩﻉ {StaticInfo:Knowledge:Knowledge_Ludvig#ﻟﻮﺩﻓﻴﻎ} ﻟﻲ.,ﺩﻉ {StaticInfo:Knowledge:Knowledge_Ludvig#ﻟﻮﺩﻓﻴﻎ} ﻟﻲ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3400_npc_00_00001,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3400,Mjordin 3400,mjordin_boss_3400,boss_3400,mjordin_boss_3400_npc_00,boss_3400_npc_00,boss_3400,boss,3400,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻮﺭﺳﺘﻴﻦ ﻭﺭﻓﺎﻗﻚ ﺑﺎﻧﺘﻈﺎﺭﻙ.,ﺗﻮﺭﺳﺘﻴﻦ ﻭﺭﻓﺎﻗﻚ ﺑﺎﻧﺘﻈﺎﺭﻙ.,gamedata/localizationstring_eng.paloc
mjordin_boss_3400_npc_00_00002,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,3400,Mjordin 3400,mjordin_boss_3400,boss_3400,mjordin_boss_3400_npc_00,boss_3400_npc_00,boss_3400,boss,3400,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﻠﻴﻜﻢ ﺍﻻﻧﻄﻼﻕ ﻣﻌﺎ.,ﻋﻠﻴﻜﻢ ﺍﻻﻧﻄﻼﻕ ﻣﻌﺎ.,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00013,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,13,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺍﺳﻤﻊ ﺟﻴﺪﺍ!,ﺍﺳﻤﻊ ﺟﻴﺪﺍ!,gamedata/localizationstring_eng.paloc
mjordin_boss_5000_enemy_00_00014,mjordin,Mjordin,Scene Dialogue,Mjordin,Mjordin,5000,Mjordin 5000,mjordin_boss_5000,boss_5000,mjordin_boss_5000_enemy_00,boss_5000_enemy_00,boss_5000,boss,5000,14,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻳﺒﺪﻭ ﺃﻧﻜﻢ ﺃﻳﻬﺎ ﺍﻟﺤﻤﻘﻰ ﻧﺴﻴﺘﻢ ﻟﻢ ﻻ ﻳﺠﺐ ﺍﻟﻌﺒﺚ ﻣﻊ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ!,ﻳﺒﺪﻭ ﺃﻧﻜﻢ ﺃﻳﻬﺎ ﺍﻟﺤﻤﻘﻰ ﻧﺴﻴﺘﻢ ﻟﻢ ﻻ ﻳﺠﺐ ﺍﻟﻌﺒﺚ ﻣﻊ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ!,gamedata/localizationstring_eng.paloc
