key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
northernwarrior_bossencounter_ambush_boss_00_00025,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,25,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﻴﺎﺗﻚ ﺳﺘﻜﻮﻥ ﻣﻠﻜﻲ.,ﺣﻴﺎﺗﻚ ﺳﺘﻜﻮﻥ ﻣﻠﻜﻲ.,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00026,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,26,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﺭﻛﺾ ﻛﻤﺎ ﺗﺸﺎﺀ—ﻟﻦ ﻳﻨﻘﺬﻙ ﺫﻟﻚ!,ﺍﺭﻛﺾ ﻛﻤﺎ ﺗﺸﺎﺀ—ﻟﻦ ﻳﻨﻘﺬﻙ ﺫﻟﻚ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00027,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,27,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺣﻄﻢ ﻛﻞ ﻋﻈﻤﺔ ﻓﻲ ﺟﺴﺪﻙ!,ﺳﺄﺣﻄﻢ ﻛﻞ ﻋﻈﻤﺔ ﻓﻲ ﺟﺴﺪﻙ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00028,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,28,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻧﺘﻘﺎﻡ؟ ﻻ ﺗﻀﺤﻜﻨﻲ!,ﺍﻧﺘﻘﺎﻡ؟ ﻻ ﺗﻀﺤﻜﻨﻲ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00029,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,29,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻧﺖ ﻣﺠﺮﺩ ﺑﻘﻌﺔ!,ﺃﻧﺖ ﻣﺠﺮﺩ ﺑﻘﻌﺔ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00030,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,30,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺟﺌﺖ ﻷﺧﺬ ﺑﺎﻳﻠﻮﻥ؟,ﺟﺌﺖ ﻷﺧﺬ ﺑﺎﻳﻠﻮﻥ؟,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00031,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,31,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﺒﺪﻭ ﺃﻧﻚ ﻣﻌﺠﺐ ﺑﻨﻔﺴﻚ ﻛﺜﻴﺮﺍ!,ﻳﺒﺪﻭ ﺃﻧﻚ ﻣﻌﺠﺐ ﺑﻨﻔﺴﻚ ﻛﺜﻴﺮﺍ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_boss_00_00032,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_boss_00,bossencounter_ambush_boss_00,bossencounter_ambush,bossencounter,ambush,32,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﺎﻭﻝ ﻛﻤﺎ ﺗﺸﺎﺀ. ﻟﻦ ﺗﻔﻮﺯ ﺃﺑﺪﺍ!,ﺣﺎﻭﻝ ﻛﻤﺎ ﺗﺸﺎﺀ. ﻟﻦ ﺗﻔﻮﺯ ﺃﺑﺪﺍ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_globalgametrack_00033,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,33,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻻ ﻳﻤﻜﻦ ﻟﻐﺮﺍﻳﻤﺎﻧﺰ ﺃﻥ ﻳﻀﺎﻫﻲ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ!,ﻻ ﻳﻤﻜﻦ ﻟﻐﺮﺍﻳﻤﺎﻧﺰ ﺃﻥ ﻳﻀﺎﻫﻲ ﺍﻟﺪﺑﺒﺔ ﺍﻟﺴﻮﺩﺍﺀ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_ambush_globalgametrack_00034,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_ambush,bossencounter_ambush,northernwarrior_bossencounter_ambush_globalgametrack,bossencounter_ambush_globalgametrack,bossencounter_ambush,bossencounter,ambush,34,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻻ ﺫﺋﺐ ﻳﻀﺎﻫﻲ ﻗﻮﺓ ﺍﻟﺪﺏ!,ﻻ ﺫﺋﺐ ﻳﻀﺎﻫﻲ ﻗﻮﺓ ﺍﻟﺪﺏ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_stand_boss_00_00014,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_stand,bossencounter_stand,northernwarrior_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,14,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﺇﻇﻬﺎﺭ ﻭﺟﻬﻚ ﻫﻨﺎ!,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﺇﻇﻬﺎﺭ ﻭﺟﻬﻚ ﻫﻨﺎ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_stand_boss_00_00015,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_stand,bossencounter_stand,northernwarrior_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,15,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﻴﺎﺗﻚ ﺳﺘﻜﻮﻥ ﻣﻠﻜﻲ.,ﺣﻴﺎﺗﻚ ﺳﺘﻜﻮﻥ ﻣﻠﻜﻲ.,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_stand_boss_00_00016,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_stand,bossencounter_stand,northernwarrior_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,16,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﺭﻛﺾ ﻛﻤﺎ ﺗﺸﺎﺀ—ﻟﻦ ﻳﻨﻘﺬﻙ ﺫﻟﻚ!,ﺍﺭﻛﺾ ﻛﻤﺎ ﺗﺸﺎﺀ—ﻟﻦ ﻳﻨﻘﺬﻙ ﺫﻟﻚ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_stand_boss_00_00017,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_stand,bossencounter_stand,northernwarrior_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,17,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺃﻧﺘﻢ ﻻ ﺗﻘﺪﺭﻭﻥ ﺣﻴﺎﺗﻜﻢ.,ﺃﻧﺘﻢ ﻻ ﺗﻘﺪﺭﻭﻥ ﺣﻴﺎﺗﻜﻢ.,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_stand_boss_00_00018,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_stand,bossencounter_stand,northernwarrior_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,18,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﻗﺘﻠﻚ ﺑﻴﺪﻱ ﻫﺎﺗﻴﻦ!,ﺳﺄﻗﺘﻠﻚ ﺑﻴﺪﻱ ﻫﺎﺗﻴﻦ!,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_stand_boss_00_00019,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_stand,bossencounter_stand,northernwarrior_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,19,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻦ ﺗﻐﺎﺩﺭ ﻫﻨﺎ ﺣﻴﺎ.,ﻟﻦ ﺗﻐﺎﺩﺭ ﻫﻨﺎ ﺣﻴﺎ.,gamedata/localizationstring_eng.paloc
northernwarrior_bossencounter_stand_boss_00_00020,northernwarrior,Northernwarrior,Scene Dialogue,Northernwarrior,Northernwarrior,,Northernwarrior,northernwarrior_bossencounter_stand,bossencounter_stand,northernwarrior_bossencounter_stand_boss_00,bossencounter_stand_boss_00,bossencounter_stand,bossencounter,stand,20,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻧﺒﻄﺢ ﻭﻣﺖ!,ﺍﻧﺒﻄﺢ ﻭﻣﺖ!,gamedata/localizationstring_eng.paloc
