key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
onetimequest_witch_forest_0700_05_enemytarget0_00010,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,10,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,ﺣﺮﻛﺔ ﺿﻌﻴﻔﺔ!,ﺣﺮﻛﺔ ﺿﻌﻴﻔﺔ!,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00011,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,11,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,ﺭﺑﻤﺎ ﻻ ﺗﻌﺮﻑ ﺣﺘﻰ ﻟﻤﺎﺫﺍ ﻳﺤﺪﺙ ﻟﻚ ﻫﺬﺍ.,ﺭﺑﻤﺎ ﻻ ﺗﻌﺮﻑ ﺣﺘﻰ ﻟﻤﺎﺫﺍ ﻳﺤﺪﺙ ﻟﻚ ﻫﺬﺍ.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00012,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,12,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,ﺍﻷﻣﺮ ﺑﺴﻴﻂ ﺟﺪﺍ، ﺃﻧﺖ ﺑﺸﺮﻱ. ﻫﺬﺍ ﻛﻞ ﺷﻲﺀ.,ﺍﻷﻣﺮ ﺑﺴﻴﻂ ﺟﺪﺍ، ﺃﻧﺖ ﺑﺸﺮﻱ. ﻫﺬﺍ ﻛﻞ ﺷﻲﺀ.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00013,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,13,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,ﺃﻟﻴﺲ ﻣﻦ ﺍﻟﻤﻔﺘﺮﺽ ﺃﻥ ﻳﺘﺸﺎﺭﻙ ﺍﻟﻤﺠﺘﻤﻊ ﺍﻟﻤﺴﺆﻭﻟﻴﺎﺕ؟,ﺃﻟﻴﺲ ﻣﻦ ﺍﻟﻤﻔﺘﺮﺽ ﺃﻥ ﻳﺘﺸﺎﺭﻙ ﺍﻟﻤﺠﺘﻤﻊ ﺍﻟﻤﺴﺆﻭﻟﻴﺎﺕ؟,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00014,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,14,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,ﺗﺄﻛﺪﻭﺍ ﺃﻧﻬﻢ ﺟﻤﻴﻌﺎ ﻣﺎﺗﻮﺍ.,ﺗﺄﻛﺪﻭﺍ ﺃﻧﻬﻢ ﺟﻤﻴﻌﺎ ﻣﺎﺗﻮﺍ.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_enemytarget0_00015,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_enemytarget0,witch_forest_0700_05_enemytarget0,witch_forest_0700_05,witch,forest_0700_05,15,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,ﻻ ﺃﺣﺪ ﻳﻤﺸﻲ ﺑﻌﻴﺪﺍ.,ﻻ ﺃﺣﺪ ﻳﻤﺸﻲ ﺑﻌﻴﺪﺍ.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_npc_00_00008,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_npc_00,witch_forest_0700_05_npc_00,witch_forest_0700_05,witch,forest_0700_05,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_npc_00_00009,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_npc_00,witch_forest_0700_05_npc_00,witch_forest_0700_05,witch,forest_0700_05,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺷﻜﺮﺍ، ﺷﻜﺮﺍ ﺟﺰﻳﻼ.,ﺷﻜﺮﺍ، ﺷﻜﺮﺍ ﺟﺰﻳﻼ.,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_05_npc_01_00016,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_05,witch_forest_0700_05,onetimequest_witch_forest_0700_05_npc_01,witch_forest_0700_05_npc_01,witch_forest_0700_05,witch,forest_0700_05,16,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺍﺭﺣﻤﻨﻲ، ﺃﺗﻮﺳﻞ ﺇﻟﻴﻚ، ﺃﺭﺟﻮﻙ!,ﺍﺭﺣﻤﻨﻲ، ﺃﺗﻮﺳﻞ ﺇﻟﻴﻚ، ﺃﺭﺟﻮﻙ!,gamedata/localizationstring_eng.paloc
onetimequest_witch_forest_0700_06_enemytarget0_00012,onetimequest,Onetimequest,Quest Scene,One-Time Quest,One-Time Quest,0700,One-Time Quest 0700,onetimequest_witch_forest_0700_06,witch_forest_0700_06,onetimequest_witch_forest_0700_06_enemytarget0,witch_forest_0700_06_enemytarget0,witch_forest_0700_06,witch,forest_0700_06,12,enemytarget0,,enemytarget0,Enemy Target 0,Enemy Target 0,Enemy,0,role,,ﺫﻟﻚ ﺍﻟﺜﻨﺎﺋﻲ ﻳﺤﺪﻕ ﻟﻔﺘﺮﺓ ﻃﻮﻳﻠﺔ.,ﺫﻟﻚ ﺍﻟﺜﻨﺎﺋﻲ ﻳﺤﺪﻕ ﻟﻔﺘﺮﺓ ﻃﻮﻳﻠﺔ.,gamedata/localizationstring_eng.paloc
