key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
orcumer_boss_1100_npc_00_00003,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ ﻋﻠﻲ ﺃﻥ ﺃﻓﻌﻞ...,ﻣﺎﺫﺍ ﻋﻠﻲ ﺃﻥ ﺃﻓﻌﻞ...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00004,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻋﻠﻢ ﺃﻥ ﻛﻞ ﺷﻲﺀ ﺇﻟﻰ ﺯﻭﺍﻝ...,ﺃﻋﻠﻢ ﺃﻥ ﻛﻞ ﺷﻲﺀ ﺇﻟﻰ ﺯﻭﺍﻝ...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00005,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00006,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﻳﻤﻜﻨﻨﻲ ﺑﺒﺴﺎﻃﺔ ﺃﻥ ﺃﻗﻒ ﻣﻜﺘﻮﻑ ﺍﻟﻴﺪﻳﻦ...,ﻻ ﻳﻤﻜﻨﻨﻲ ﺑﺒﺴﺎﻃﺔ ﺃﻥ ﺃﻗﻒ ﻣﻜﺘﻮﻑ ﺍﻟﻴﺪﻳﻦ...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00007,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺟﺌﺖ ﺗﻄﻠﺐ ﺍﻟﺤﻜﻤﺔ؟,ﺃﺟﺌﺖ ﺗﻄﻠﺐ ﺍﻟﺤﻜﻤﺔ؟,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00008,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺳﺎﻣﺤﻨﻲ ﻋﻠﻰ ﺳﻮﺀ ﺍﻻﺳﺘﻘﺒﺎﻝ...,ﺳﺎﻣﺤﻨﻲ ﻋﻠﻰ ﺳﻮﺀ ﺍﻻﺳﺘﻘﺒﺎﻝ...,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00009,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺣﺎﺩﺛﺔ ﻣﺆﺳﻔﺔ ﺗﺮﻛﺖ ﺍﻟﻤﻌﺒﺪ ﻓﻲ ﺃﻧﻘﺎﺽ.,ﺣﺎﺩﺛﺔ ﻣﺆﺳﻔﺔ ﺗﺮﻛﺖ ﺍﻟﻤﻌﺒﺪ ﻓﻲ ﺃﻧﻘﺎﺽ.,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00010,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺭﺟﻮ ﺃﻥ ﺗﺘﻔﻬﻢ ﺍﻷﻣﺮ.,ﺃﺭﺟﻮ ﺃﻥ ﺗﺘﻔﻬﻢ ﺍﻷﻣﺮ.,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00011,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﻩ، ﺍﻟﻘﺎﺋﻤﺔ ﻻ ﻧﻬﺎﻳﺔ ﻟﻬﺎ.,ﺃﻭﻩ، ﺍﻟﻘﺎﺋﻤﺔ ﻻ ﻧﻬﺎﻳﺔ ﻟﻬﺎ.,gamedata/localizationstring_eng.paloc
orcumer_boss_1100_npc_00_00012,orcumer,Orcumer,Scene Dialogue,Orcumer,Orcumer,1100,Orcumer 1100,orcumer_boss_1100,boss_1100,orcumer_boss_1100_npc_00,boss_1100_npc_00,boss_1100,boss,1100,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻨﻨﻲ ﻗﻠﻖ ﺑﺸﺄﻥ ﺍﻟﺘﻤﺎﺛﻴﻞ ﺍﻟﺸﺎﺭﺩﺓ ﺍﻟﻔﻜﺮ.,ﻟﻜﻨﻨﻲ ﻗﻠﻖ ﺑﺸﺄﻥ ﺍﻟﺘﻤﺎﺛﻴﻞ ﺍﻟﺸﺎﺭﺩﺓ ﺍﻟﻔﻜﺮ.,gamedata/localizationstring_eng.paloc
