key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
pailoon_2500_enemy_00_00000,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2500,Pailoon 2500,pailoon_2500,2500,pailoon_2500_enemy_00,2500_enemy_00,2500,2500,,0,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻫﻴﺎ ﺍﻋﺘﺮﻑ، ﻗﻞ ﺍﻟﺤﻘﻴﻘﺔ. ﺃﻳﻦ ﻫﺮﺏ ﺃﺧﻮﻙ ﺍﻟﺼﻐﻴﺮ؟,ﻫﻴﺎ ﺍﻋﺘﺮﻑ، ﻗﻞ ﺍﻟﺤﻘﻴﻘﺔ. ﺃﻳﻦ ﻫﺮﺏ ﺃﺧﻮﻙ ﺍﻟﺼﻐﻴﺮ؟,gamedata/localizationstring_eng.paloc
pailoon_2500_npc_00_00001,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2500,Pailoon 2500,pailoon_2500,2500,pailoon_2500_npc_00,2500_npc_00,2500,2500,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﻋﺮﻑ ﺷﻴﺌﺎ... ﺁﺁﻩ!,ﻻ ﺃﻋﺮﻑ ﺷﻴﺌﺎ... ﺁﺁﻩ!,gamedata/localizationstring_eng.paloc
pailoon_2500_npc_00_00002,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2500,Pailoon 2500,pailoon_2500,2500,pailoon_2500_npc_00,2500_npc_00,2500,2500,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺷﻜﺮﺍ ﻟﻚ... ﺃﻑ...,ﺷﻜﺮﺍ ﻟﻚ... ﺃﻑ...,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00000,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,0,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺇﻟﻰ ﺃﻳﻦ ﺗﻈﻦ ﺃﻧﻚ ﺫﺍﻫﺐ!,ﺇﻟﻰ ﺃﻳﻦ ﺗﻈﻦ ﺃﻧﻚ ﺫﺍﻫﺐ!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00001,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻫﻴﺎ ﺑﻨﺎ! ﻭﺍﺣﺪ! ﺍﺛﻨﺎﻥ! ﺛﻼﺛﺔ!,ﻫﻴﺎ ﺑﻨﺎ! ﻭﺍﺣﺪ! ﺍﺛﻨﺎﻥ! ﺛﻼﺛﺔ!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00002,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,2,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻟﻢ ﻳﻜﻦ ﺻﻌﺒﺎ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﻟﻢ ﻳﻜﻦ ﺻﻌﺒﺎ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00003,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,3,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺃﻣﺴﻜﻮﺍ ﺑﻪ!,ﺃﻣﺴﻜﻮﺍ ﺑﻪ!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00004,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,4,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻣﺮﺓ ﺃﺧﺮﻯ!,ﻣﺮﺓ ﺃﺧﺮﻯ!,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00005,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,5,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺃﺳﺮﻉ ﻭﻓﺘﺶ ﺟﻴﺒﻪ.,ﺃﺳﺮﻉ ﻭﻓﺘﺶ ﺟﻴﺒﻪ.,gamedata/localizationstring_eng.paloc
pailoon_2502_enemy_00_00006,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_enemy_00,2502_enemy_00,2502,2502,,6,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻛﺎﻥ ﺍﻟﻤﻔﺮﻭﺽ ﺗﺴﻠﻤﻬﺎ ﻣﻦ ﺯﻣﺎﻥ.,ﻛﺎﻥ ﺍﻟﻤﻔﺮﻭﺽ ﺗﺴﻠﻤﻬﺎ ﻣﻦ ﺯﻣﺎﻥ.,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00007,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻭﻍ...,ﺃﻭﻍ...,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00008,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃ-ﺃﺭﺟﻮﻙ، ﺍﺭﺣﻤﻨﻲ!!,ﺃ-ﺃﺭﺟﻮﻙ، ﺍﺭﺣﻤﻨﻲ!!,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00009,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﻩ، ﻻ! ﻻ!,ﺁﻩ، ﻻ! ﻻ!,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_00_00010,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_00,2502_npc_00,2502,2502,,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺷـ-ﺷﻜﺮﺍ ﻟﻚ... ﺷﻜﺮﺍ ﺟﺰﻳﻼ...,ﺷـ-ﺷﻜﺮﺍ ﻟﻚ... ﺷﻜﺮﺍ ﺟﺰﻳﻼ...,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_01_00011,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_01,2502_npc_01,2502,2502,,11,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻳﺎ ﺃﻧﺬﺍﻝ!,ﻳﺎ ﺃﻧﺬﺍﻝ!,gamedata/localizationstring_eng.paloc
pailoon_2502_npc_01_00012,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2502,Pailoon 2502,pailoon_2502,2502,pailoon_2502_npc_01,2502_npc_01,2502,2502,,12,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﻑ!,ﺃﻑ!,gamedata/localizationstring_eng.paloc
pailoon_2504_enemy_00_00000,pailoon,Pailoon,Scene Dialogue,Pailoon,Pailoon,2504,Pailoon 2504,pailoon_2504,2504,pailoon_2504_enemy_00,2504_enemy_00,2504,2504,,0,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﺍﻟﺘﻜﺎﺳﻞ!,ﻛﻴﻒ ﺗﺠﺮﺅ ﻋﻠﻰ ﺍﻟﺘﻜﺎﺳﻞ!,gamedata/localizationstring_eng.paloc
