key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
penance_lake_9000_boss_00_00001,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻃﺄﻃﺊ ﺭﺃﺳﻚ!,ﺍﻃﺄﻃﺊ ﺭﺃﺳﻚ!,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00002,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻣﻤﻠﻜﺘﻲ ﺳﺘﺄﺗﻲ!,ﻣﻤﻠﻜﺘﻲ ﺳﺘﺄﺗﻲ!,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00003,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺍﻧﺤﻨﻮﺍ...,ﺍﻧﺤﻨﻮﺍ...,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00004,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﻜﻤﻲ ﺍﻷﻟﻔﻲ...,ﺣﻜﻤﻲ ﺍﻷﻟﻔﻲ...,gamedata/localizationstring_eng.paloc
penance_lake_9000_boss_00_00005,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_boss_00,lake_9000_boss_00,lake_9000,lake,9000,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻳﻘﻒ ﺃﻣﺎﻣﻨﺎ...,ﻳﻘﻒ ﺃﻣﺎﻣﻨﺎ...,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00006,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,6,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺳﺄﺟﻤﺪﻙ ﺣﺘﻰ ﺍﻟﻌﻈﻢ!,ﺳﺄﺟﻤﺪﻙ ﺣﺘﻰ ﺍﻟﻌﻈﻢ!,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00007,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,7,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﻛﻢ ﺃﺣﻤﻖ ﻣﺜﻠﻚ ﺗﻈﻦ ﺃﻧﻨﻲ ﺳﺤﻘﺖ؟,ﻛﻢ ﺃﺣﻤﻖ ﻣﺜﻠﻚ ﺗﻈﻦ ﺃﻧﻨﻲ ﺳﺤﻘﺖ؟,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00008,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺗﺠﺮﺅ ﻋﻠﻰ ﻭﺿﻊ ﻳﺪ ﻗﺬﺭﺓ ﻋﻠﻰ ﻣﻠﻚ ﻣﺜﻠﻲ؟,ﺗﺠﺮﺅ ﻋﻠﻰ ﻭﺿﻊ ﻳﺪ ﻗﺬﺭﺓ ﻋﻠﻰ ﻣﻠﻚ ﻣﺜﻠﻲ؟,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00009,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺻﺮﺍﺧﻚ ﺳﻴﺘﺮﺩﺩ ﻓﻲ ﻫﺬﺍ ﺍﻟﺠﻠﻴﺪ ﻟﻸﺑﺪ.,ﺻﺮﺍﺧﻚ ﺳﻴﺘﺮﺩﺩ ﻓﻲ ﻫﺬﺍ ﺍﻟﺠﻠﻴﺪ ﻟﻸﺑﺪ.,gamedata/localizationstring_eng.paloc
penance_lake_9000_globalgametrack_00010,penance,Penance,Scene Dialogue,Penance,Penance,9000,Penance 9000,penance_lake_9000,lake_9000,penance_lake_9000_globalgametrack,lake_9000_globalgametrack,lake_9000,lake,9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺗﺨﺒﻂ ﻭﺍﻏﺮﻕ ﺃﻋﻤﻖ ﻓﻲ ﺍﻟﻴﺄﺱ!,ﺗﺨﺒﻂ ﻭﺍﻏﺮﻕ ﺃﻋﻤﻖ ﻓﻲ ﺍﻟﻴﺄﺱ!,gamedata/localizationstring_eng.paloc
