key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
quest_node_kwe_skoghornvillage_0100_npc_00_00035,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,35,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻛﺎﻧﻮﺍ ﺃﻭﻟﺌﻚ ﺍﻝ*** ﻣﺠﺪﺩﺍ؟,ﻫﻞ ﻛﺎﻧﻮﺍ ﺃﻭﻟﺌﻚ ﺍﻝ*** ﻣﺠﺪﺩﺍ؟,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00036,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,36,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺻﻌﻮﺩ ﺍﻟﺠﺒﻞ؟,ﺻﻌﻮﺩ ﺍﻟﺠﺒﻞ؟,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00037,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,37,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺧﺬ، ﺭﺑﻤﺎ ﻫﺬﺍ ﻳﺴﺎﻋﺪﻙ.,ﺧﺬ، ﺭﺑﻤﺎ ﻫﺬﺍ ﻳﺴﺎﻋﺪﻙ.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00038,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,38,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻦ ﻳﻜﻮﻥ ﺳﻬﻼ ﺗﺘﺒﻌﻬﻢ ﻫﻨﺎﻙ.,ﻟﻦ ﻳﻜﻮﻥ ﺳﻬﻼ ﺗﺘﺒﻌﻬﻢ ﻫﻨﺎﻙ.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00039,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,39,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻨﺎﻙ ﻣﺎ ﻫﻮ ﺃﺧﻄﺮ ﻣﻦ ﺍﻟﻠﺼﻮﺹ ﻓﻲ ﺍﻟﺠﺒﺎﻝ.,ﻫﻨﺎﻙ ﻣﺎ ﻫﻮ ﺃﺧﻄﺮ ﻣﻦ ﺍﻟﻠﺼﻮﺹ ﻓﻲ ﺍﻟﺠﺒﺎﻝ.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_00_00040,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100_npc_00,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,40,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺟﻞ. ﻟﻜﻦ ﺍﻧﺘﺒﻪ.,ﺃﺟﻞ. ﻟﻜﻦ ﺍﻧﺘﺒﻪ.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00041,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,41,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻳﺠﺐ ﺃﻥ ﻧﻜﻮﻥ ﺃﻗﻮﻳﺎﺀ ﻣﻦ ﺃﺟﻠﻪ...,ﻳﺠﺐ ﺃﻥ ﻧﻜﻮﻥ ﺃﻗﻮﻳﺎﺀ ﻣﻦ ﺃﺟﻠﻪ...,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00042,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,42,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺍﺳﻤﻊ ﻟﻲ.,ﺍﺳﻤﻊ ﻟﻲ.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00043,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,43,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻳﺠﺐ ﺃﻥ ﻧﺠﺪ ﻭﻟﺪﻧﺎ، ﻭﺑﺴﺮﻋﺔ.,ﻳﺠﺐ ﺃﻥ ﻧﺠﺪ ﻭﻟﺪﻧﺎ، ﻭﺑﺴﺮﻋﺔ.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00044,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,44,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻣﻦ ﺳﻴﺄﺗﻲ ﻣﻌﻲ؟,ﻣﻦ ﺳﻴﺄﺗﻲ ﻣﻌﻲ؟,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00045,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,45,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻳﺎ ﻋﺰﻳﺰﻱ!,ﻳﺎ ﻋﺰﻳﺰﻱ!,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00046,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,46,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻳﺠﺐ ﺃﻥ ﺗﺴﺎﻋﺪﻧﺎ، ﻧﺤﺘﺎﺟﻪ ﻟﻴﺒﻘﻰ ﺣﻴﺎ.,ﻳﺠﺐ ﺃﻥ ﺗﺴﺎﻋﺪﻧﺎ، ﻧﺤﺘﺎﺟﻪ ﻟﻴﺒﻘﻰ ﺣﻴﺎ.,gamedata/localizationstring_eng.paloc
quest_node_kwe_skoghornvillage_0100_npc_01_00047,quest,Quest,Scene Dialogue,Quest,Quest,0100,Quest 0100,quest_node_kwe_skoghornvillage_0100,node_kwe_skoghornvillage_0100,quest_node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100_npc_01,node_kwe_skoghornvillage_0100,node,kwe_skoghornvillage_0100,47,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﺭﺟﻮﻙ... ﺃﺗﻮﺳﻞ ﺇﻟﻴﻚ.,ﺃﺭﺟﻮﻙ... ﺃﺗﻮﺳﻞ ﺇﻟﻴﻚ.,gamedata/localizationstring_eng.paloc
